# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-3.111725e-03	9.380982e-02	0.000000e+00	3.639316e-01	-4.853330e-01
5.000000e-02	-7.212332e-03	1.294088e-01	-5.893440e-03	3.835619e-01	-4.976139e-01
1.000000e-01	-1.457858e-02	1.283549e-01	-7.162009e-03	3.662345e-01	-5.097624e-01
1.500000e-01	-3.730501e-02	1.287909e-01	-1.844962e-02	3.136171e-01	-5.452481e-01
2.000000e-01	-6.121825e-02	1.339863e-01	-3.218344e-02	2.594150e-01	-5.795340e-01
2.500000e-01	-1.022011e-01	1.504975e-01	-5.139226e-02	1.674944e-01	-6.337358e-01
3.000000e-01	-1.456046e-01	1.725581e-01	-7.367418e-02	1.089430e-01	-6.844497e-01
3.500000e-01	-2.065319e-01	2.079532e-01	-1.100616e-01	8.061999e-02	-7.498655e-01
4.000000e-01	-2.691184e-01	2.432194e-01	-1.756586e-01	6.604493e-02	-8.076448e-01
4.500000e-01	-3.460163e-01	2.867982e-01	-2.893771e-01	5.810190e-02	-8.791092e-01
5.000000e-01	-4.201728e-01	3.238527e-01	-3.901780e-01	4.177767e-02	-9.517544e-01
5.500000e-01	-4.997244e-01	3.604549e-01	-4.978283e-01	2.584403e-02	-1.053460e+00
6.000000e-01	-5.681864e-01	3.841351e-01	-5.923112e-01	-4.640403e-03	-1.122814e+00
6.500000e-01	-6.279221e-01	3.964367e-01	-6.773225e-01	-5.102041e-02	-1.170078e+00
7.000000e-01	-6.662756e-01	3.910077e-01	-7.213467e-01	-9.393748e-02	-1.218860e+00
7.500000e-01	-6.807846e-01	3.661185e-01	-7.203856e-01	-1.205978e-01	-1.214167e+00
8.000000e-01	-6.667492e-01	3.241762e-01	-6.877171e-01	-1.486310e-01	-1.148453e+00
8.500000e-01	-6.204747e-01	2.636218e-01	-6.194849e-01	-1.778947e-01	-1.055761e+00
9.000000e-01	-5.482110e-01	1.955662e-01	-5.262105e-01	-1.899825e-01	-9.205089e-01
9.500000e-01	-4.496452e-01	1.229694e-01	-4.429241e-01	-1.933328e-01	-7.425798e-01
1.000000e+00	-3.410192e-01	7.002318e-02	-3.460771e-01	-1.816338e-01	-5.483729e-01
1.050000e+00	-2.271314e-01	6.965497e-02	-2.335762e-01	-3.199790e-02	-4.382140e-01
1.100000e+00	-1.272938e-01	9.918862e-02	-1.377213e-01	1.005787e-01	-3.589819e-01
1.150000e+00	-4.820453e-02	1.198218e-01	-4.649480e-02	1.861701e-01	-2.723847e-01
1.200000e+00	-1.062640e-03	1.203969e-01	3.647134e-03	2.194284e-01	-2.113355e-01
1.250000e+00	1.264662e-02	1.032379e-01	3.049015e-02	2.005599e-01	-1.930617e-01
1.300000e+00	-2.547879e-03	7.590522e-02	1.266879e-02	1.686190e-01	-1.808877e-01
1.350000e+00	-3.881779e-02	5.362600e-02	-4.031184e-02	1.175095e-01	-1.683288e-01
1.400000e+00	-7.920586e-02	5.635581e-02	-9.035567e-02	1.104972e-01	-2.051143e-01
1.450000e+00	-1.114316e-01	7.175954e-02	-1.217034e-01	8.415997e-02	-2.306061e-01
1.500000e+00	-1.206019e-01	7.807389e-02	-1.123052e-01	5.236399e-02	-2.604995e-01
1.550000e+00	-1.008356e-01	6.909779e-02	-9.267332e-02	7.163765e-02	-2.362183e-01
1.600000e+00	-5.330816e-02	4.680213e-02	-4.449957e-02	8.908330e-02	-1.741066e-01
1.650000e+00	1.551172e-02	2.893737e-02	1.369133e-02	1.298282e-01	-7.452193e-02
1.700000e+00	8.872151e-02	4.921559e-02	8.869422e-02	2.169818e-01	-1.857012e-02
1.750000e+00	1.545282e-01	7.998421e-02	1.457163e-01	3.013908e-01	5.514873e-03
1.800000e+00	1.958421e-01	9.978565e-02	1.939056e-01	3.387836e-01	2.890702e-02
1.850000e+00	2.093827e-01	1.048488e-01	2.037323e-01	3.457634e-01	4.720270e-02
1.900000e+00	1.924482e-01	9.315504e-02	1.882926e-01	3.235318e-01	4.392080e-02
1.950000e+00	1.549124e-01	6.974586e-02	1.534091e-01	2.671612e-01	3.659931e-02
2.000000e+00	1.068457e-01	4.039741e-02	1.050568e-01	1.850301e-01	3.080984e-02
2.050000e+00	6.028436e-02	1.436788e-02	5.950155e-02	1.052363e-01	2.789694e-02
2.100000e+00	2.634575e-02	1.899552e-02	2.349107e-02	7.887110e-02	-1.278154e-02
2.150000e+00	9.559248e-03	2.952790e-02	5.611419e-03	7.397837e-02	-3.851207e-02
2.200000e+00	7.166595e-03	3.094535e-02	-2.263877e-03	7.021354e-02	-4.245378e-02
2.250000e+00	1.001998e-02	2.829007e-02	3.880114e-04	6.860885e-02	-3.800215e-02
2.300000e+00	1.264435e-02	2.390020e-02	3.263432e-03	6.060743e-02	-2.901861e-02
2.350000e+00	1.114309e-02	2.027610e-02	5.391711e-03	4.773391e-02	-2.173572e-02
2.400000e+00	4.707771e-03	1.840885e-02	2.271769e-03	3.917561e-02	-2.594810e-02
2.450000e+00	-4.927841e-04	1.675121e-02	-2.997869e-03	3.101952e-02	-3.012648e-02
2.500000e+00	-6.235051e-03	1.509415e-02	-7.131588e-03	2.180707e-02	-3.334492e-02
2.550000e+00	-1.136685e-02	1.312829e-02	-1.246375e-02	1.402114e-02	-3.456997e-02
2.600000e+00	-1.481081e-02	1.061100e-02	-1.714799e-02	5.592497e-03	-3.285229e-02
2.650000e+00	-1.833398e-02	8.196009e-03	-2.023398e-02	-2.375854e-03	-3.263996e-02
2.700000e+00	-2.009050e-02	5.668397e-03	-2.084160e-02	-6.570013e-03	-3.155319e-02
2.750000e+00	-1.988040e-02	3.703723e-03	-2.023962e-02	-8.548632e-03	-2.828460e-02
2.800000e+00	-1.790115e-02	3.557458e-03	-1.784503e-02	-7.949119e-03	-2.747984e-02
2.850000e+00	-1.597702e-02	4.937386e-03	-1.541566e-02	-5.007602e-03	-2.908369e-02
2.900000e+00	-1.256113e-02	6.404290e-03	-1.118623e-02	3.227548e-04	-2.758492e-02
