# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	2.335954e-03	1.135228e-01	0.000000e+00	4.219636e-01	-2.652271e-01
5.000000e-02	5.660391e-03	1.554449e-01	-4.961125e-02	4.443299e-01	-2.610968e-01
1.000000e-01	-1.224044e-03	1.452072e-01	-5.703777e-02	4.239797e-01	-2.528196e-01
1.500000e-01	-2.246170e-02	1.168566e-01	-6.144125e-02	3.625710e-01	-2.766886e-01
2.000000e-01	-4.468394e-02	9.335066e-02	-6.634614e-02	2.995876e-01	-3.355329e-01
2.500000e-01	-8.295802e-02	7.540215e-02	-7.884747e-02	1.935344e-01	-4.296168e-01
3.000000e-01	-1.235939e-01	9.221359e-02	-1.023621e-01	8.565667e-02	-5.204279e-01
3.500000e-01	-1.814712e-01	1.443792e-01	-1.277642e-01	5.065150e-02	-6.385483e-01
4.000000e-01	-2.416031e-01	2.025478e-01	-1.688661e-01	7.316095e-02	-7.476683e-01
4.500000e-01	-3.174500e-01	2.735028e-01	-2.499997e-01	8.719915e-02	-8.701537e-01
5.000000e-01	-3.922512e-01	3.355615e-01	-3.449136e-01	8.470547e-02	-9.734923e-01
5.500000e-01	-4.755516e-01	3.965820e-01	-4.556005e-01	7.423556e-02	-1.068853e+00
6.000000e-01	-5.500529e-01	4.395184e-01	-5.571966e-01	4.349266e-02	-1.159580e+00
6.500000e-01	-6.190991e-01	4.664813e-01	-6.491867e-01	-2.997620e-03	-1.253981e+00
7.000000e-01	-6.681134e-01	4.683915e-01	-7.092553e-01	-5.872617e-02	-1.289947e+00
7.500000e-01	-6.943843e-01	4.434667e-01	-7.308146e-01	-1.227735e-01	-1.261464e+00
8.000000e-01	-6.909572e-01	3.937891e-01	-7.118377e-01	-1.848603e-01	-1.216915e+00
8.500000e-01	-6.527667e-01	3.180702e-01	-6.601297e-01	-2.201695e-01	-1.097879e+00
9.000000e-01	-5.848930e-01	2.294406e-01	-5.842199e-01	-2.310680e-01	-9.457792e-01
9.500000e-01	-4.858475e-01	1.314420e-01	-4.636342e-01	-2.238309e-01	-7.725117e-01
1.000000e+00	-3.726663e-01	5.473840e-02	-3.694335e-01	-2.128032e-01	-5.697450e-01
1.050000e+00	-2.503061e-01	7.553986e-02	-2.601631e-01	-6.353112e-02	-4.585909e-01
1.100000e+00	-1.404081e-01	1.277858e-01	-1.692983e-01	8.349727e-02	-3.955576e-01
1.150000e+00	-5.106160e-02	1.587494e-01	-6.588861e-02	1.959256e-01	-3.210983e-01
1.200000e+00	4.487489e-03	1.594812e-01	4.817995e-03	2.422373e-01	-2.545281e-01
1.250000e+00	2.356942e-02	1.336690e-01	3.926625e-02	2.328159e-01	-2.120707e-01
1.300000e+00	1.068116e-02	8.945143e-02	2.473961e-02	1.768523e-01	-1.806715e-01
1.350000e+00	-2.621091e-02	4.326352e-02	-2.444764e-02	9.021609e-02	-1.628494e-01
1.400000e+00	-6.837143e-02	4.641165e-02	-7.274224e-02	9.440061e-02	-1.740411e-01
1.450000e+00	-1.024890e-01	8.060827e-02	-1.059692e-01	1.163537e-01	-2.288036e-01
1.500000e+00	-1.120418e-01	9.965091e-02	-8.981828e-02	1.222958e-01	-2.607076e-01
1.550000e+00	-9.080930e-02	9.650327e-02	-5.779096e-02	1.238141e-01	-2.365806e-01
1.600000e+00	-4.016306e-02	7.225151e-02	-1.087352e-02	1.198480e-01	-1.546853e-01
1.650000e+00	3.237975e-02	3.462853e-02	3.964121e-02	1.146345e-01	-4.853362e-02
1.700000e+00	1.083507e-01	2.488801e-02	1.060254e-01	1.845784e-01	5.363883e-02
1.750000e+00	1.746782e-01	6.164094e-02	1.666136e-01	2.801112e-01	8.064781e-02
1.800000e+00	2.133555e-01	8.903752e-02	2.046485e-01	3.340207e-01	8.187630e-02
1.850000e+00	2.211908e-01	1.005667e-01	2.035270e-01	3.512372e-01	7.375952e-02
1.900000e+00	1.964490e-01	9.368784e-02	1.834113e-01	3.190283e-01	6.329461e-02
1.950000e+00	1.503371e-01	7.363800e-02	1.468868e-01	2.495875e-01	4.178379e-02
2.000000e+00	9.500186e-02	4.615954e-02	9.003621e-02	1.680821e-01	1.506265e-02
2.050000e+00	4.311438e-02	1.897733e-02	4.216108e-02	8.618851e-02	-8.076372e-03
2.100000e+00	8.003909e-03	1.136746e-02	8.437684e-03	4.457298e-02	-2.700476e-02
2.150000e+00	-6.003493e-03	2.074288e-02	-7.572810e-03	4.088119e-02	-4.604556e-02
2.200000e+00	-3.037958e-03	2.312115e-02	-4.023841e-03	4.304840e-02	-4.028613e-02
2.250000e+00	5.796544e-03	2.283248e-02	3.891356e-03	5.235182e-02	-3.362449e-02
2.300000e+00	1.372168e-02	2.145163e-02	1.123668e-02	5.723571e-02	-2.415142e-02
2.350000e+00	1.576384e-02	2.063206e-02	1.326600e-02	5.417155e-02	-1.897813e-02
2.400000e+00	1.067274e-02	2.069984e-02	8.859022e-03	4.437021e-02	-2.310347e-02
2.450000e+00	6.358501e-03	2.010785e-02	5.778336e-03	3.819802e-02	-2.512971e-02
2.500000e+00	3.489049e-04	1.874579e-02	4.527520e-04	2.957527e-02	-2.909395e-02
2.550000e+00	-6.007119e-03	1.631335e-02	-5.688690e-03	1.987333e-02	-3.215700e-02
2.600000e+00	-1.131641e-02	1.268955e-02	-1.075319e-02	1.019387e-02	-3.308642e-02
2.650000e+00	-1.675413e-02	8.862699e-03	-1.577208e-02	-3.098232e-05	-3.466308e-02
2.700000e+00	-2.058619e-02	4.846504e-03	-2.086061e-02	-8.148139e-03	-3.356488e-02
2.750000e+00	-2.235105e-02	2.893141e-03	-2.226288e-02	-9.961877e-03	-3.079487e-02
2.800000e+00	-2.202450e-02	5.225605e-03	-2.189283e-02	-7.992539e-03	-3.469959e-02
2.850000e+00	-2.132491e-02	7.832628e-03	-2.093097e-02	-6.874844e-03	-3.704369e-02
2.900000e+00	-1.848999e-02	9.519818e-03	-1.907342e-02	-2.692667e-03	-3.589569e-02
2.950000e+00	-1.406156e-02	1.007159e-02	-1.497630e-02	1.696521e-03	-3.141417e-02
3.000000e+00	-8.712949e-03	9.597033e-03	-9.833121e-03	6.541970e-03	-2.466216e-02
3.050000e+00	-2.588128e-03	8.647527e-03	-4.691490e-03	1.224089e-02	-1.623223e-02
3.100000e+00	3.157726e-03	7.145556e-03	9.808852e-04	1.715757e-02	-8.949116e-03
3.150000e+00	7.859218e-03	5.392687e-03	6.916949e-03	2.006708e-02	-1.861038e-03
3.200000e+00	1.113759e-02	3.682117e-03	1.056235e-02	2.059186e-02	3.187056e-03
3.250000e+00	1.285173e-02	2.234604e-03	1.280628e-02	1.933049e-02	5.568435e-03
3.300000e+00	1.310806e-02	2.527164e-03	1.320863e-02	1.995027e-02	5.444302e-03
3.350000e+00	1.235397e-02	3.881946e-03	1.245550e-02	2.220360e-02	1.272164e-03
3.400000e+00	1.108481e-02	5.171267e-03	1.123643e-02	2.287671e-02	-3.439882e-03
3.450000e+00	9.737143e-03	6.140435e-03	9.979593e-03	2.220082e-02	-7.385300e-03
3.500000e+00	8.584601e-03	6.454705e-03	8.870774e-03	2.233889e-02	-9.425250e-03
3.550000e+00	7.675588e-03	6.204730e-03	7.609492e-03	2.245112e-02	-9.375321e-03
3.600000e+00	6.891166e-03	5.673693e-03	6.291455e-03	2.149674e-02	-7.531985e-03
3.650000e+00	6.089734e-03	5.280755e-03	5.163450e-03	2.368121e-02	-5.084980e-03
3.700000e+00	4.857454e-03	5.533499e-03	4.065063e-03	2.532371e-02	-6.027477e-03
3.750000e+00	2.971677e-03	6.209022e-03	2.824727e-03	2.447804e-02	-8.160572e-03
3.800000e+00	2.989815e-04	6.660116e-03	7.153103e-04	2.075687e-02	-1.090723e-02
3.850000e+00	-3.184578e-03	6.438864e-03	-2.986438e-03	1.422930e-02	-1.380365e-02
3.900000e+00	-7.530583e-03	5.185217e-03	-7.495836e-03	5.846041e-03	-1.617659e-02
3.950000e+00	-1.243001e-02	3.123273e-03	-1.252895e-02	-2.222725e-03	-1.870804e-02
4.000000e+00	-1.734045e-02	2.195798e-03	-1.756206e-02	-8.625185e-03	-2.181413e-02
4.050000e+00	-2.179378e-02	4.717604e-03	-2.119821e-02	-6.806906e-03	-3.205722e-02
4.100000e+00	-2.493986e-02	7.602481e-03	-2.384827e-02	-3.944169e-03	-3.965771e-02
4.150000e+00	-2.589924e-02	9.599826e-03	-2.420700e-02	-2.930183e-04	-4.442093e-02
4.200000e+00	-2.402979e-02	1.022520e-02	-2.323756e-02	3.748722e-03	-4.468997e-02
4.250000e+00	-1.974621e-02	9.554460e-03	-2.026519e-02	7.334159e-03	-4.002333e-02
4.300000e+00	-1.284052e-02	7.854436e-03	-1.342009e-02	1.020903e-02	-3.110561e-02
