# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-1.140430e-01	1.530507e-01	0.000000e+00	2.852350e-01	-7.001577e-01
5.000000e-02	-2.456222e-01	1.328834e-01	-2.652899e-01	2.707226e-01	-7.060506e-01
1.000000e-01	-2.578733e-01	1.313588e-01	-2.763606e-01	2.559219e-01	-7.118138e-01
1.500000e-01	-2.945014e-01	1.266201e-01	-3.096098e-01	2.097645e-01	-7.280632e-01
2.000000e-01	-3.311894e-01	1.217020e-01	-3.479414e-01	1.613465e-01	-7.430749e-01
2.500000e-01	-3.911551e-01	1.132324e-01	-4.019025e-01	7.685663e-02	-7.644497e-01
3.000000e-01	-4.501514e-01	1.046569e-01	-4.550024e-01	-1.191444e-02	-7.821205e-01
3.500000e-01	-5.276117e-01	9.306080e-02	-5.321068e-01	-1.386633e-01	-7.990605e-01
4.000000e-01	-6.002777e-01	8.258186e-02	-5.969102e-01	-2.679475e-01	-8.127156e-01
4.500000e-01	-6.806320e-01	7.221206e-02	-6.776057e-01	-4.275039e-01	-8.491501e-01
5.000000e-01	-7.485463e-01	6.655844e-02	-7.487858e-01	-5.706107e-01	-8.864173e-01
5.500000e-01	-8.075204e-01	6.637366e-02	-8.105407e-01	-5.979404e-01	-9.521564e-01
6.000000e-01	-8.442180e-01	7.164772e-02	-8.491781e-01	-6.176576e-01	-1.017161e+00
6.500000e-01	-8.544048e-01	7.994890e-02	-8.558550e-01	-6.260081e-01	-1.052825e+00
7.000000e-01	-8.357679e-01	8.746113e-02	-8.266523e-01	-5.801457e-01	-1.053577e+00
7.500000e-01	-7.810723e-01	9.208401e-02	-7.645222e-01	-4.896766e-01	-1.064990e+00
8.000000e-01	-7.017005e-01	9.205479e-02	-6.862754e-01	-4.006650e-01	-1.020817e+00
8.500000e-01	-5.933967e-01	8.613392e-02	-5.791160e-01	-3.116946e-01	-9.144164e-01
9.000000e-01	-4.788398e-01	7.551544e-02	-4.692798e-01	-2.387288e-01	-7.691760e-01
9.500000e-01	-3.599234e-01	6.023248e-02	-3.544927e-01	-1.831443e-01	-5.871476e-01
1.000000e+00	-2.608228e-01	4.506561e-02	-2.593743e-01	-1.528787e-01	-4.076908e-01
1.050000e+00	-1.855791e-01	3.458263e-02	-1.851219e-01	-1.007106e-01	-2.685068e-01
1.100000e+00	-1.468606e-01	3.513125e-02	-1.476728e-01	-5.810968e-02	-2.223486e-01
1.150000e+00	-1.434905e-01	4.216719e-02	-1.459985e-01	-3.547689e-02	-2.327798e-01
1.200000e+00	-1.682145e-01	4.761360e-02	-1.747445e-01	-3.402961e-02	-2.694582e-01
1.250000e+00	-2.108414e-01	4.840392e-02	-2.175004e-01	-6.923462e-02	-3.158643e-01
1.300000e+00	-2.492744e-01	4.461572e-02	-2.528921e-01	-1.276619e-01	-3.450851e-01
1.350000e+00	-2.702081e-01	3.858896e-02	-2.742653e-01	-1.494725e-01	-3.497880e-01
1.400000e+00	-2.543267e-01	3.454863e-02	-2.585816e-01	-1.234173e-01	-3.350393e-01
1.450000e+00	-1.971387e-01	3.518676e-02	-2.015172e-01	-2.307250e-02	-2.843161e-01
1.500000e+00	-9.973365e-02	3.775630e-02	-1.023006e-01	9.125119e-02	-1.925004e-01
1.550000e+00	2.734128e-02	3.910711e-02	2.550269e-02	2.079766e-01	-6.706306e-02
1.600000e+00	1.608028e-01	3.690352e-02	1.615728e-01	3.035647e-01	7.168950e-02
1.650000e+00	2.832526e-01	3.182757e-02	2.819084e-01	3.679539e-01	1.984599e-01
1.700000e+00	3.670617e-01	2.588984e-02	3.684677e-01	4.208064e-01	2.919181e-01
1.750000e+00	4.047226e-01	2.191630e-02	4.064600e-01	4.485003e-01	3.372068e-01
1.800000e+00	3.867733e-01	2.064426e-02	3.861767e-01	4.325689e-01	2.987129e-01
1.850000e+00	3.248593e-01	2.127219e-02	3.257723e-01	3.749958e-01	2.112169e-01
1.900000e+00	2.331066e-01	2.139855e-02	2.363271e-01	2.780168e-01	1.181969e-01
1.950000e+00	1.330098e-01	2.120868e-02	1.397108e-01	1.752996e-01	3.480710e-02
2.000000e+00	4.564077e-02	2.050233e-02	5.119585e-02	8.994027e-02	-2.454407e-02
2.050000e+00	-1.675820e-02	1.971480e-02	-1.364989e-02	2.387229e-02	-6.885605e-02
2.100000e+00	-4.315488e-02	1.784640e-02	-4.115053e-02	-1.515251e-03	-8.213734e-02
2.150000e+00	-3.870835e-02	1.508987e-02	-3.823319e-02	1.584755e-03	-7.259242e-02
2.200000e+00	-1.702777e-02	1.243855e-02	-1.598342e-02	1.828356e-02	-4.579948e-02
2.250000e+00	3.966564e-03	1.176393e-02	4.657983e-03	3.472900e-02	-2.764874e-02
2.300000e+00	2.029487e-02	1.063155e-02	2.004948e-02	4.469209e-02	-8.788772e-03
2.350000e+00	2.718019e-02	9.044114e-03	2.609681e-02	4.617906e-02	5.871754e-03
2.400000e+00	2.461888e-02	7.740707e-03	2.406461e-02	4.213153e-02	3.547072e-03
2.450000e+00	2.243747e-02	7.536114e-03	2.186502e-02	3.839033e-02	2.267736e-03
2.500000e+00	1.663433e-02	7.285912e-03	1.607381e-02	3.070442e-02	-1.984703e-03
2.550000e+00	9.238771e-03	6.661987e-03	8.924321e-03	2.172716e-02	-6.424766e-03
2.600000e+00	2.206177e-03	5.621897e-03	1.952742e-03	1.400418e-02	-1.044876e-02
2.650000e+00	-5.219610e-03	4.453564e-03	-5.352445e-03	5.447797e-03	-1.608084e-02
2.700000e+00	-1.089165e-02	3.447516e-03	-1.090075e-02	-1.785557e-03	-1.937540e-02
2.750000e+00	-1.445207e-02	3.101434e-03	-1.471338e-02	-6.632708e-03	-2.090437e-02
2.800000e+00	-1.614117e-02	3.369918e-03	-1.656847e-02	-9.670981e-03	-2.431060e-02
2.850000e+00	-1.759612e-02	3.757382e-03	-1.771848e-02	-9.889348e-03	-2.638127e-02
2.900000e+00	-1.793118e-02	3.909779e-03	-1.779060e-02	-8.319891e-03	-2.629450e-02
2.950000e+00	-1.799724e-02	3.843543e-03	-1.822430e-02	-7.342505e-03	-2.453328e-02
3.000000e+00	-1.842461e-02	3.716935e-03	-1.888823e-02	-6.976799e-03	-2.670377e-02
3.050000e+00	-1.964766e-02	3.704821e-03	-1.999329e-02	-8.501083e-03	-2.919657e-02
3.100000e+00	-2.136815e-02	3.707273e-03	-2.193159e-02	-1.151243e-02	-3.044214e-02
3.150000e+00	-2.301441e-02	3.561378e-03	-2.359067e-02	-1.437866e-02	-3.015130e-02
3.200000e+00	-2.372320e-02	3.256152e-03	-2.414219e-02	-1.489269e-02	-2.995055e-02
3.250000e+00	-2.240610e-02	2.969264e-03	-2.259269e-02	-1.497286e-02	-2.888876e-02
