# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-3.902093e-02	1.839392e-01	0.000000e+00	3.290796e-01	-6.167122e-01
5.000000e-02	-7.651446e-02	2.387329e-01	-6.229067e-02	3.315978e-01	-6.256327e-01
1.000000e-01	-8.991036e-02	2.366196e-01	-7.440186e-02	3.115519e-01	-6.334224e-01
1.500000e-01	-1.302302e-01	2.297624e-01	-1.104008e-01	2.505346e-01	-6.555865e-01
2.000000e-01	-1.708970e-01	2.222458e-01	-1.505997e-01	1.930164e-01	-6.763717e-01
2.500000e-01	-2.380852e-01	2.083832e-01	-2.188593e-01	1.024894e-01	-7.070591e-01
3.000000e-01	-3.048697e-01	1.931608e-01	-2.889419e-01	1.390938e-02	-7.335897e-01
3.500000e-01	-3.939596e-01	1.703573e-01	-3.809487e-01	-8.226770e-02	-7.675658e-01
4.000000e-01	-4.788418e-01	1.463521e-01	-4.669142e-01	-1.814579e-01	-7.985750e-01
4.500000e-01	-5.752958e-01	1.158636e-01	-5.664897e-01	-3.062839e-01	-8.449415e-01
5.000000e-01	-6.595005e-01	8.733558e-02	-6.513548e-01	-4.280984e-01	-9.025185e-01
5.500000e-01	-7.382226e-01	6.152828e-02	-7.402929e-01	-5.615705e-01	-9.438541e-01
6.000000e-01	-7.940588e-01	5.449156e-02	-7.949114e-01	-6.618239e-01	-9.578665e-01
6.500000e-01	-8.258775e-01	6.939510e-02	-8.240684e-01	-6.340600e-01	-9.888008e-01
7.000000e-01	-8.269329e-01	9.111803e-02	-8.310594e-01	-5.670152e-01	-1.022464e+00
7.500000e-01	-7.923787e-01	1.111632e-01	-7.930207e-01	-4.791047e-01	-1.005184e+00
8.000000e-01	-7.289802e-01	1.233590e-01	-7.252162e-01	-3.891707e-01	-9.539828e-01
8.500000e-01	-6.334066e-01	1.262524e-01	-6.271411e-01	-2.951975e-01	-8.551012e-01
9.000000e-01	-5.245152e-01	1.198474e-01	-5.205229e-01	-2.156654e-01	-7.568251e-01
9.500000e-01	-4.034108e-01	1.040222e-01	-4.067418e-01	-1.436298e-01	-6.282005e-01
1.000000e+00	-2.934959e-01	8.361241e-02	-3.024229e-01	-9.456130e-02	-4.860447e-01
1.050000e+00	-1.982301e-01	6.088869e-02	-2.060486e-01	-6.510202e-02	-3.356768e-01
1.100000e+00	-1.339747e-01	4.471090e-02	-1.340078e-01	-1.041701e-02	-2.173726e-01
1.150000e+00	-1.009219e-01	3.946619e-02	-1.009533e-01	7.682869e-03	-1.949070e-01
