# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	2.111786e-01	2.180726e-01	0.000000e+00	6.555948e-01	0.000000e+00
5.000000e-02	4.113445e-01	6.805156e-02	4.067156e-01	6.384680e-01	2.013321e-01
1.000000e-01	3.929610e-01	6.800371e-02	3.884209e-01	6.209475e-01	1.841783e-01
1.500000e-01	3.364963e-01	6.787558e-02	3.301616e-01	5.661108e-01	1.322066e-01
2.000000e-01	2.780462e-01	6.778568e-02	2.715015e-01	5.082233e-01	7.933585e-02
2.500000e-01	1.781154e-01	6.766216e-02	1.713358e-01	4.092710e-01	-9.232574e-03
3.000000e-01	7.501615e-02	6.765754e-02	7.043178e-02	3.054100e-01	-9.851280e-02
3.500000e-01	-6.888495e-02	6.773120e-02	-7.138289e-02	1.558443e-01	-2.399363e-01
4.000000e-01	-2.130159e-01	6.790664e-02	-2.153617e-01	1.464115e-03	-4.004914e-01
4.500000e-01	-3.878996e-01	6.793908e-02	-3.901381e-01	-1.917480e-01	-5.880657e-01
5.000000e-01	-5.530510e-01	6.756229e-02	-5.546706e-01	-3.791182e-01	-7.572123e-01
5.500000e-01	-7.276714e-01	6.599090e-02	-7.320161e-01	-5.605656e-01	-9.251370e-01
6.000000e-01	-8.754374e-01	6.301568e-02	-8.794396e-01	-7.184715e-01	-1.055154e+00
6.500000e-01	-1.002715e+00	5.761637e-02	-1.005746e+00	-8.618499e-01	-1.150464e+00
7.000000e-01	-1.083433e+00	5.070962e-02	-1.086451e+00	-9.600221e-01	-1.205293e+00
7.500000e-01	-1.113867e+00	4.267885e-02	-1.114747e+00	-9.918193e-01	-1.221788e+00
8.000000e-01	-1.085660e+00	3.711684e-02	-1.084754e+00	-9.542847e-01	-1.186956e+00
8.500000e-01	-9.925338e-01	3.708173e-02	-9.923439e-01	-8.652937e-01	-1.086019e+00
9.000000e-01	-8.489640e-01	4.239987e-02	-8.512430e-01	-7.331806e-01	-9.520495e-01
