# 		k		<chi>		std
0.00000e+00 -1.65918e-01 2.14836e-01
5.00000e-02 -1.80258e-01 2.15020e-01
1.00000e-01 -1.92227e-01 2.13105e-01
1.50000e-01 -2.28283e-01 2.07258e-01
2.00000e-01 -2.64816e-01 2.01375e-01
2.50000e-01 -3.25495e-01 1.91211e-01
3.00000e-01 -3.86251e-01 1.80891e-01
3.50000e-01 -4.68254e-01 1.65695e-01
4.00000e-01 -5.47062e-01 1.50258e-01
4.50000e-01 -6.38006e-01 1.29756e-01
5.00000e-01 -7.17941e-01 1.09872e-01
5.50000e-01 -7.93679e-01 8.80894e-02
6.00000e-01 -8.46704e-01 7.31296e-02
6.50000e-01 -8.75146e-01 7.07899e-02
7.00000e-01 -8.69921e-01 8.46386e-02
7.50000e-01 -8.23932e-01 1.09207e-01
8.00000e-01 -7.42099e-01 1.35178e-01
8.50000e-01 -6.18288e-01 1.59595e-01
9.00000e-01 -4.72193e-01 1.78335e-01
9.50000e-01 -3.03819e-01 1.89961e-01
1.00000e+00 -1.41824e-01 1.94080e-01
1.05000e+00 8.26211e-03 1.90425e-01
1.10000e+00 1.20914e-01 1.81615e-01
1.15000e+00 1.91403e-01 1.69249e-01
1.20000e+00 2.10293e-01 1.56408e-01
1.25000e+00 1.81286e-01 1.45104e-01
1.30000e+00 1.15826e-01 1.35158e-01
1.35000e+00 2.72096e-02 1.26144e-01
1.40000e+00 -6.05505e-02 1.14460e-01
1.45000e+00 -1.32827e-01 9.79166e-02
1.50000e+00 -1.70545e-01 7.44714e-02
1.55000e+00 -1.69181e-01 4.45822e-02
1.60000e+00 -1.28655e-01 2.33238e-02
1.65000e+00 -5.84388e-02 4.72695e-02
1.70000e+00 2.42138e-02 8.03787e-02
1.75000e+00 1.04767e-01 1.06192e-01
1.80000e+00 1.64544e-01 1.16404e-01
1.85000e+00 1.98201e-01 1.10178e-01
1.90000e+00 2.00258e-01 8.79033e-02
1.95000e+00 1.79454e-01 5.49701e-02
2.00000e+00 1.42613e-01 2.12474e-02
2.05000e+00 1.03099e-01 2.26400e-02
2.10000e+00 6.75682e-02 4.20975e-02
2.15000e+00 4.18085e-02 4.73425e-02
2.20000e+00 2.63137e-02 3.93966e-02
2.25000e+00 1.27573e-02 2.27116e-02
2.30000e+00 1.86664e-03 7.55470e-03
2.35000e+00 -7.55102e-03 5.77349e-03
2.40000e+00 -1.58237e-02 7.55008e-03
2.45000e+00 -1.97855e-02 7.40919e-03
2.50000e+00 -2.15997e-02 5.69222e-03
2.55000e+00 -2.12491e-02 4.26228e-03
2.60000e+00 -1.88103e-02 4.34180e-03
2.65000e+00 -1.71305e-02 4.74043e-03
2.70000e+00 -1.44472e-02 4.71676e-03
2.75000e+00 -1.10131e-02 4.24307e-03
2.80000e+00 -7.14339e-03 3.65795e-03
2.85000e+00 -4.46735e-03 3.32896e-03
2.90000e+00 -1.18292e-03 3.11301e-03
2.95000e+00 2.62278e-03 3.35450e-03
3.00000e+00 6.75128e-03 4.72304e-03
3.05000e+00 1.10701e-02 6.68312e-03
3.10000e+00 1.50426e-02 8.79637e-03
3.15000e+00 1.79766e-02 1.02583e-02
3.20000e+00 1.92666e-02 1.04171e-02
3.25000e+00 1.81503e-02 8.79933e-03
3.30000e+00 1.50142e-02 5.94068e-03
3.35000e+00 1.03372e-02 3.03573e-03
3.40000e+00 4.87107e-03 4.09202e-03
3.45000e+00 -8.29107e-04 7.42564e-03
3.50000e+00 -5.26634e-03 9.80554e-03
3.55000e+00 -7.80496e-03 1.06002e-02
3.60000e+00 -8.27626e-03 9.87672e-03
3.65000e+00 -6.89946e-03 8.18712e-03
3.70000e+00 -4.29538e-03 5.99158e-03
3.75000e+00 -1.49854e-03 4.02837e-03
3.80000e+00 4.39000e-04 2.81323e-03
3.85000e+00 7.76714e-04 2.38167e-03
3.90000e+00 -1.02600e-03 2.28069e-03
3.95000e+00 -4.77320e-03 2.38462e-03
4.00000e+00 -9.69597e-03 2.82077e-03
4.05000e+00 -1.50261e-02 3.84559e-03
4.10000e+00 -1.92414e-02 5.69896e-03
4.15000e+00 -2.12695e-02 7.93662e-03
4.20000e+00 -2.04989e-02 9.74614e-03
4.25000e+00 -1.71383e-02 1.08019e-02
4.30000e+00 -1.14836e-02 1.03678e-02
4.35000e+00 -4.59401e-03 8.28576e-03
4.40000e+00 2.37267e-03 5.16215e-03
4.45000e+00 8.32095e-03 3.43588e-03
4.50000e+00 1.27592e-02 5.62717e-03
4.55000e+00 1.55976e-02 8.84328e-03
4.60000e+00 1.72048e-02 1.14902e-02
4.65000e+00 1.81771e-02 1.32874e-02
4.70000e+00 1.91549e-02 1.45662e-02
4.75000e+00 2.03496e-02 1.56435e-02
4.80000e+00 2.15176e-02 1.67249e-02
4.85000e+00 2.21143e-02 1.76508e-02
4.90000e+00 2.13406e-02 1.80967e-02
4.95000e+00 1.85903e-02 1.75018e-02
5.00000e+00 1.37124e-02 1.53591e-02
5.05000e+00 7.21984e-03 1.14775e-02
5.10000e+00 1.55051e-05 6.89825e-03
5.15000e+00 -6.72066e-03 6.42567e-03
5.20000e+00 -1.19309e-02 1.18122e-02
5.25000e+00 -1.49718e-02 1.76958e-02
