# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	4.895305e-02	2.940705e-01	0.000000e+00	7.914819e-01	-9.377624e-01
5.000000e-02	7.707287e-02	4.079609e-01	-1.400627e-01	7.731614e-01	-9.448068e-01
1.000000e-01	6.271988e-02	4.024185e-01	-1.557440e-01	7.544285e-01	-9.517571e-01
1.500000e-01	1.887796e-02	3.853412e-01	-2.029699e-01	6.958645e-01	-9.719325e-01
2.000000e-01	-2.627073e-02	3.675701e-01	-2.381672e-01	6.340535e-01	-9.911296e-01
2.500000e-01	-1.027747e-01	3.369534e-01	-2.968867e-01	5.256871e-01	-1.020316e+00
3.000000e-01	-1.810600e-01	3.050554e-01	-3.557257e-01	4.108682e-01	-1.046141e+00
3.500000e-01	-2.890010e-01	2.599613e-01	-4.198688e-01	2.453680e-01	-1.075027e+00
4.000000e-01	-3.956032e-01	2.143658e-01	-4.776744e-01	7.920774e-02	-1.095963e+00
4.500000e-01	-5.222362e-01	1.592694e-01	-5.707834e-01	-1.180883e-01	-1.108938e+00
5.000000e-01	-6.383265e-01	1.116311e-01	-6.585686e-01	-3.061488e-01	-1.107508e+00
5.500000e-01	-7.552683e-01	8.404375e-02	-7.561355e-01	-5.050618e-01	-1.085164e+00
6.000000e-01	-8.466459e-01	1.058076e-01	-8.285807e-01	-5.360217e-01	-1.203621e+00
6.500000e-01	-9.132474e-01	1.571652e-01	-9.157190e-01	-5.298085e-01	-1.302294e+00
7.000000e-01	-9.386290e-01	2.092205e-01	-9.702203e-01	-5.018278e-01	-1.340191e+00
7.500000e-01	-9.168092e-01	2.566022e-01	-9.375372e-01	-4.504631e-01	-1.310016e+00
8.000000e-01	-8.475525e-01	2.899974e-01	-8.331378e-01	-3.803184e-01	-1.251286e+00
8.500000e-01	-7.254518e-01	3.081874e-01	-6.819066e-01	-2.687858e-01	-1.173703e+00
9.000000e-01	-5.691870e-01	3.087399e-01	-5.153322e-01	-1.303286e-01	-1.040690e+00
9.500000e-01	-3.805677e-01	2.912679e-01	-3.291335e-01	2.264634e-02	-8.396362e-01
1.000000e+00	-1.915509e-01	2.599592e-01	-1.530898e-01	1.893663e-01	-6.096035e-01
1.050000e+00	-1.109662e-02	2.169021e-01	1.256714e-02	3.220375e-01	-3.780458e-01
1.100000e+00	1.299884e-01	1.706273e-01	1.343674e-01	3.995036e-01	-1.716395e-01
1.150000e+00	2.234908e-01	1.252438e-01	2.218336e-01	4.209340e-01	-4.189942e-02
1.200000e+00	2.563929e-01	8.854814e-02	2.573002e-01	4.185910e-01	1.826803e-02
1.250000e+00	2.311998e-01	6.361296e-02	2.373055e-01	3.596055e-01	3.186447e-02
1.300000e+00	1.600297e-01	5.118529e-02	1.723523e-01	2.945276e-01	-7.353484e-03
