# 		k		<chi>		std
0.00000e+00 -2.61613e-01 1.05660e-01
5.00000e-02 -2.61336e-01 1.05121e-01
1.00000e-01 -2.60891e-01 1.05924e-01
1.50000e-01 -2.60363e-01 1.07999e-01
2.00000e-01 -2.61248e-01 1.09631e-01
2.50000e-01 -2.65192e-01 1.11270e-01
3.00000e-01 -2.72691e-01 1.11722e-01
3.50000e-01 -2.87426e-01 1.10344e-01
4.00000e-01 -3.07659e-01 1.07013e-01
4.50000e-01 -3.38184e-01 1.00276e-01
5.00000e-01 -3.73750e-01 9.16023e-02
5.50000e-01 -4.17988e-01 7.97561e-02
6.00000e-01 -4.61694e-01 6.79357e-02
6.50000e-01 -5.04672e-01 5.64692e-02
7.00000e-01 -5.35664e-01 4.92125e-02
7.50000e-01 -5.49707e-01 4.63135e-02
8.00000e-01 -5.39016e-01 4.65343e-02
8.50000e-01 -4.97527e-01 4.66836e-02
9.00000e-01 -4.27255e-01 4.53471e-02
9.50000e-01 -3.26910e-01 4.26525e-02
1.00000e+00 -2.10847e-01 4.07615e-02
1.05000e+00 -8.57806e-02 4.07039e-02
1.10000e+00 2.71353e-02 4.18787e-02
1.15000e+00 1.17410e-01 4.16405e-02
1.20000e+00 1.69233e-01 3.83873e-02
1.25000e+00 1.77780e-01 3.21209e-02
1.30000e+00 1.43543e-01 2.62838e-02
1.35000e+00 7.39296e-02 2.65155e-02
1.40000e+00 -1.34501e-02 3.31015e-02
1.45000e+00 -1.02488e-01 4.05458e-02
1.50000e+00 -1.69989e-01 4.47809e-02
1.55000e+00 -2.03104e-01 4.47138e-02
1.60000e+00 -1.89859e-01 4.09108e-02
1.65000e+00 -1.31730e-01 3.53616e-02
1.70000e+00 -3.71876e-02 3.02636e-02
1.75000e+00 7.82997e-02 2.71533e-02
1.80000e+00 1.92196e-01 2.50295e-02
1.85000e+00 2.87842e-01 2.26218e-02
1.90000e+00 3.45617e-01 1.86048e-02
1.95000e+00 3.62286e-01 1.38982e-02
2.00000e+00 3.34005e-01 1.03575e-02
2.05000e+00 2.74352e-01 1.08284e-02
2.10000e+00 1.92051e-01 1.33165e-02
2.15000e+00 1.05042e-01 1.44611e-02
2.20000e+00 2.93396e-02 1.31210e-02
2.25000e+00 -2.52414e-02 1.00253e-02
2.30000e+00 -5.43731e-02 7.55462e-03
2.35000e+00 -6.03639e-02 7.94602e-03
2.40000e+00 -5.15178e-02 9.45299e-03
2.45000e+00 -4.10852e-02 1.07370e-02
2.50000e+00 -2.83391e-02 1.10555e-02
2.55000e+00 -1.73139e-02 1.04219e-02
2.60000e+00 -1.04489e-02 9.12782e-03
2.65000e+00 -9.63299e-03 8.02285e-03
2.70000e+00 -1.27281e-02 6.95351e-03
2.75000e+00 -1.84186e-02 6.15797e-03
2.80000e+00 -2.47998e-02 5.62967e-03
2.85000e+00 -3.13546e-02 5.09734e-03
2.90000e+00 -3.43306e-02 4.48397e-03
2.95000e+00 -3.28096e-02 3.74517e-03
3.00000e+00 -2.69586e-02 2.98988e-03
3.05000e+00 -1.69689e-02 2.47497e-03
3.10000e+00 -5.37876e-03 2.29462e-03
3.15000e+00 5.26984e-03 2.36930e-03
3.20000e+00 1.27148e-02 2.61034e-03
3.25000e+00 1.64128e-02 3.03066e-03
3.30000e+00 1.47513e-02 3.58499e-03
3.35000e+00 8.47894e-03 4.07515e-03
3.40000e+00 -5.84341e-04 4.30049e-03
3.45000e+00 -9.57735e-03 4.18080e-03
3.50000e+00 -1.66331e-02 3.74607e-03
3.55000e+00 -2.00863e-02 3.25305e-03
3.60000e+00 -1.93817e-02 3.00114e-03
3.65000e+00 -1.41204e-02 3.39998e-03
3.70000e+00 -6.96158e-03 3.57836e-03
3.75000e+00 -5.51451e-05 3.37932e-03
3.80000e+00 4.54437e-03 3.08630e-03
3.85000e+00 6.09751e-03 2.69349e-03
3.90000e+00 3.68757e-03 2.52940e-03
3.95000e+00 -1.41831e-03 2.69450e-03
4.00000e+00 -7.19361e-03 2.85945e-03
4.05000e+00 -1.26314e-02 3.05622e-03
4.10000e+00 -1.52317e-02 3.01087e-03
4.15000e+00 -1.38454e-02 2.71727e-03
4.20000e+00 -8.46051e-03 2.25624e-03
4.25000e+00 -8.20841e-04 1.77350e-03
4.30000e+00 8.50605e-03 1.66135e-03
4.35000e+00 1.78321e-02 2.28513e-03
4.40000e+00 2.57041e-02 3.25550e-03
4.45000e+00 3.10401e-02 4.27556e-03
4.50000e+00 3.40010e-02 5.06791e-03
4.55000e+00 3.48431e-02 5.56365e-03
4.60000e+00 3.40866e-02 5.80442e-03
4.65000e+00 3.22679e-02 5.95781e-03
4.70000e+00 2.95734e-02 5.95813e-03
4.75000e+00 2.57615e-02 5.77172e-03
4.80000e+00 2.03370e-02 5.43256e-03
4.85000e+00 1.30493e-02 5.27964e-03
4.90000e+00 3.53268e-03 5.88136e-03
4.95000e+00 -7.82001e-03 7.54436e-03
5.00000e+00 -1.99626e-02 9.89965e-03
5.05000e+00 -3.11590e-02 1.23436e-02
5.10000e+00 -3.99755e-02 1.43654e-02
5.15000e+00 -4.50988e-02 1.55572e-02
5.20000e+00 -4.59703e-02 1.56534e-02
5.25000e+00 -4.29390e-02 1.45356e-02
5.30000e+00 -3.75617e-02 1.23867e-02
5.35000e+00 -3.18523e-02 9.64385e-03
5.40000e+00 -2.77981e-02 7.19804e-03
5.45000e+00 -2.65224e-02 6.46936e-03
5.50000e+00 -2.81547e-02 7.87905e-03
5.55000e+00 -3.12300e-02 1.00462e-02
5.60000e+00 -3.30789e-02 1.20854e-02
5.65000e+00 -3.03801e-02 1.37703e-02
5.70000e+00 -2.06595e-02 1.52192e-02
5.75000e+00 -2.75706e-03 1.65033e-02
5.80000e+00 2.23341e-02 1.75831e-02
5.85000e+00 5.12845e-02 1.83294e-02
5.90000e+00 7.89570e-02 1.87397e-02
5.95000e+00 9.97358e-02 1.88699e-02
6.00000e+00 1.08828e-01 1.87829e-02
6.05000e+00 1.03003e-01 1.83034e-02
6.10000e+00 8.31051e-02 1.73923e-02
6.15000e+00 5.26246e-02 1.60269e-02
6.20000e+00 1.72645e-02 1.45899e-02
6.25000e+00 -1.64545e-02 1.40050e-02
6.30000e+00 -4.27970e-02 1.51213e-02
6.35000e+00 -5.81780e-02 1.76381e-02
6.40000e+00 -6.19047e-02 2.04103e-02
6.45000e+00 -5.60999e-02 2.24161e-02
6.50000e+00 -4.48533e-02 2.30957e-02
6.55000e+00 -3.28036e-02 2.22570e-02
6.60000e+00 -2.40671e-02 2.02836e-02
6.65000e+00 -2.06171e-02 1.77624e-02
6.70000e+00 -2.21166e-02 1.53581e-02
6.75000e+00 -2.63200e-02 1.35823e-02
6.80000e+00 -3.00486e-02 1.25660e-02
6.85000e+00 -3.03790e-02 1.20464e-02
6.90000e+00 -2.56408e-02 1.16547e-02
6.95000e+00 -1.59059e-02 1.12372e-02
7.00000e+00 -2.84400e-03 1.10255e-02
7.05000e+00 1.11721e-02 1.15676e-02
7.10000e+00 2.32075e-02 1.33434e-02
7.15000e+00 3.15167e-02 1.61529e-02
7.20000e+00 3.57239e-02 1.93420e-02
7.25000e+00 3.67197e-02 2.22222e-02
7.30000e+00 3.60793e-02 2.42465e-02
7.35000e+00 3.52550e-02 2.50443e-02
7.40000e+00 3.48744e-02 2.44214e-02
7.45000e+00 3.44254e-02 2.23628e-02
7.50000e+00 3.24571e-02 1.90595e-02
7.55000e+00 2.71550e-02 1.49907e-02
7.60000e+00 1.74386e-02 1.12395e-02
7.65000e+00 3.37551e-03 9.80628e-03
7.70000e+00 -1.34175e-02 1.19051e-02
7.75000e+00 -3.00523e-02 1.57459e-02
7.80000e+00 -4.31441e-02 1.95508e-02
7.85000e+00 -4.98319e-02 2.24738e-02
7.90000e+00 -4.86961e-02 2.41426e-02
7.95000e+00 -4.02537e-02 2.44918e-02
8.00000e+00 -2.68522e-02 2.37302e-02
8.05000e+00 -1.19047e-02 2.22223e-02
8.10000e+00 8.69502e-04 2.04855e-02
8.15000e+00 8.82246e-03 1.88056e-02
8.20000e+00 1.10128e-02 1.71092e-02
8.25000e+00 8.39112e-03 1.51219e-02
8.30000e+00 3.36233e-03 1.27613e-02
8.35000e+00 -1.11364e-03 1.05652e-02
8.40000e+00 -2.56062e-03 9.95150e-03
8.45000e+00 1.93792e-04 1.19815e-02
8.50000e+00 6.68017e-03 1.57405e-02
8.55000e+00 1.50133e-02 1.98971e-02
8.60000e+00 2.26175e-02 2.35195e-02
8.65000e+00 2.69548e-02 2.60144e-02
8.70000e+00 2.64284e-02 2.70053e-02
8.75000e+00 2.09129e-02 2.63370e-02
8.80000e+00 1.17772e-02 2.40927e-02
8.85000e+00 1.39677e-03 2.05725e-02
8.90000e+00 -7.65832e-03 1.62484e-02
8.95000e+00 -1.34582e-02 1.18079e-02
9.00000e+00 -1.52721e-02 8.56563e-03
9.05000e+00 -1.36296e-02 8.69726e-03
9.10000e+00 -1.00591e-02 1.18546e-02
9.15000e+00 -6.51576e-03 1.56696e-02
9.20000e+00 -4.64117e-03 1.88786e-02
9.25000e+00 -5.18594e-03 2.09894e-02
9.30000e+00 -7.77006e-03 2.19486e-02
9.35000e+00 -1.10557e-02 2.20068e-02
9.40000e+00 -1.32612e-02 2.15205e-02
9.45000e+00 -1.28291e-02 2.06881e-02
9.50000e+00 -9.01080e-03 1.94067e-02
9.55000e+00 -2.13367e-03 1.74033e-02
9.60000e+00 6.40861e-03 1.45368e-02
9.65000e+00 1.45782e-02 1.11765e-02
9.70000e+00 2.03403e-02 8.62820e-03
9.75000e+00 2.22906e-02 8.87156e-03
9.80000e+00 2.00733e-02 1.14589e-02
9.85000e+00 1.44585e-02 1.43510e-02
9.90000e+00 7.06313e-03 1.66149e-02
9.95000e+00 -1.82548e-04 1.82162e-02
1.00000e+01 -5.63828e-03 1.94975e-02
1.00500e+01 -8.44178e-03 2.07020e-02
1.01000e+01 -8.64714e-03 2.16192e-02
1.01500e+01 -7.17490e-03 2.17211e-02
1.02000e+01 -5.36278e-03 2.04901e-02
1.02500e+01 -4.43100e-03 1.77229e-02
1.03000e+01 -5.02066e-03 1.37222e-02
1.03500e+01 -6.96535e-03 9.59085e-03
1.04000e+01 -9.37113e-03 7.96849e-03
1.04500e+01 -1.09699e-02 1.04596e-02
1.05000e+01 -1.06155e-02 1.42439e-02
1.05500e+01 -7.74351e-03 1.73249e-02
1.06000e+01 -2.62878e-03 1.90516e-02
1.06500e+01 3.65253e-03 1.93424e-02
1.07000e+01 9.54681e-03 1.84248e-02
1.07500e+01 1.35235e-02 1.67040e-02
1.08000e+01 1.45818e-02 1.46547e-02
1.08500e+01 1.25895e-02 1.27138e-02
1.09000e+01 8.33832e-03 1.11564e-02
1.09500e+01 3.29330e-03 1.00019e-02
1.10000e+01 -8.82576e-04 9.08423e-03
1.10500e+01 -2.81195e-03 8.32096e-03
1.11000e+01 -2.05697e-03 7.97835e-03
1.11500e+01 9.40534e-04 8.56153e-03
1.12000e+01 4.92835e-03 1.01584e-02
1.12500e+01 8.24334e-03 1.22729e-02
1.13000e+01 9.34532e-03 1.43285e-02
