# 		k		<chi>		std
0.00000e+00 -1.40178e-01 2.70321e-01
5.00000e-02 -1.45333e-01 2.63367e-01
1.00000e-01 -1.51338e-01 2.54853e-01
1.50000e-01 -1.70229e-01 2.30100e-01
2.00000e-01 -1.90316e-01 2.06691e-01
2.50000e-01 -2.26401e-01 1.71968e-01
3.00000e-01 -2.65232e-01 1.44360e-01
3.50000e-01 -3.23080e-01 1.22875e-01
4.00000e-01 -3.83868e-01 1.24001e-01
4.50000e-01 -4.62109e-01 1.47305e-01
5.00000e-01 -5.39122e-01 1.78604e-01
5.50000e-01 -6.23093e-01 2.12797e-01
6.00000e-01 -6.95420e-01 2.38326e-01
6.50000e-01 -7.55395e-01 2.54683e-01
7.00000e-01 -7.89248e-01 2.57694e-01
7.50000e-01 -7.89034e-01 2.46972e-01
8.00000e-01 -7.51993e-01 2.25069e-01
8.50000e-01 -6.69360e-01 1.92092e-01
9.00000e-01 -5.53812e-01 1.55924e-01
9.50000e-01 -4.03414e-01 1.18120e-01
1.00000e+00 -2.44386e-01 8.81922e-02
1.05000e+00 -8.41641e-02 6.71438e-02
1.10000e+00 4.84154e-02 5.56095e-02
1.15000e+00 1.42812e-01 4.67538e-02
1.20000e+00 1.83877e-01 3.97732e-02
1.25000e+00 1.69373e-01 4.19043e-02
1.30000e+00 1.08406e-01 5.51850e-02
1.35000e+00 1.30432e-02 7.14778e-02
1.40000e+00 -8.88770e-02 7.97707e-02
1.45000e+00 -1.78292e-01 7.63092e-02
1.50000e+00 -2.29154e-01 6.04725e-02
1.55000e+00 -2.31372e-01 4.06519e-02
1.60000e+00 -1.81153e-01 4.19628e-02
1.65000e+00 -8.71384e-02 6.43924e-02
1.70000e+00 2.98266e-02 8.04856e-02
1.75000e+00 1.50165e-01 8.09888e-02
1.80000e+00 2.46781e-01 6.12377e-02
1.85000e+00 3.08123e-01 2.75947e-02
1.90000e+00 3.22428e-01 2.67656e-02
1.95000e+00 2.96954e-01 6.66376e-02
2.00000e+00 2.39754e-01 9.55606e-02
2.05000e+00 1.67827e-01 1.08285e-01
2.10000e+00 9.69545e-02 9.75439e-02
2.15000e+00 4.03369e-02 6.82164e-02
2.20000e+00 3.39766e-03 3.11818e-02
2.25000e+00 -1.81077e-02 9.01724e-03
2.30000e+00 -2.73033e-02 2.39016e-02
2.35000e+00 -2.89230e-02 2.85662e-02
2.40000e+00 -2.77246e-02 2.23700e-02
2.45000e+00 -2.48144e-02 1.68165e-02
2.50000e+00 -2.11010e-02 1.06900e-02
2.55000e+00 -1.77927e-02 7.49390e-03
2.60000e+00 -1.53434e-02 7.13959e-03
2.65000e+00 -1.54654e-02 6.25117e-03
2.70000e+00 -1.68029e-02 4.28288e-03
2.75000e+00 -1.86639e-02 4.59443e-03
2.80000e+00 -2.02391e-02 8.26528e-03
2.85000e+00 -2.22690e-02 1.22012e-02
2.90000e+00 -2.21347e-02 1.44755e-02
2.95000e+00 -1.95374e-02 1.43568e-02
3.00000e+00 -1.47900e-02 1.19358e-02
3.05000e+00 -7.94100e-03 7.80632e-03
3.10000e+00 -7.65868e-04 3.10273e-03
3.15000e+00 5.30878e-03 3.27934e-03
3.20000e+00 9.09726e-03 6.40869e-03
3.25000e+00 1.01206e-02 8.42805e-03
3.30000e+00 7.94541e-03 8.15721e-03
3.35000e+00 3.29108e-03 5.96584e-03
3.40000e+00 -2.58324e-03 3.63510e-03
3.45000e+00 -7.93299e-03 4.97061e-03
3.50000e+00 -1.14304e-02 8.05413e-03
