# 		k		<chi>		std
0.00000e+00 -2.77401e-01 1.05467e-01
5.00000e-02 -2.74484e-01 1.05130e-01
1.00000e-01 -2.74173e-01 1.05870e-01
1.50000e-01 -2.73993e-01 1.07759e-01
2.00000e-01 -2.75154e-01 1.09202e-01
2.50000e-01 -2.79385e-01 1.10546e-01
3.00000e-01 -2.86972e-01 1.10716e-01
3.50000e-01 -3.01495e-01 1.09023e-01
4.00000e-01 -3.21157e-01 1.05447e-01
4.50000e-01 -3.50480e-01 9.85803e-02
5.00000e-01 -3.84387e-01 8.99554e-02
5.50000e-01 -4.26184e-01 7.84853e-02
6.00000e-01 -4.67091e-01 6.73439e-02
6.50000e-01 -5.06700e-01 5.69423e-02
7.00000e-01 -5.34354e-01 5.07070e-02
7.50000e-01 -5.45047e-01 4.83082e-02
8.00000e-01 -5.31628e-01 4.82561e-02
8.50000e-01 -4.88153e-01 4.76148e-02
9.00000e-01 -4.16973e-01 4.54028e-02
9.50000e-01 -3.16823e-01 4.20424e-02
1.00000e+00 -2.02005e-01 4.00634e-02
1.05000e+00 -7.90608e-02 4.06143e-02
1.10000e+00 3.12626e-02 4.27417e-02
1.15000e+00 1.18802e-01 4.33832e-02
1.20000e+00 1.68229e-01 4.06309e-02
1.25000e+00 1.74974e-01 3.41568e-02
1.30000e+00 1.39795e-01 2.68358e-02
1.35000e+00 7.00943e-02 2.45648e-02
1.40000e+00 -1.66131e-02 3.01029e-02
1.45000e+00 -1.04483e-01 3.79354e-02
1.50000e+00 -1.70652e-01 4.30735e-02
1.55000e+00 -2.02589e-01 4.38691e-02
1.60000e+00 -1.88592e-01 4.04943e-02
1.65000e+00 -1.30254e-01 3.47302e-02
1.70000e+00 -3.60152e-02 2.88593e-02
1.75000e+00 7.88229e-02 2.50470e-02
1.80000e+00 1.91997e-01 2.29280e-02
1.85000e+00 2.87096e-01 2.10361e-02
1.90000e+00 3.44699e-01 1.76090e-02
1.95000e+00 3.61611e-01 1.31549e-02
2.00000e+00 3.33899e-01 9.50259e-03
2.05000e+00 2.74986e-01 1.00419e-02
2.10000e+00 1.93307e-01 1.28767e-02
2.15000e+00 1.06586e-01 1.43125e-02
2.20000e+00 3.07412e-02 1.31289e-02
2.25000e+00 -2.44096e-02 9.90711e-03
2.30000e+00 -5.42064e-02 7.02706e-03
2.35000e+00 -6.07641e-02 7.17850e-03
2.40000e+00 -5.22446e-02 8.72297e-03
2.45000e+00 -4.19571e-02 1.00098e-02
2.50000e+00 -2.92199e-02 1.03199e-02
2.55000e+00 -1.81018e-02 9.68769e-03
2.60000e+00 -1.10812e-02 8.42659e-03
2.65000e+00 -1.00330e-02 7.32233e-03
2.70000e+00 -1.28708e-02 6.30791e-03
2.75000e+00 -1.83217e-02 5.63108e-03
2.80000e+00 -2.45169e-02 5.24946e-03
2.85000e+00 -3.09540e-02 4.87615e-03
2.90000e+00 -3.39068e-02 4.36138e-03
2.95000e+00 -3.24490e-02 3.65511e-03
3.00000e+00 -2.67236e-02 2.88102e-03
3.05000e+00 -1.68979e-02 2.31378e-03
3.10000e+00 -5.46854e-03 2.10784e-03
3.15000e+00 5.05890e-03 2.19177e-03
3.20000e+00 1.24456e-02 2.43152e-03
3.25000e+00 1.61576e-02 2.83968e-03
3.30000e+00 1.45798e-02 3.39013e-03
3.35000e+00 8.43333e-03 3.91172e-03
3.40000e+00 -4.97390e-04 4.20509e-03
3.45000e+00 -9.37362e-03 4.17133e-03
3.50000e+00 -1.63658e-02 3.78384e-03
3.55000e+00 -1.98234e-02 3.24016e-03
3.60000e+00 -1.91848e-02 2.82338e-03
3.65000e+00 -1.39958e-02 3.03308e-03
3.70000e+00 -6.93817e-03 3.15867e-03
3.75000e+00 -1.12449e-04 2.99310e-03
3.80000e+00 4.45131e-03 2.80019e-03
3.85000e+00 6.00567e-03 2.53034e-03
3.90000e+00 3.63271e-03 2.43714e-03
3.95000e+00 -1.42904e-03 2.60326e-03
4.00000e+00 -7.18481e-03 2.77415e-03
4.05000e+00 -1.26283e-02 2.96355e-03
4.10000e+00 -1.52671e-02 2.96801e-03
4.15000e+00 -1.39399e-02 2.77047e-03
4.20000e+00 -8.61192e-03 2.40278e-03
4.25000e+00 -1.00277e-03 1.92480e-03
4.30000e+00 8.32697e-03 1.61454e-03
4.35000e+00 1.76904e-02 1.95323e-03
4.40000e+00 2.56216e-02 2.77769e-03
4.45000e+00 3.10186e-02 3.72333e-03
4.50000e+00 3.40236e-02 4.48184e-03
4.55000e+00 3.48818e-02 4.97510e-03
4.60000e+00 3.41146e-02 5.23918e-03
4.65000e+00 3.22694e-02 5.41395e-03
4.70000e+00 2.95530e-02 5.44573e-03
4.75000e+00 2.57398e-02 5.29282e-03
4.80000e+00 2.03455e-02 4.97558e-03
4.85000e+00 1.31178e-02 4.79603e-03
4.90000e+00 3.67883e-03 5.27517e-03
4.95000e+00 -7.59770e-03 6.71060e-03
5.00000e+00 -1.96827e-02 8.77313e-03
5.05000e+00 -3.08535e-02 1.09136e-02
5.10000e+00 -3.96769e-02 1.26789e-02
5.15000e+00 -4.48317e-02 1.37156e-02
5.20000e+00 -4.57470e-02 1.37988e-02
5.25000e+00 -4.27638e-02 1.28364e-02
5.30000e+00 -3.74299e-02 1.10077e-02
5.35000e+00 -3.17613e-02 8.73576e-03
5.40000e+00 -2.77524e-02 6.85804e-03
5.45000e+00 -2.65339e-02 6.50645e-03
5.50000e+00 -2.82384e-02 7.80335e-03
5.55000e+00 -3.13976e-02 9.63644e-03
5.60000e+00 -3.33334e-02 1.12937e-02
5.65000e+00 -3.07134e-02 1.25648e-02
5.70000e+00 -2.10551e-02 1.35659e-02
5.75000e+00 -3.19649e-03 1.44198e-02
5.80000e+00 2.18662e-02 1.51837e-02
5.85000e+00 5.08024e-02 1.58205e-02
5.90000e+00 7.84704e-02 1.63339e-02
5.95000e+00 9.92593e-02 1.67036e-02
6.00000e+00 1.08389e-01 1.68728e-02
6.05000e+00 1.02651e-01 1.66002e-02
6.10000e+00 8.28965e-02 1.58361e-02
6.15000e+00 5.26181e-02 1.46030e-02
6.20000e+00 1.75006e-02 1.32705e-02
6.25000e+00 -1.59694e-02 1.26234e-02
6.30000e+00 -4.21001e-02 1.33777e-02
6.35000e+00 -5.73454e-02 1.53382e-02
6.40000e+00 -6.10353e-02 1.75885e-02
6.45000e+00 -5.52899e-02 1.92762e-02
6.50000e+00 -4.41723e-02 1.99229e-02
6.55000e+00 -3.22810e-02 1.93546e-02
6.60000e+00 -2.36893e-02 1.78824e-02
6.65000e+00 -2.03441e-02 1.59913e-02
6.70000e+00 -2.19072e-02 1.42248e-02
6.75000e+00 -2.61576e-02 1.29676e-02
6.80000e+00 -2.99559e-02 1.22641e-02
6.85000e+00 -3.04161e-02 1.18615e-02
6.90000e+00 -2.58858e-02 1.14711e-02
6.95000e+00 -1.64256e-02 1.10023e-02
7.00000e+00 -3.66362e-03 1.06734e-02
7.05000e+00 1.00876e-02 1.09500e-02
7.10000e+00 2.19580e-02 1.22862e-02
7.15000e+00 3.02463e-02 1.45799e-02
7.20000e+00 3.45889e-02 1.72904e-02
7.25000e+00 3.58533e-02 1.97935e-02
7.30000e+00 3.55638e-02 2.15652e-02
7.35000e+00 3.51103e-02 2.22374e-02
7.40000e+00 3.50643e-02 2.16208e-02
7.45000e+00 3.48775e-02 1.97191e-02
7.50000e+00 3.30879e-02 1.67484e-02
7.55000e+00 2.78866e-02 1.31885e-02
7.60000e+00 1.82208e-02 1.00242e-02
7.65000e+00 4.18147e-03 8.88809e-03
7.70000e+00 -1.26001e-02 1.06128e-02
7.75000e+00 -2.92334e-02 1.37448e-02
7.80000e+00 -4.23402e-02 1.68533e-02
7.85000e+00 -4.90681e-02 1.92447e-02
7.90000e+00 -4.80028e-02 2.06397e-02
7.95000e+00 -3.96609e-02 2.10441e-02
8.00000e+00 -2.63849e-02 2.06956e-02
8.05000e+00 -1.15878e-02 1.98954e-02
8.10000e+00 1.01340e-03 1.89483e-02
8.15000e+00 8.77072e-03 1.78662e-02
8.20000e+00 1.07401e-02 1.64104e-02
8.25000e+00 7.87164e-03 1.43426e-02
8.30000e+00 2.57860e-03 1.17466e-02
8.35000e+00 -2.15575e-03 9.37661e-03
8.40000e+00 -3.81785e-03 8.87607e-03
8.45000e+00 -1.19211e-03 1.10896e-02
8.50000e+00 5.28798e-03 1.46845e-02
8.55000e+00 1.37534e-02 1.83441e-02
8.60000e+00 2.16168e-02 2.13054e-02
8.65000e+00 2.63129e-02 2.31435e-02
8.70000e+00 2.62010e-02 2.36403e-02
8.75000e+00 2.11039e-02 2.27653e-02
8.80000e+00 1.23423e-02 2.06580e-02
8.85000e+00 2.25769e-03 1.75808e-02
8.90000e+00 -6.59618e-03 1.38776e-02
8.95000e+00 -1.22909e-02 1.00465e-02
9.00000e+00 -1.40882e-02 7.18527e-03
9.05000e+00 -1.25051e-02 7.33806e-03
9.10000e+00 -9.05851e-03 1.02058e-02
9.15000e+00 -5.68676e-03 1.35586e-02
9.20000e+00 -4.01053e-03 1.62764e-02
9.25000e+00 -4.75691e-03 1.79994e-02
9.30000e+00 -7.52417e-03 1.88072e-02
9.35000e+00 -1.09602e-02 1.90335e-02
9.40000e+00 -1.32811e-02 1.89910e-02
9.45000e+00 -1.29402e-02 1.87032e-02
9.50000e+00 -9.21062e-03 1.78821e-02
9.55000e+00 -2.44738e-03 1.61837e-02
9.60000e+00 5.93775e-03 1.34998e-02
9.65000e+00 1.39036e-02 1.02398e-02
9.70000e+00 1.94341e-02 7.67663e-03
9.75000e+00 2.11646e-02 7.80139e-03
9.80000e+00 1.87912e-02 1.02281e-02
9.85000e+00 1.31332e-02 1.29429e-02
9.90000e+00 5.83913e-03 1.50436e-02
9.95000e+00 -1.15750e-03 1.64495e-02
1.00000e+01 -6.24399e-03 1.74260e-02
1.00500e+01 -8.60695e-03 1.82159e-02
1.01000e+01 -8.36703e-03 1.87351e-02
1.01500e+01 -6.50268e-03 1.86227e-02
1.02000e+01 -4.39114e-03 1.74678e-02
1.02500e+01 -3.26823e-03 1.50777e-02
1.03000e+01 -3.76974e-03 1.16778e-02
1.03500e+01 -5.71217e-03 8.19880e-03
1.04000e+01 -8.18363e-03 6.89710e-03
1.04500e+01 -9.90484e-03 9.05568e-03
1.05000e+01 -9.72679e-03 1.22659e-02
1.05500e+01 -7.08525e-03 1.48611e-02
1.06000e+01 -2.24995e-03 1.63212e-02
1.06500e+01 3.72096e-03 1.66180e-02
1.07000e+01 9.30663e-03 1.59704e-02
1.07500e+01 1.30184e-02 1.47060e-02
1.08000e+01 1.38945e-02 1.31655e-02
1.08500e+01 1.18255e-02 1.16425e-02
1.09000e+01 7.59905e-03 1.03360e-02
1.09500e+01 2.64818e-03 9.30745e-03
1.10000e+01 -1.41524e-03 8.50471e-03
1.10500e+01 -3.26912e-03 7.91321e-03
1.11000e+01 -2.51016e-03 7.73344e-03
1.11500e+01 4.13488e-04 8.28119e-03
1.12000e+01 4.27930e-03 9.56249e-03
1.12500e+01 7.48247e-03 1.11935e-02
1.13000e+01 8.55172e-03 1.27396e-02
1.13500e+01 6.62491e-03 1.39356e-02
1.14000e+01 1.73602e-03 1.46916e-02
1.14500e+01 -5.17263e-03 1.49901e-02
1.15000e+01 -1.25111e-02 1.47776e-02
1.15500e+01 -1.84904e-02 1.39426e-02
1.16000e+01 -2.16179e-02 1.24136e-02
1.16500e+01 -2.10931e-02 1.03270e-02
1.17000e+01 -1.69929e-02 8.23523e-03
1.17500e+01 -1.02058e-02 7.24017e-03
1.18000e+01 -2.15276e-03 8.09522e-03
1.18500e+01 5.60655e-03 9.96614e-03
1.19000e+01 1.17615e-02 1.17345e-02
1.19500e+01 1.55214e-02 1.28437e-02
1.20000e+01 1.67107e-02 1.31328e-02
1.20500e+01 1.57121e-02 1.26837e-02
1.21000e+01 1.31408e-02 1.16271e-02
1.21500e+01 9.77590e-03 1.01969e-02
1.22000e+01 6.29904e-03 8.67474e-03
1.22500e+01 3.17583e-03 7.37220e-03
1.23000e+01 6.39054e-04 6.54820e-03
1.23500e+01 -1.25032e-03 6.24951e-03
1.24000e+01 -2.51276e-03 6.27939e-03
1.24500e+01 -3.18109e-03 6.40785e-03
1.25000e+01 -3.28421e-03 6.54297e-03
1.25500e+01 -2.88418e-03 6.73049e-03
1.26000e+01 -2.13754e-03 7.08449e-03
1.26500e+01 -1.33587e-03 7.71205e-03
1.27000e+01 -8.86494e-04 8.62918e-03
1.27500e+01 -1.21797e-03 9.69392e-03
1.28000e+01 -2.63007e-03 1.06200e-02
1.28500e+01 -5.13814e-03 1.10757e-02
1.29000e+01 -8.37498e-03 1.08180e-02
1.29500e+01 -1.16035e-02 9.82123e-03
1.30000e+01 -1.38595e-02 8.38804e-03
1.30500e+01 -1.42243e-02 7.22703e-03
1.31000e+01 -1.20631e-02 7.12590e-03
1.31500e+01 -7.25874e-03 8.07619e-03
1.32000e+01 -3.42332e-04 9.28271e-03
1.32500e+01 7.55654e-03 1.01119e-02
1.33000e+01 1.49376e-02 1.03253e-02
1.33500e+01 2.02842e-02 9.94705e-03
1.34000e+01 2.24505e-02 9.13473e-03
1.34500e+01 2.09702e-02 8.10682e-03
1.35000e+01 1.61934e-02 7.12483e-03
1.35500e+01 9.20752e-03 6.46230e-03
1.36000e+01 1.55933e-03 6.25492e-03
1.36500e+01 -5.14419e-03 6.34454e-03
1.37000e+01 -9.64166e-03 6.41073e-03
1.37500e+01 -1.13157e-02 6.24298e-03
1.38000e+01 -1.03029e-02 5.87035e-03
1.38500e+01 -7.39299e-03 5.53670e-03
1.39000e+01 -3.75743e-03 5.52781e-03
1.39500e+01 -5.97284e-04 5.91345e-03
1.40000e+01 1.18396e-03 6.51654e-03
1.40500e+01 1.19743e-03 7.14449e-03
1.41000e+01 -3.96362e-04 7.64290e-03
1.41500e+01 -3.01543e-03 7.92854e-03
1.42000e+01 -5.84233e-03 7.93461e-03
1.42500e+01 -8.06978e-03 7.62517e-03
1.43000e+01 -9.10531e-03 7.04522e-03
1.43500e+01 -8.68169e-03 6.36241e-03
1.44000e+01 -6.85864e-03 5.84913e-03
1.44500e+01 -3.93956e-03 5.74162e-03
