# 		k		<chi>		std
0.00000e+00 -3.57097e-01 6.65454e-02
5.00000e-02 -3.64959e-01 7.09734e-02
1.00000e-01 -3.72567e-01 7.05270e-02
1.50000e-01 -3.95466e-01 6.96167e-02
2.00000e-01 -4.18629e-01 6.93511e-02
2.50000e-01 -4.56912e-01 7.02944e-02
3.00000e-01 -4.94947e-01 7.27795e-02
3.50000e-01 -5.45585e-01 7.80301e-02
4.00000e-01 -5.93099e-01 8.45056e-02
4.50000e-01 -6.45859e-01 9.27889e-02
5.00000e-01 -6.88815e-01 1.00048e-01
5.50000e-01 -7.23717e-01 1.05843e-01
6.00000e-01 -7.38893e-01 1.07894e-01
6.50000e-01 -7.29420e-01 1.05026e-01
7.00000e-01 -6.91428e-01 9.70097e-02
7.50000e-01 -6.16966e-01 8.30407e-02
8.00000e-01 -5.13982e-01 6.61155e-02
8.50000e-01 -3.77098e-01 4.85850e-02
9.00000e-01 -2.26590e-01 3.93325e-02
9.50000e-01 -6.38450e-02 4.33169e-02
1.00000e+00 8.47957e-02 5.31452e-02
1.05000e+00 2.13185e-01 6.03168e-02
1.10000e+00 3.00431e-01 6.06182e-02
1.15000e+00 3.42542e-01 5.35026e-02
1.20000e+00 3.34625e-01 4.07778e-02
1.25000e+00 2.81265e-01 2.61328e-02
1.30000e+00 1.95420e-01 1.81954e-02
1.35000e+00 8.95758e-02 2.28124e-02
1.40000e+00 -1.44938e-02 2.91548e-02
1.45000e+00 -1.04494e-01 3.10701e-02
1.50000e+00 -1.63860e-01 2.78331e-02
1.55000e+00 -1.89392e-01 2.20030e-02
1.60000e+00 -1.78760e-01 1.79578e-02
1.65000e+00 -1.39651e-01 1.91264e-02
1.70000e+00 -8.19426e-02 2.21997e-02
1.75000e+00 -1.70323e-02 2.35047e-02
1.80000e+00 4.28643e-02 2.17991e-02
1.85000e+00 9.20891e-02 1.82998e-02
1.90000e+00 1.24076e-01 1.46831e-02
1.95000e+00 1.41903e-01 1.28515e-02
2.00000e+00 1.44284e-01 1.24004e-02
