# 		k		<chi>		std
0.00000e+00 5.54809e-01 1.06024e-01
5.00000e-02 5.41437e-01 1.04010e-01
1.00000e-01 5.26483e-01 1.03451e-01
1.50000e-01 4.79926e-01 1.01624e-01
2.00000e-01 4.31320e-01 9.95823e-02
2.50000e-01 3.47015e-01 9.58789e-02
3.00000e-01 2.59665e-01 9.18815e-02
3.50000e-01 1.37274e-01 8.62992e-02
4.00000e-01 1.54411e-02 8.09214e-02
4.50000e-01 -1.30992e-01 7.50209e-02
5.00000e-01 -2.66685e-01 7.03343e-02
5.50000e-01 -4.07550e-01 6.63490e-02
6.00000e-01 -5.23206e-01 6.37569e-02
6.50000e-01 -6.21588e-01 6.18259e-02
7.00000e-01 -6.82598e-01 6.04382e-02
7.50000e-01 -7.09554e-01 5.95442e-02
8.00000e-01 -6.96718e-01 5.88978e-02
8.50000e-01 -6.46010e-01 5.86775e-02
9.00000e-01 -5.66539e-01 5.76730e-02
9.50000e-01 -4.60442e-01 5.52887e-02
1.00000e+00 -3.47186e-01 5.08540e-02
1.05000e+00 -2.29026e-01 4.50948e-02
1.10000e+00 -1.27251e-01 4.02513e-02
1.15000e+00 -4.31923e-02 3.91036e-02
1.20000e+00 9.75346e-03 4.14063e-02
1.25000e+00 3.27711e-02 4.46041e-02
1.30000e+00 2.73159e-02 4.47400e-02
1.35000e+00 -1.37068e-03 4.10044e-02
1.40000e+00 -3.80539e-02 3.36502e-02
1.45000e+00 -7.46067e-02 2.60152e-02
1.50000e+00 -9.34952e-02 2.27054e-02
1.55000e+00 -8.95479e-02 2.51001e-02
1.60000e+00 -5.83309e-02 2.79365e-02
1.65000e+00 -3.70981e-03 2.77826e-02
1.70000e+00 6.04601e-02 2.35233e-02
1.75000e+00 1.23832e-01 1.69043e-02
1.80000e+00 1.66964e-01 1.22752e-02
1.85000e+00 1.85178e-01 1.48449e-02
1.90000e+00 1.71879e-01 1.98134e-02
1.95000e+00 1.35518e-01 2.28733e-02
2.00000e+00 8.57959e-02 2.23704e-02
2.05000e+00 3.58615e-02 1.88776e-02
2.10000e+00 1.16927e-04 1.39995e-02
2.15000e+00 -1.47922e-02 9.63016e-03
2.20000e+00 -1.21142e-02 6.97363e-03
2.25000e+00 -6.96245e-03 6.29125e-03
2.30000e+00 9.15701e-04 6.17908e-03
2.35000e+00 6.97815e-03 6.15541e-03
2.40000e+00 8.37688e-03 6.01092e-03
2.45000e+00 8.63243e-03 5.92944e-03
2.50000e+00 6.19865e-03 5.60525e-03
2.55000e+00 1.86371e-03 5.03227e-03
2.60000e+00 -3.12342e-03 4.25713e-03
2.65000e+00 -8.92276e-03 3.51326e-03
2.70000e+00 -1.41405e-02 2.78652e-03
2.75000e+00 -1.78995e-02 2.25905e-03
2.80000e+00 -1.97793e-02 2.04291e-03
2.85000e+00 -2.09379e-02 2.04111e-03
2.90000e+00 -1.97265e-02 2.13164e-03
2.95000e+00 -1.66726e-02 2.24883e-03
3.00000e+00 -1.25603e-02 2.41899e-03
3.05000e+00 -7.42581e-03 2.76780e-03
3.10000e+00 -2.75935e-03 3.15561e-03
3.15000e+00 8.19537e-04 3.42871e-03
3.20000e+00 3.15542e-03 3.44746e-03
3.25000e+00 4.48203e-03 3.10008e-03
3.30000e+00 5.15181e-03 2.49354e-03
3.35000e+00 5.79588e-03 2.08998e-03
3.40000e+00 6.81946e-03 2.46895e-03
3.45000e+00 8.24122e-03 3.35824e-03
3.50000e+00 9.75717e-03 4.04301e-03
3.55000e+00 1.07702e-02 4.17311e-03
3.60000e+00 1.07036e-02 3.68184e-03
3.65000e+00 9.14871e-03 2.76517e-03
3.70000e+00 6.15261e-03 2.17556e-03
3.75000e+00 2.28067e-03 2.77317e-03
3.80000e+00 -1.64474e-03 3.83315e-03
3.85000e+00 -5.05419e-03 4.62481e-03
3.90000e+00 -7.19019e-03 4.72911e-03
3.95000e+00 -7.87351e-03 4.11471e-03
4.00000e+00 -7.36803e-03 2.99318e-03
4.05000e+00 -6.45703e-03 1.95774e-03
4.10000e+00 -5.50239e-03 2.10449e-03
4.15000e+00 -4.86600e-03 3.17121e-03
4.20000e+00 -4.59569e-03 4.10314e-03
4.25000e+00 -4.75972e-03 4.62029e-03
4.30000e+00 -4.59803e-03 4.63532e-03
4.35000e+00 -3.66664e-03 4.22987e-03
4.40000e+00 -1.70920e-03 3.58209e-03
4.45000e+00 1.00079e-03 2.98201e-03
4.50000e+00 4.50192e-03 2.59258e-03
4.55000e+00 8.41066e-03 2.51426e-03
4.60000e+00 1.22883e-02 2.63947e-03
4.65000e+00 1.56635e-02 2.84292e-03
4.70000e+00 1.84069e-02 3.05753e-03
4.75000e+00 2.02233e-02 3.35661e-03
4.80000e+00 2.07916e-02 3.80228e-03
4.85000e+00 1.98851e-02 4.33614e-03
4.90000e+00 1.71694e-02 4.83556e-03
4.95000e+00 1.25075e-02 5.21510e-03
5.00000e+00 6.07573e-03 5.49215e-03
5.05000e+00 -1.50349e-03 5.73791e-03
5.10000e+00 -9.35408e-03 6.00091e-03
5.15000e+00 -1.64140e-02 6.17826e-03
5.20000e+00 -2.17320e-02 6.08956e-03
5.25000e+00 -2.46745e-02 5.61076e-03
5.30000e+00 -2.52804e-02 4.90292e-03
5.35000e+00 -2.40711e-02 4.37594e-03
5.40000e+00 -2.18939e-02 4.48808e-03
5.45000e+00 -1.94523e-02 5.18660e-03
5.50000e+00 -1.73950e-02 6.06410e-03
5.55000e+00 -1.57400e-02 6.87379e-03
5.60000e+00 -1.40222e-02 7.58934e-03
5.65000e+00 -1.14621e-02 8.19898e-03
5.70000e+00 -7.61126e-03 8.66867e-03
5.75000e+00 -2.36736e-03 8.87576e-03
5.80000e+00 3.76281e-03 8.74198e-03
5.85000e+00 9.77466e-03 8.27313e-03
5.90000e+00 1.45053e-02 7.63009e-03
5.95000e+00 1.71394e-02 6.93514e-03
6.00000e+00 1.75540e-02 6.23687e-03
6.05000e+00 1.64270e-02 5.53213e-03
6.10000e+00 1.50407e-02 5.04594e-03
6.15000e+00 1.47909e-02 5.09103e-03
6.20000e+00 1.65962e-02 5.77178e-03
6.25000e+00 2.04384e-02 6.82918e-03
6.30000e+00 2.52207e-02 7.95690e-03
6.35000e+00 2.90266e-02 8.98789e-03
6.40000e+00 2.97151e-02 9.84270e-03
6.45000e+00 2.56579e-02 1.04347e-02
6.50000e+00 1.63618e-02 1.06532e-02
6.55000e+00 2.64954e-03 1.04172e-02
6.60000e+00 -1.31142e-02 9.89130e-03
6.65000e+00 -2.80479e-02 9.43380e-03
6.70000e+00 -3.94116e-02 9.42401e-03
6.75000e+00 -4.53451e-02 9.87166e-03
6.80000e+00 -4.53125e-02 1.03506e-02
6.85000e+00 -4.01242e-02 1.03910e-02
6.90000e+00 -3.15588e-02 9.86136e-03
6.95000e+00 -2.17406e-02 9.21709e-03
7.00000e+00 -1.24990e-02 9.50407e-03
7.05000e+00 -4.88845e-03 1.13935e-02
7.10000e+00 7.82808e-04 1.43183e-02
7.15000e+00 4.97527e-03 1.71983e-02
7.20000e+00 8.44478e-03 1.91468e-02
7.25000e+00 1.18236e-02 1.95814e-02
7.30000e+00 1.53368e-02 1.82494e-02
7.35000e+00 1.87421e-02 1.52899e-02
7.40000e+00 2.14828e-02 1.14042e-02
7.45000e+00 2.29610e-02 8.45348e-03
7.50000e+00 2.28031e-02 9.31396e-03
7.55000e+00 2.09456e-02 1.29000e-02
7.60000e+00 1.78318e-02 1.63164e-02
7.65000e+00 1.40361e-02 1.81983e-02
7.70000e+00 1.01398e-02 1.80889e-02
7.75000e+00 6.56810e-03 1.61534e-02
7.80000e+00 3.52469e-03 1.32221e-02
7.85000e+00 1.02721e-03 1.09351e-02
7.90000e+00 -1.00146e-03 1.10058e-02
7.95000e+00 -2.65233e-03 1.28294e-02
8.00000e+00 -4.00840e-03 1.43780e-02
8.05000e+00 -5.21270e-03 1.43685e-02
8.10000e+00 -6.45165e-03 1.26056e-02
8.15000e+00 -8.05575e-03 9.72808e-03
8.20000e+00 -1.04076e-02 7.50118e-03
8.25000e+00 -1.37756e-02 8.14244e-03
8.30000e+00 -1.81040e-02 1.05764e-02
8.35000e+00 -2.28532e-02 1.25321e-02
8.40000e+00 -2.69892e-02 1.31104e-02
8.45000e+00 -2.91708e-02 1.24305e-02
8.50000e+00 -2.81116e-02 1.14083e-02
8.55000e+00 -2.29377e-02 1.13642e-02
8.60000e+00 -1.37520e-02 1.27874e-02
8.65000e+00 -1.60619e-03 1.47537e-02
8.70000e+00 1.16298e-02 1.61552e-02
8.75000e+00 2.37015e-02 1.63791e-02
8.80000e+00 3.25449e-02 1.52858e-02
8.85000e+00 3.68194e-02 1.31029e-02
8.90000e+00 3.62295e-02 1.04319e-02
8.95000e+00 3.15319e-02 8.45123e-03
9.00000e+00 2.42372e-02 8.64086e-03
9.05000e+00 1.61221e-02 1.07869e-02
9.10000e+00 8.67091e-03 1.33052e-02
9.15000e+00 2.76040e-03 1.51519e-02
9.20000e+00 -1.47539e-03 1.58831e-02
9.25000e+00 -4.49088e-03 1.54168e-02
9.30000e+00 -6.99356e-03 1.39126e-02
9.35000e+00 -9.57063e-03 1.17283e-02
9.40000e+00 -1.24211e-02 9.46644e-03
9.45000e+00 -1.52840e-02 8.01277e-03
9.50000e+00 -1.75712e-02 7.98977e-03
9.55000e+00 -1.86411e-02 8.82823e-03
9.60000e+00 -1.80416e-02 9.47510e-03
9.65000e+00 -1.57542e-02 9.43854e-03
9.70000e+00 -1.21909e-02 8.90114e-03
9.75000e+00 -8.05167e-03 8.46897e-03
9.80000e+00 -4.08586e-03 8.57048e-03
9.85000e+00 -8.54855e-04 8.94927e-03
9.90000e+00 1.41513e-03 9.07310e-03
9.95000e+00 2.84317e-03 8.77835e-03
1.00000e+01 3.77733e-03 8.39836e-03
1.00500e+01 4.61131e-03 8.37636e-03
1.01000e+01 5.60133e-03 8.69338e-03
1.01500e+01 6.79468e-03 8.85653e-03
1.02000e+01 8.02720e-03 8.46158e-03
1.02500e+01 9.02451e-03 7.52226e-03
1.03000e+01 9.54266e-03 6.50658e-03
1.03500e+01 9.48471e-03 6.14958e-03
1.04000e+01 8.94469e-03 6.79287e-03
1.04500e+01 8.16271e-03 8.00234e-03
1.05000e+01 7.41269e-03 9.20554e-03
