# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-8.578054e-02	2.089371e-01	0.000000e+00	4.453536e-01	-8.088358e-01
5.000000e-02	-1.848335e-01	2.675078e-01	-2.443176e-01	4.469431e-01	-8.778847e-01
1.000000e-01	-1.841080e-01	2.629818e-01	-2.424597e-01	4.444709e-01	-8.767813e-01
1.500000e-01	-1.825996e-01	2.495824e-01	-2.305169e-01	4.447807e-01	-8.728140e-01
2.000000e-01	-1.818192e-01	2.364675e-01	-2.199727e-01	4.458782e-01	-8.678897e-01
2.500000e-01	-1.826029e-01	2.156538e-01	-2.251250e-01	4.412027e-01	-8.578827e-01
3.000000e-01	-1.852939e-01	1.962299e-01	-2.238541e-01	4.302084e-01	-8.456633e-01
3.500000e-01	-1.925839e-01	1.723304e-01	-2.284065e-01	4.037928e-01	-8.258317e-01
4.000000e-01	-2.027814e-01	1.523690e-01	-2.359705e-01	3.671296e-01	-8.026855e-01
4.500000e-01	-2.192062e-01	1.333588e-01	-2.483121e-01	3.073144e-01	-7.746011e-01
5.000000e-01	-2.379777e-01	1.214250e-01	-2.533089e-01	2.361750e-01	-7.539554e-01
5.500000e-01	-2.610532e-01	1.148814e-01	-2.658087e-01	1.408133e-01	-7.230647e-01
6.000000e-01	-2.832231e-01	1.141244e-01	-2.762013e-01	3.904162e-02	-6.973998e-01
6.500000e-01	-3.037863e-01	1.164026e-01	-2.801737e-01	-7.472017e-02	-6.711991e-01
7.000000e-01	-3.178633e-01	1.190126e-01	-2.921176e-01	-8.662963e-02	-6.401869e-01
7.500000e-01	-3.223137e-01	1.207281e-01	-3.173636e-01	-7.321352e-02	-5.985145e-01
8.000000e-01	-3.150336e-01	1.205496e-01	-3.555415e-01	-6.723449e-02	-5.516351e-01
8.500000e-01	-2.924380e-01	1.185980e-01	-3.270708e-01	-6.470921e-02	-5.360397e-01
9.000000e-01	-2.575494e-01	1.151911e-01	-2.614889e-01	-6.383685e-02	-5.434735e-01
9.500000e-01	-2.092415e-01	1.099138e-01	-1.940655e-01	-4.578992e-02	-5.135130e-01
1.000000e+00	-1.561115e-01	1.028498e-01	-1.393845e-01	-8.885371e-03	-4.519908e-01
1.050000e+00	-1.009722e-01	9.261694e-02	-8.766789e-02	4.299221e-02	-3.833821e-01
1.100000e+00	-5.462803e-02	7.979299e-02	-4.370403e-02	7.785473e-02	-3.106344e-01
1.150000e+00	-2.185418e-02	6.399467e-02	-1.574655e-02	9.352176e-02	-2.347181e-01
1.200000e+00	-9.123917e-03	4.803747e-02	-8.317334e-03	9.686929e-02	-1.683140e-01
1.250000e+00	-1.833959e-02	3.442680e-02	-2.036228e-02	7.150204e-02	-1.155628e-01
1.300000e+00	-4.620497e-02	2.797161e-02	-4.796110e-02	6.292734e-02	-1.082923e-01
1.350000e+00	-8.823097e-02	2.833586e-02	-9.010567e-02	7.306047e-02	-1.618774e-01
1.400000e+00	-1.322468e-01	3.074373e-02	-1.334533e-01	6.720177e-02	-2.092582e-01
1.450000e+00	-1.695034e-01	3.358504e-02	-1.731576e-01	4.826982e-02	-2.360064e-01
1.500000e+00	-1.873972e-01	3.890462e-02	-1.941754e-01	2.499418e-02	-2.562540e-01
1.550000e+00	-1.802279e-01	4.809021e-02	-1.879434e-01	3.664344e-03	-2.612237e-01
1.600000e+00	-1.452386e-01	5.742649e-02	-1.561660e-01	-6.729275e-03	-2.455371e-01
1.650000e+00	-8.592283e-02	6.302573e-02	-9.565218e-02	4.594582e-02	-2.128815e-01
1.700000e+00	-1.233629e-02	6.068052e-02	-1.786823e-02	1.060404e-01	-1.505151e-01
1.750000e+00	6.495052e-02	4.982458e-02	6.673751e-02	1.555592e-01	-6.412454e-02
1.800000e+00	1.309981e-01	3.402060e-02	1.360599e-01	2.122447e-01	3.094534e-02
1.850000e+00	1.776924e-01	2.837953e-02	1.741731e-01	2.816637e-01	1.204419e-01
1.900000e+00	1.970402e-01	4.359258e-02	1.840075e-01	3.132318e-01	1.177337e-01
1.950000e+00	1.911034e-01	6.233753e-02	1.861890e-01	3.132750e-01	9.390575e-02
2.000000e+00	1.631688e-01	7.263358e-02	1.716995e-01	2.906801e-01	6.151052e-02
2.050000e+00	1.234012e-01	7.276965e-02	1.560158e-01	2.451553e-01	2.275583e-02
2.100000e+00	7.980027e-02	6.036420e-02	1.070206e-01	1.806492e-01	-3.702371e-03
2.150000e+00	4.112658e-02	3.948405e-02	4.807389e-02	1.239551e-01	-1.694560e-02
2.200000e+00	1.269413e-02	1.743906e-02	9.439285e-03	7.127140e-02	-2.017854e-02
2.250000e+00	-4.180040e-03	1.334174e-02	-2.492923e-03	2.958671e-02	-3.986930e-02
2.300000e+00	-1.079150e-02	2.273999e-02	-3.579842e-03	2.664052e-02	-5.534278e-02
2.350000e+00	-1.041270e-02	2.293813e-02	-4.198271e-03	2.437495e-02	-5.830403e-02
2.400000e+00	-6.810294e-03	1.514167e-02	-5.783341e-03	1.909892e-02	-5.536547e-02
2.450000e+00	-2.875508e-03	7.827328e-03	-2.270477e-03	1.529007e-02	-4.990214e-02
2.500000e+00	8.869280e-04	7.986383e-03	3.451725e-04	2.266111e-02	-4.179769e-02
2.550000e+00	3.448318e-03	1.319575e-02	1.016385e-03	3.112901e-02	-2.990168e-02
