# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	2.051511e-01	2.199055e-01	0.000000e+00	8.390437e-01	0.000000e+00
5.000000e-02	4.016420e-01	7.657148e-02	4.054585e-01	8.229067e-01	0.000000e+00
1.000000e-01	3.823954e-01	7.577115e-02	3.854825e-01	8.063016e-01	0.000000e+00
1.500000e-01	3.236762e-01	7.350012e-02	3.290363e-01	7.538039e-01	0.000000e+00
2.000000e-01	2.632505e-01	7.146873e-02	2.683511e-01	6.975977e-01	-1.127617e-02
2.500000e-01	1.607493e-01	6.879300e-02	1.644980e-01	5.977879e-01	-1.086180e-01
3.000000e-01	5.560017e-02	6.718012e-02	5.878082e-02	4.903312e-01	-2.052681e-01
3.500000e-01	-9.053504e-02	6.692378e-02	-8.821572e-02	3.335730e-01	-3.344812e-01
4.000000e-01	-2.364101e-01	6.896902e-02	-2.367306e-01	1.692325e-01	-4.581615e-01
4.500000e-01	-4.134493e-01	7.404480e-02	-4.170886e-01	0.000000e+00	-6.159340e-01
5.000000e-01	-5.803954e-01	8.084987e-02	-5.863958e-01	0.000000e+00	-7.837275e-01
5.500000e-01	-7.572438e-01	8.927706e-02	-7.643778e-01	0.000000e+00	-9.526983e-01
6.000000e-01	-9.066130e-01	9.685337e-02	-9.134758e-01	0.000000e+00	-1.085811e+00
6.500000e-01	-1.035028e+00	1.030078e-01	-1.043022e+00	0.000000e+00	-1.187950e+00
7.000000e-01	-1.115556e+00	1.060584e-01	-1.126010e+00	0.000000e+00	-1.257158e+00
7.500000e-01	-1.144041e+00	1.054387e-01	-1.154751e+00	0.000000e+00	-1.263066e+00
8.000000e-01	-1.112108e+00	1.011379e-01	-1.122696e+00	0.000000e+00	-1.213192e+00
8.500000e-01	-1.013131e+00	9.299700e-02	-1.023562e+00	0.000000e+00	-1.114939e+00
9.000000e-01	-8.626075e-01	8.261365e-02	-8.724143e-01	0.000000e+00	-1.001381e+00
9.500000e-01	-6.608495e-01	7.038373e-02	-6.680974e-01	0.000000e+00	-8.270316e-01
1.000000e+00	-4.434420e-01	5.877249e-02	-4.469422e-01	0.000000e+00	-6.350452e-01
1.050000e+00	-2.207917e-01	4.858347e-02	-2.202416e-01	0.000000e+00	-4.283186e-01
1.100000e+00	-3.271683e-02	4.180205e-02	-3.157639e-02	6.964685e-02	-2.388515e-01
1.150000e+00	1.079492e-01	3.819268e-02	1.102460e-01	1.939253e-01	-7.783024e-02
1.200000e+00	1.796926e-01	3.662830e-02	1.833755e-01	2.533856e-01	0.000000e+00
1.250000e+00	1.811193e-01	3.537297e-02	1.876849e-01	2.514872e-01	0.000000e+00
1.300000e+00	1.231704e-01	3.366344e-02	1.261803e-01	2.014520e-01	-1.592554e-02
1.350000e+00	2.260203e-02	3.200779e-02	2.385899e-02	1.034060e-01	-9.943746e-02
1.400000e+00	-8.555049e-02	3.119398e-02	-8.533818e-02	0.000000e+00	-1.825555e-01
1.450000e+00	-1.769887e-01	3.128792e-02	-1.797837e-01	0.000000e+00	-2.589412e-01
1.500000e+00	-2.213141e-01	3.069675e-02	-2.246989e-01	0.000000e+00	-2.843982e-01
