# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-1.330963e-01	3.533917e-01	0.000000e+00	5.354792e-01	-9.118480e-01
5.000000e-02	-2.602129e-01	4.507777e-01	-2.637743e-01	5.279029e-01	-9.134991e-01
1.000000e-01	-2.676586e-01	4.391347e-01	-2.711228e-01	5.097661e-01	-9.072533e-01
1.500000e-01	-2.897432e-01	4.037562e-01	-2.944693e-01	4.539872e-01	-8.873735e-01
2.000000e-01	-3.118796e-01	3.675533e-01	-3.179095e-01	3.957795e-01	-8.677287e-01
2.500000e-01	-3.476864e-01	3.067607e-01	-3.557339e-01	2.955607e-01	-8.337187e-01
3.000000e-01	-3.831375e-01	2.456026e-01	-3.929803e-01	1.905293e-01	-8.036754e-01
3.500000e-01	-4.298711e-01	1.640565e-01	-4.420460e-01	4.253123e-02	-8.177440e-01
4.000000e-01	-4.743965e-01	9.426951e-02	-4.743832e-01	-1.080648e-01	-8.238182e-01
4.500000e-01	-5.253334e-01	8.112796e-02	-5.219952e-01	-2.909787e-01	-8.315248e-01
5.000000e-01	-5.700437e-01	1.510790e-01	-5.134968e-01	-3.276448e-01	-8.744060e-01
5.500000e-01	-6.128252e-01	2.399322e-01	-6.611861e-01	-2.649980e-01	-1.002221e+00
6.000000e-01	-6.431959e-01	3.141610e-01	-7.537657e-01	-2.125067e-01	-1.093138e+00
6.500000e-01	-6.605170e-01	3.740356e-01	-8.140755e-01	-1.585772e-01	-1.158482e+00
7.000000e-01	-6.589597e-01	4.060965e-01	-8.096647e-01	-1.261761e-01	-1.197270e+00
7.500000e-01	-6.342959e-01	4.094857e-01	-7.702992e-01	-9.996183e-02	-1.220345e+00
8.000000e-01	-5.881938e-01	3.828522e-01	-7.012798e-01	-7.912837e-02	-1.171847e+00
8.500000e-01	-5.163007e-01	3.264954e-01	-5.972796e-01	-7.298019e-02	-1.047257e+00
9.000000e-01	-4.291943e-01	2.508821e-01	-4.885908e-01	-8.332648e-02	-8.664975e-01
9.500000e-01	-3.260240e-01	1.602546e-01	-3.712614e-01	-9.623915e-02	-6.508037e-01
1.000000e+00	-2.238895e-01	7.454028e-02	-2.151781e-01	-9.798674e-02	-4.367991e-01
1.050000e+00	-1.261954e-01	4.313732e-02	-1.227909e-01	-6.594784e-03	-2.682639e-01
1.100000e+00	-4.939989e-02	9.354674e-02	-7.182442e-02	1.262427e-01	-2.294824e-01
1.150000e+00	2.640283e-03	1.326146e-01	-1.616200e-02	2.148288e-01	-2.019552e-01
1.200000e+00	2.298074e-02	1.455307e-01	1.636953e-02	2.521143e-01	-2.021828e-01
1.250000e+00	1.305725e-02	1.352975e-01	1.518996e-02	2.466717e-01	-1.990799e-01
1.300000e+00	-2.019143e-02	1.075765e-01	-1.549756e-02	1.820870e-01	-1.956020e-01
1.350000e+00	-6.808944e-02	7.157313e-02	-7.074569e-02	7.936638e-02	-2.012115e-01
1.400000e+00	-1.147359e-01	3.839858e-02	-1.098377e-01	-2.299921e-02	-2.111712e-01
1.450000e+00	-1.493255e-01	1.931353e-02	-1.494517e-01	-6.185329e-02	-2.117676e-01
1.500000e+00	-1.592600e-01	1.766478e-02	-1.595943e-01	-3.845800e-02	-2.174928e-01
1.550000e+00	-1.400371e-01	1.690085e-02	-1.400276e-01	-8.845751e-03	-1.979063e-01
1.600000e+00	-9.253727e-02	2.266589e-02	-9.260775e-02	3.992367e-02	-1.455241e-01
1.650000e+00	-2.263039e-02	3.970881e-02	-2.006317e-02	8.925849e-02	-1.085823e-01
1.700000e+00	5.591382e-02	5.603265e-02	7.239094e-02	1.494320e-01	-5.331846e-02
1.750000e+00	1.322788e-01	6.414323e-02	1.631351e-01	2.294296e-01	1.109144e-02
1.800000e+00	1.908263e-01	5.883837e-02	2.089760e-01	2.791981e-01	8.099255e-02
1.850000e+00	2.262672e-01	4.112800e-02	2.291083e-01	2.934544e-01	1.477607e-01
1.900000e+00	2.323550e-01	1.612822e-02	2.314048e-01	2.758965e-01	1.952973e-01
1.950000e+00	2.146634e-01	2.087043e-02	2.149715e-01	2.600636e-01	1.730144e-01
2.000000e+00	1.775465e-01	4.510369e-02	1.751187e-01	2.575903e-01	1.130800e-01
