# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	5.475534e-02	3.423663e-01	0.000000e+00	9.245523e-01	-4.260336e-01
5.000000e-02	1.187786e-01	4.804448e-01	-2.106296e-01	9.218124e-01	-4.374922e-01
1.000000e-01	1.119320e-01	4.702608e-01	-2.100720e-01	9.086850e-01	-4.334290e-01
1.500000e-01	9.056258e-02	4.387811e-01	-2.089972e-01	8.661316e-01	-4.209416e-01
2.000000e-01	6.796749e-02	4.060479e-01	-2.087590e-01	8.190292e-01	-4.081090e-01
2.500000e-01	2.845723e-02	3.493579e-01	-2.096234e-01	7.319190e-01	-3.857699e-01
3.000000e-01	-1.339035e-02	2.904512e-01	-2.124615e-01	6.347772e-01	-3.934321e-01
3.500000e-01	-7.321553e-02	2.070484e-01	-2.184493e-01	4.877994e-01	-4.079731e-01
4.000000e-01	-1.348022e-01	1.246397e-01	-2.008668e-01	3.288214e-01	-4.191732e-01
4.500000e-01	-2.114883e-01	5.161870e-02	-2.115583e-01	1.199393e-01	-4.273724e-01
5.000000e-01	-2.859333e-01	1.141696e-01	-2.543849e-01	-9.314875e-02	-5.336711e-01
5.500000e-01	-3.670482e-01	2.257161e-01	-3.668035e-01	-1.064157e-01	-7.211394e-01
6.000000e-01	-4.377755e-01	3.295322e-01	-4.097598e-01	-6.716192e-02	-8.814211e-01
6.500000e-01	-5.014468e-01	4.288573e-01	-3.839881e-01	-2.148655e-02	-1.047857e+00
7.000000e-01	-5.441003e-01	5.045204e-01	-3.485173e-01	1.907348e-02	-1.162609e+00
7.500000e-01	-5.643152e-01	5.558618e-01	-3.011806e-01	5.362676e-02	-1.252518e+00
8.000000e-01	-5.557571e-01	5.736292e-01	-2.774963e-01	7.958607e-02	-1.265382e+00
8.500000e-01	-5.159006e-01	5.538824e-01	-2.476288e-01	9.415932e-02	-1.195734e+00
9.000000e-01	-4.500310e-01	5.003031e-01	-2.093029e-01	1.019890e-01	-1.053465e+00
9.500000e-01	-3.594496e-01	4.108646e-01	-1.665924e-01	9.295965e-02	-8.790871e-01
1.000000e+00	-2.606057e-01	3.015460e-01	-1.275669e-01	7.867307e-02	-6.837988e-01
1.050000e+00	-1.602582e-01	1.757001e-01	-1.000623e-01	5.956315e-02	-4.616551e-01
1.100000e+00	-7.828037e-02	5.983588e-02	-6.427387e-02	2.345867e-02	-2.543357e-01
1.150000e+00	-2.290614e-02	6.958163e-02	-4.001454e-02	1.079717e-01	-1.481791e-01
1.200000e+00	-4.570298e-03	1.484911e-01	-8.841343e-02	2.147875e-01	-2.140404e-01
