# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	5.632153e-02	2.950868e-01	0.000000e+00	7.086502e-01	-4.548669e-01
5.000000e-02	9.509249e-02	3.918684e-01	2.836299e-01	7.250815e-01	-4.498767e-01
1.000000e-01	8.709840e-02	3.829864e-01	2.681930e-01	7.038983e-01	-4.448578e-01
1.500000e-01	6.212462e-02	3.557879e-01	2.107717e-01	6.384691e-01	-4.340239e-01
2.000000e-01	3.584781e-02	3.278609e-01	1.519083e-01	5.701465e-01	-4.397130e-01
2.500000e-01	-1.007907e-02	2.805052e-01	5.268091e-02	4.513245e-01	-4.469954e-01
3.000000e-01	-5.826387e-02	2.326005e-01	-4.846231e-02	3.358415e-01	-4.520692e-01
3.500000e-01	-1.264932e-01	1.678347e-01	-1.380141e-01	1.974340e-01	-4.536293e-01
4.000000e-01	-1.954610e-01	1.101151e-01	-1.945988e-01	6.444007e-02	-4.500746e-01
4.500000e-01	-2.789716e-01	7.613474e-02	-2.680222e-01	-7.294182e-02	-5.032121e-01
5.000000e-01	-3.573116e-01	1.151903e-01	-3.559471e-01	-1.439238e-01	-6.570218e-01
5.500000e-01	-4.379653e-01	1.891792e-01	-4.584567e-01	-1.518652e-01	-8.105762e-01
6.000000e-01	-5.034803e-01	2.593157e-01	-5.151979e-01	-1.278111e-01	-9.509941e-01
6.500000e-01	-5.552098e-01	3.242982e-01	-6.126784e-01	-9.874241e-02	-1.074420e+00
7.000000e-01	-5.814668e-01	3.707116e-01	-7.094705e-01	-7.044523e-02	-1.164891e+00
7.500000e-01	-5.802450e-01	3.980136e-01	-7.620203e-01	-4.281892e-02	-1.197411e+00
8.000000e-01	-5.493758e-01	4.020089e-01	-7.492310e-01	-1.835306e-02	-1.162869e+00
8.500000e-01	-4.879058e-01	3.809768e-01	-6.878038e-01	1.528087e-02	-1.081373e+00
9.000000e-01	-4.050208e-01	3.400740e-01	-5.844486e-01	6.551555e-02	-9.645105e-01
9.500000e-01	-3.039250e-01	2.789849e-01	-4.365435e-01	9.588347e-02	-7.913048e-01
1.000000e+00	-2.024281e-01	2.097814e-01	-2.869034e-01	1.163330e-01	-5.834084e-01
1.050000e+00	-1.072675e-01	1.355052e-01	-1.267375e-01	1.501542e-01	-3.509228e-01
1.100000e+00	-3.620397e-02	7.426930e-02	-3.747294e-02	1.853894e-01	-1.755767e-01
1.150000e+00	5.485150e-03	5.415015e-02	3.507823e-04	1.823160e-01	-1.420372e-01
1.200000e+00	1.086250e-02	7.993153e-02	1.263724e-02	2.260122e-01	-2.007310e-01
1.250000e+00	-1.792711e-02	1.053040e-01	-6.203107e-03	2.340637e-01	-2.617494e-01
1.300000e+00	-7.164912e-02	1.173580e-01	-5.404566e-02	1.960785e-01	-3.180328e-01
1.350000e+00	-1.397562e-01	1.166691e-01	-1.246752e-01	1.195239e-01	-3.606085e-01
1.400000e+00	-2.027956e-01	1.087634e-01	-1.828949e-01	1.650245e-02	-3.897037e-01
1.450000e+00	-2.487980e-01	9.815292e-02	-2.455825e-01	-8.854360e-02	-4.277654e-01
1.500000e+00	-2.628566e-01	9.082944e-02	-2.603688e-01	-1.094694e-01	-4.430340e-01
1.550000e+00	-2.417884e-01	8.858492e-02	-2.246579e-01	-8.942433e-02	-4.129675e-01
1.600000e+00	-1.873017e-01	9.151111e-02	-1.617630e-01	-4.428431e-02	-3.408488e-01
1.650000e+00	-1.086952e-01	9.901930e-02	-7.747243e-02	4.282485e-02	-2.643861e-01
1.700000e+00	-2.221681e-02	1.067415e-01	2.837743e-02	1.518983e-01	-1.763092e-01
1.750000e+00	5.859334e-02	1.124129e-01	1.243599e-01	2.423360e-01	-1.012981e-01
1.800000e+00	1.178305e-01	1.095595e-01	1.740401e-01	2.955949e-01	-3.573778e-02
1.850000e+00	1.507740e-01	9.754510e-02	1.908413e-01	3.107329e-01	1.614956e-02
1.900000e+00	1.546156e-01	7.497545e-02	1.735105e-01	2.804358e-01	4.704393e-02
1.950000e+00	1.375547e-01	4.609593e-02	1.352764e-01	2.166185e-01	6.519087e-02
2.000000e+00	1.078338e-01	1.881640e-02	1.043057e-01	1.720365e-01	6.813621e-02
2.050000e+00	7.748883e-02	2.375460e-02	7.521650e-02	1.563571e-01	3.277921e-02
2.100000e+00	5.468035e-02	4.232436e-02	3.912450e-02	1.364449e-01	-1.444254e-02
2.150000e+00	4.326107e-02	5.084539e-02	1.385404e-02	1.164351e-01	-3.004836e-02
2.200000e+00	4.135898e-02	4.899223e-02	1.913424e-02	1.069406e-01	-2.475458e-02
2.250000e+00	4.437913e-02	4.317343e-02	2.609618e-02	1.085531e-01	-1.455478e-02
2.300000e+00	4.513817e-02	3.457480e-02	2.877633e-02	1.029624e-01	-5.125385e-03
2.350000e+00	4.049763e-02	2.614818e-02	2.994142e-02	8.858843e-02	-2.813902e-04
2.400000e+00	3.026827e-02	1.988163e-02	2.813667e-02	6.781236e-02	-3.905397e-03
2.450000e+00	2.142900e-02	1.552356e-02	2.477216e-02	5.130183e-02	-1.001409e-02
2.500000e+00	1.159421e-02	1.239824e-02	1.468198e-02	3.391839e-02	-1.696933e-02
2.550000e+00	2.223973e-03	1.031733e-02	3.997114e-03	2.092498e-02	-2.319645e-02
2.600000e+00	-5.325279e-03	8.895922e-03	-4.487012e-03	1.271825e-02	-2.667383e-02
2.650000e+00	-1.147361e-02	8.138718e-03	-1.199413e-02	6.675043e-03	-2.875917e-02
2.700000e+00	-1.534235e-02	7.667892e-03	-1.737090e-02	3.005907e-03	-2.857117e-02
