# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	3.566289e-02	2.344887e-01	0.000000e+00	5.359256e-01	-3.383644e-01
5.000000e-02	5.694033e-02	3.161736e-01	1.898513e-01	5.238579e-01	-3.614632e-01
1.000000e-01	4.832779e-02	3.060444e-01	1.710318e-01	5.040533e-01	-3.595794e-01
1.500000e-01	2.192330e-02	2.753990e-01	1.144875e-01	4.457878e-01	-3.535449e-01
2.000000e-01	-5.348989e-03	2.444046e-01	5.346065e-02	3.887905e-01	-3.523377e-01
2.500000e-01	-5.177075e-02	1.928352e-01	-6.032531e-02	2.907726e-01	-3.627303e-01
3.000000e-01	-9.940424e-02	1.420693e-01	-1.495629e-01	1.894281e-01	-3.723068e-01
3.500000e-01	-1.652379e-01	7.867264e-02	-1.930288e-01	4.717488e-02	-3.833577e-01
4.000000e-01	-2.304249e-01	5.491993e-02	-2.202560e-01	-9.534100e-02	-4.669995e-01
4.500000e-01	-3.080064e-01	1.138470e-01	-2.683864e-01	-1.177863e-01	-6.309877e-01
5.000000e-01	-3.795533e-01	1.887137e-01	-3.995355e-01	-1.122431e-01	-7.752390e-01
5.500000e-01	-4.523279e-01	2.705306e-01	-5.568532e-01	-1.078150e-01	-9.142213e-01
6.000000e-01	-5.104849e-01	3.400867e-01	-6.922067e-01	-1.051006e-01	-1.017140e+00
6.500000e-01	-5.554336e-01	4.001363e-01	-7.724897e-01	-8.576351e-02	-1.093919e+00
7.000000e-01	-5.769307e-01	4.395738e-01	-8.112744e-01	-4.578245e-02	-1.149768e+00
7.500000e-01	-5.726900e-01	4.568292e-01	-8.128730e-01	-9.961658e-03	-1.172830e+00
8.000000e-01	-5.415575e-01	4.498696e-01	-7.778257e-01	1.720238e-02	-1.136926e+00
8.500000e-01	-4.815165e-01	4.155523e-01	-7.036588e-01	3.341513e-02	-1.031187e+00
9.000000e-01	-4.023499e-01	3.613567e-01	-6.043110e-01	3.722407e-02	-8.737509e-01
9.500000e-01	-3.060185e-01	2.858375e-01	-4.678177e-01	3.779325e-02	-6.958667e-01
1.000000e+00	-2.104923e-01	2.033103e-01	-3.032646e-01	3.376213e-02	-5.006020e-01
1.050000e+00	-1.218062e-01	1.158881e-01	-1.325545e-01	4.530878e-02	-3.205060e-01
1.100000e+00	-5.734124e-02	4.399822e-02	-4.811710e-02	3.780259e-02	-1.878429e-01
1.150000e+00	-2.259841e-02	4.813153e-02	-3.321531e-02	9.372865e-02	-1.449656e-01
1.200000e+00	-2.333432e-02	9.056293e-02	-5.003938e-02	1.447235e-01	-2.043081e-01
1.250000e+00	-5.803419e-02	1.164611e-01	-6.055738e-02	1.297604e-01	-2.628712e-01
1.300000e+00	-1.155994e-01	1.234073e-01	-9.113362e-02	7.683800e-02	-3.117230e-01
1.350000e+00	-1.858671e-01	1.145416e-01	-1.614158e-01	-5.903845e-03	-3.482472e-01
1.400000e+00	-2.476958e-01	9.858491e-02	-2.397711e-01	-9.118534e-02	-3.903755e-01
1.450000e+00	-2.892500e-01	8.106377e-02	-2.871965e-01	-1.412067e-01	-4.123583e-01
1.500000e+00	-2.953527e-01	7.006834e-02	-3.109690e-01	-1.564919e-01	-3.995054e-01
1.550000e+00	-2.633162e-01	6.736248e-02	-2.837992e-01	-1.288660e-01	-3.674191e-01
1.600000e+00	-1.964431e-01	7.380333e-02	-2.012482e-01	-6.836077e-02	-3.048448e-01
1.650000e+00	-1.050518e-01	8.792680e-02	-7.488139e-02	3.259917e-02	-2.298099e-01
