# 		k		<chi>		std
0.00000e+00 -2.69694e-02 2.91869e-01
5.00000e-02 -3.67777e-02 2.83596e-01
1.00000e-01 -4.51979e-02 2.75853e-01
1.50000e-01 -7.06464e-02 2.52244e-01
2.00000e-01 -9.66276e-02 2.28308e-01
2.50000e-01 -1.40110e-01 1.87800e-01
3.00000e-01 -1.84288e-01 1.47845e-01
3.50000e-01 -2.44969e-01 9.74037e-02
4.00000e-01 -3.04865e-01 7.18138e-02
4.50000e-01 -3.76819e-01 1.06170e-01
5.00000e-01 -4.43441e-01 1.71514e-01
5.50000e-01 -5.12657e-01 2.51367e-01
6.00000e-01 -5.68381e-01 3.24169e-01
6.50000e-01 -6.12579e-01 3.91731e-01
7.00000e-01 -6.33481e-01 4.41072e-01
7.50000e-01 -6.28384e-01 4.69926e-01
8.00000e-01 -5.94154e-01 4.73739e-01
8.50000e-01 -5.27635e-01 4.48258e-01
9.00000e-01 -4.37590e-01 3.98894e-01
9.50000e-01 -3.25227e-01 3.23342e-01
1.00000e+00 -2.09716e-01 2.36005e-01
1.05000e+00 -9.79664e-02 1.41069e-01
1.10000e+00 -1.08445e-02 7.09950e-02
1.15000e+00 4.40542e-02 8.69566e-02
1.20000e+00 5.71616e-02 1.39074e-01
1.25000e+00 2.86171e-02 1.76047e-01
1.30000e+00 -3.17971e-02 1.89228e-01
1.35000e+00 -1.12578e-01 1.80145e-01
1.40000e+00 -1.90450e-01 1.56850e-01
1.45000e+00 -2.49946e-01 1.26696e-01
1.50000e+00 -2.72487e-01 1.00700e-01
1.55000e+00 -2.52331e-01 8.42781e-02
1.60000e+00 -1.91500e-01 7.96837e-02
1.65000e+00 -1.00163e-01 8.55819e-02
1.70000e+00 1.06981e-03 9.65707e-02
1.75000e+00 9.57971e-02 1.08298e-01
1.80000e+00 1.63681e-01 1.11621e-01
1.85000e+00 1.98894e-01 1.03659e-01
1.90000e+00 1.97646e-01 8.16652e-02
1.95000e+00 1.70066e-01 4.98497e-02
2.00000e+00 1.26714e-01 1.78582e-02
2.05000e+00 8.18934e-02 2.89671e-02
2.10000e+00 4.71580e-02 5.21865e-02
2.15000e+00 2.82666e-02 6.15416e-02
2.20000e+00 2.33851e-02 5.75322e-02
2.25000e+00 2.54172e-02 4.94218e-02
2.30000e+00 2.66298e-02 3.93973e-02
2.35000e+00 2.31400e-02 3.06169e-02
2.40000e+00 1.44747e-02 2.45534e-02
2.45000e+00 7.94308e-03 1.92737e-02
2.50000e+00 1.04461e-03 1.49926e-02
2.55000e+00 -5.01356e-03 1.16265e-02
2.60000e+00 -9.16311e-03 8.92824e-03
2.65000e+00 -1.26007e-02 7.29935e-03
2.70000e+00 -1.43441e-02 6.16616e-03
2.75000e+00 -1.43485e-02 5.38056e-03
2.80000e+00 -1.28879e-02 4.78576e-03
2.85000e+00 -1.14262e-02 4.34909e-03
2.90000e+00 -8.81059e-03 3.76570e-03
2.95000e+00 -5.47000e-03 3.25117e-03
3.00000e+00 -1.84556e-03 3.25675e-03
3.05000e+00 1.61930e-03 3.44585e-03
3.10000e+00 4.47694e-03 4.23777e-03
3.15000e+00 6.38372e-03 5.09934e-03
3.20000e+00 7.16196e-03 5.68824e-03
3.25000e+00 5.98923e-03 5.71533e-03
3.30000e+00 3.96871e-03 5.37466e-03
3.35000e+00 1.73276e-03 4.79503e-03
3.40000e+00 -9.79738e-05 4.15624e-03
3.45000e+00 -1.42932e-03 3.33343e-03
3.50000e+00 -1.24043e-03 3.18309e-03
3.55000e+00 5.40858e-04 4.04686e-03
3.60000e+00 3.62993e-03 5.29610e-03
3.65000e+00 7.59618e-03 6.37044e-03
3.70000e+00 1.15972e-02 6.62465e-03
3.75000e+00 1.46664e-02 5.81826e-03
3.80000e+00 1.59142e-02 4.10991e-03
3.85000e+00 1.49768e-02 2.55887e-03
3.90000e+00 1.11195e-02 4.07149e-03
3.95000e+00 4.59983e-03 6.95328e-03
4.00000e+00 -3.70025e-03 9.35460e-03
4.05000e+00 -1.26643e-02 1.08057e-02
4.10000e+00 -2.07558e-02 1.07440e-02
4.15000e+00 -2.63178e-02 9.13040e-03
4.20000e+00 -2.81200e-02 6.36195e-03
4.25000e+00 -2.62203e-02 4.13590e-03
4.30000e+00 -2.05172e-02 5.68628e-03
4.35000e+00 -1.21519e-02 9.53859e-03
4.40000e+00 -2.84724e-03 1.32956e-02
4.45000e+00 5.33681e-03 1.62129e-02
