# 		k		<chi>		std
0.00000e+00 -1.41052e-02 2.93840e-01
5.00000e-02 -2.45751e-02 2.84533e-01
1.00000e-01 -3.28945e-02 2.75755e-01
1.50000e-01 -5.80546e-02 2.48852e-01
2.00000e-01 -8.35648e-02 2.21120e-01
2.50000e-01 -1.26235e-01 1.73901e-01
3.00000e-01 -1.69138e-01 1.26310e-01
3.50000e-01 -2.27859e-01 6.79896e-02
4.00000e-01 -2.85107e-01 6.21795e-02
4.50000e-01 -3.53372e-01 1.33746e-01
5.00000e-01 -4.15775e-01 2.16536e-01
5.50000e-01 -4.79914e-01 3.07854e-01
6.00000e-01 -5.30957e-01 3.87189e-01
6.50000e-01 -5.70757e-01 4.56356e-01
7.00000e-01 -5.89317e-01 5.01694e-01
7.50000e-01 -5.83920e-01 5.20258e-01
8.00000e-01 -5.52891e-01 5.08049e-01
8.50000e-01 -4.92562e-01 4.61439e-01
9.00000e-01 -4.12002e-01 3.88214e-01
9.50000e-01 -3.10899e-01 2.88576e-01
1.00000e+00 -2.07314e-01 1.80587e-01
1.05000e+00 -1.05926e-01 7.42272e-02
1.10000e+00 -2.59371e-02 5.57711e-02
1.15000e+00 2.67216e-02 1.21861e-01
1.20000e+00 4.31945e-02 1.64011e-01
1.25000e+00 2.35040e-02 1.73239e-01
1.30000e+00 -2.37966e-02 1.52053e-01
1.35000e+00 -8.91684e-02 1.07713e-01
1.40000e+00 -1.51954e-01 5.68433e-02
1.45000e+00 -1.98998e-01 2.63389e-02
1.50000e+00 -2.13935e-01 4.42344e-02
1.55000e+00 -1.91724e-01 5.35514e-02
1.60000e+00 -1.34642e-01 4.08953e-02
1.65000e+00 -5.12581e-02 2.02187e-02
1.70000e+00 3.93239e-02 4.57429e-02
1.75000e+00 1.23337e-01 8.44813e-02
1.80000e+00 1.81872e-01 1.09743e-01
1.85000e+00 2.10700e-01 1.15681e-01
1.90000e+00 2.05918e-01 9.94128e-02
1.95000e+00 1.77307e-01 6.70077e-02
2.00000e+00 1.34210e-01 2.80086e-02
2.05000e+00 8.90474e-02 1.82847e-02
2.10000e+00 5.26696e-02 4.30576e-02
2.15000e+00 3.09278e-02 5.30603e-02
2.20000e+00 2.24970e-02 4.85094e-02
2.25000e+00 1.95184e-02 3.86629e-02
2.30000e+00 1.67362e-02 2.77026e-02
2.35000e+00 1.08708e-02 1.91876e-02
2.40000e+00 1.65981e-03 1.44338e-02
2.45000e+00 -4.97482e-03 1.05777e-02
2.50000e+00 -1.07022e-02 8.06253e-03
2.55000e+00 -1.46106e-02 6.46888e-03
2.60000e+00 -1.60387e-02 5.29517e-03
2.65000e+00 -1.67944e-02 4.57780e-03
2.70000e+00 -1.57906e-02 4.17520e-03
2.75000e+00 -1.33980e-02 4.01977e-03
2.80000e+00 -1.02250e-02 3.98480e-03
2.85000e+00 -7.72928e-03 4.06092e-03
2.90000e+00 -4.96968e-03 3.72463e-03
2.95000e+00 -2.43143e-03 3.00648e-03
3.00000e+00 -4.79430e-04 2.26546e-03
3.05000e+00 9.83992e-04 2.75751e-03
3.10000e+00 1.55307e-03 4.21874e-03
3.15000e+00 1.17143e-03 5.42607e-03
3.20000e+00 -2.01972e-05 5.85882e-03
3.25000e+00 -1.93620e-03 5.25683e-03
3.30000e+00 -3.80581e-03 3.85477e-03
3.35000e+00 -5.11500e-03 3.23798e-03
3.40000e+00 -5.47948e-03 4.67675e-03
3.45000e+00 -4.49095e-03 6.63146e-03
3.50000e+00 -2.16127e-03 7.53629e-03
3.55000e+00 1.11155e-03 6.84890e-03
3.60000e+00 4.73925e-03 4.74504e-03
3.65000e+00 8.43495e-03 3.15150e-03
3.70000e+00 1.11100e-02 5.74957e-03
3.75000e+00 1.22162e-02 9.42522e-03
3.80000e+00 1.14525e-02 1.20007e-02
3.85000e+00 8.89482e-03 1.27265e-02
3.90000e+00 4.49491e-03 1.10426e-02
3.95000e+00 -1.17506e-03 7.21684e-03
4.00000e+00 -7.29957e-03 2.63633e-03
4.05000e+00 -1.32100e-02 4.95674e-03
4.10000e+00 -1.78887e-02 9.83291e-03
4.15000e+00 -2.05049e-02 1.29839e-02
4.20000e+00 -2.05724e-02 1.34879e-02
4.25000e+00 -1.85716e-02 1.14380e-02
4.30000e+00 -1.44086e-02 7.09786e-03
4.35000e+00 -8.80587e-03 2.56708e-03
4.40000e+00 -2.67654e-03 5.97057e-03
4.45000e+00 2.91878e-03 1.07329e-02
4.50000e+00 7.80440e-03 1.37597e-02
4.55000e+00 1.18271e-02 1.44991e-02
4.60000e+00 1.51760e-02 1.31007e-02
4.65000e+00 1.82199e-02 1.02824e-02
4.70000e+00 2.12705e-02 6.87293e-03
4.75000e+00 2.42245e-02 3.97054e-03
4.80000e+00 2.65511e-02 3.19287e-03
4.85000e+00 2.74783e-02 4.50446e-03
4.90000e+00 2.60895e-02 6.18270e-03
4.95000e+00 2.18262e-02 7.83260e-03
5.00000e+00 1.47850e-02 9.41745e-03
5.05000e+00 5.86359e-03 1.07520e-02
5.10000e+00 -3.46486e-03 1.14111e-02
5.15000e+00 -1.14950e-02 1.09453e-02
5.20000e+00 -1.68320e-02 9.18479e-03
5.25000e+00 -1.88836e-02 6.76016e-03
5.30000e+00 -1.80349e-02 5.94580e-03
5.35000e+00 -1.56222e-02 8.17072e-03
5.40000e+00 -1.34681e-02 1.07754e-02
5.45000e+00 -1.31164e-02 1.18240e-02
5.50000e+00 -1.55373e-02 1.08206e-02
5.55000e+00 -2.04976e-02 8.48563e-03
5.60000e+00 -2.66481e-02 7.18567e-03
5.65000e+00 -3.18035e-02 8.89397e-03
5.70000e+00 -3.40029e-02 1.15395e-02
5.75000e+00 -3.18325e-02 1.31066e-02
5.80000e+00 -2.50018e-02 1.31223e-02
5.85000e+00 -1.43386e-02 1.19793e-02
5.90000e+00 -1.81469e-03 1.05147e-02
5.95000e+00 1.04264e-02 9.31087e-03
6.00000e+00 2.05812e-02 8.42182e-03
6.05000e+00 2.75988e-02 7.70488e-03
6.10000e+00 3.13602e-02 7.54373e-03
6.15000e+00 3.25754e-02 8.62785e-03
6.20000e+00 3.22678e-02 1.10718e-02
6.25000e+00 3.13065e-02 1.41505e-02
6.30000e+00 3.00947e-02 1.68568e-02
6.35000e+00 2.85127e-02 1.82413e-02
6.40000e+00 2.61017e-02 1.76717e-02
6.45000e+00 2.23739e-02 1.51122e-02
6.50000e+00 1.70955e-02 1.13686e-02
6.55000e+00 1.03054e-02 8.36131e-03
6.60000e+00 2.60084e-03 8.45213e-03
6.65000e+00 -5.37731e-03 1.04790e-02
6.70000e+00 -1.30671e-02 1.21321e-02
6.75000e+00 -2.01118e-02 1.27673e-02
6.80000e+00 -2.63290e-02 1.26654e-02
6.85000e+00 -3.15507e-02 1.24885e-02
6.90000e+00 -3.54404e-02 1.30119e-02
6.95000e+00 -3.74133e-02 1.45482e-02
7.00000e+00 -3.67434e-02 1.63867e-02
7.05000e+00 -3.27254e-02 1.71600e-02
7.10000e+00 -2.54358e-02 1.58408e-02
7.15000e+00 -1.55674e-02 1.23539e-02
7.20000e+00 -4.54529e-03 8.56681e-03
7.25000e+00 5.77024e-03 9.10268e-03
7.30000e+00 1.36064e-02 1.31708e-02
7.35000e+00 1.78433e-02 1.61806e-02
