# 		k		<chi>		std
0.00000e+00 -7.28576e-02 3.85784e-01
5.00000e-02 -7.77981e-02 3.78835e-01
1.00000e-01 -8.45132e-02 3.72218e-01
1.50000e-01 -1.04642e-01 3.51880e-01
2.00000e-01 -1.24863e-01 3.31161e-01
2.50000e-01 -1.58123e-01 2.95381e-01
3.00000e-01 -1.90977e-01 2.59082e-01
3.50000e-01 -2.34789e-01 2.07535e-01
4.00000e-01 -2.76165e-01 1.57497e-01
4.50000e-01 -3.23720e-01 1.00264e-01
5.00000e-01 -3.64777e-01 6.82925e-02
5.50000e-01 -4.04590e-01 9.32436e-02
6.00000e-01 -4.32476e-01 1.45391e-01
6.50000e-01 -4.50557e-01 2.02344e-01
7.00000e-01 -4.52097e-01 2.48333e-01
7.50000e-01 -4.37136e-01 2.83377e-01
8.00000e-01 -4.05095e-01 3.01814e-01
8.50000e-01 -3.55644e-01 3.02485e-01
9.00000e-01 -2.95347e-01 2.86432e-01
9.50000e-01 -2.25094e-01 2.51518e-01
1.00000e+00 -1.56889e-01 2.04503e-01
1.05000e+00 -9.29646e-02 1.44328e-01
1.10000e+00 -4.56997e-02 8.36848e-02
1.15000e+00 -1.70977e-02 4.33611e-02
1.20000e+00 -1.28708e-02 7.40445e-02
1.25000e+00 -3.18204e-02 1.20767e-01
1.30000e+00 -6.83144e-02 1.55287e-01
1.35000e+00 -1.16385e-01 1.73263e-01
1.40000e+00 -1.61594e-01 1.75177e-01
1.45000e+00 -1.96087e-01 1.62691e-01
1.50000e+00 -2.07013e-01 1.42772e-01
1.55000e+00 -1.91311e-01 1.19646e-01
1.60000e+00 -1.48670e-01 9.90416e-02
1.65000e+00 -8.50155e-02 8.32923e-02
1.70000e+00 -1.34008e-02 7.17256e-02
1.75000e+00 5.57826e-02 6.39346e-02
1.80000e+00 1.07762e-01 5.53820e-02
1.85000e+00 1.38297e-01 4.47753e-02
1.90000e+00 1.43200e-01 2.96131e-02
1.95000e+00 1.29013e-01 1.56900e-02
2.00000e+00 1.02221e-01 2.34814e-02
2.05000e+00 7.35793e-02 4.26657e-02
2.10000e+00 5.06789e-02 5.55058e-02
2.15000e+00 3.77865e-02 5.78786e-02
2.20000e+00 3.34655e-02 5.09686e-02
2.25000e+00 3.22905e-02 4.34392e-02
2.30000e+00 3.11117e-02 3.35144e-02
2.35000e+00 2.74239e-02 2.35491e-02
2.40000e+00 2.05219e-02 1.55402e-02
2.45000e+00 1.47262e-02 9.41183e-03
2.50000e+00 8.12648e-03 5.35364e-03
2.55000e+00 1.66047e-03 3.41157e-03
2.60000e+00 -3.70200e-03 2.93271e-03
2.65000e+00 -8.59307e-03 3.42378e-03
2.70000e+00 -1.21264e-02 4.59160e-03
2.75000e+00 -1.39520e-02 6.06097e-03
2.80000e+00 -1.40378e-02 7.41059e-03
2.85000e+00 -1.36304e-02 8.43347e-03
2.90000e+00 -1.16422e-02 8.73081e-03
2.95000e+00 -8.52914e-03 8.37187e-03
3.00000e+00 -4.84632e-03 7.59744e-03
3.05000e+00 -1.31391e-03 5.91346e-03
3.10000e+00 1.66467e-03 4.62168e-03
3.15000e+00 3.76461e-03 4.12759e-03
3.20000e+00 4.90912e-03 4.18962e-03
3.25000e+00 4.58317e-03 4.33269e-03
3.30000e+00 3.85153e-03 4.45996e-03
3.35000e+00 3.26999e-03 4.53700e-03
3.40000e+00 3.23622e-03 4.77104e-03
3.45000e+00 3.53170e-03 5.52869e-03
3.50000e+00 4.62848e-03 6.22048e-03
3.55000e+00 6.26181e-03 6.37236e-03
3.60000e+00 8.02603e-03 5.71561e-03
3.65000e+00 9.47201e-03 4.43659e-03
3.70000e+00 1.03606e-02 3.95675e-03
3.75000e+00 1.04421e-02 5.96427e-03
3.80000e+00 9.56821e-03 8.79670e-03
3.85000e+00 7.80728e-03 1.11814e-02
3.90000e+00 4.96446e-03 1.19670e-02
3.95000e+00 1.11090e-03 1.07698e-02
4.00000e+00 -3.52443e-03 7.77750e-03
4.05000e+00 -8.64520e-03 3.96775e-03
4.10000e+00 -1.36921e-02 3.03364e-03
4.15000e+00 -1.78656e-02 6.73366e-03
4.20000e+00 -2.03774e-02 9.96774e-03
4.25000e+00 -2.09509e-02 1.17571e-02
4.30000e+00 -1.91040e-02 1.21121e-02
4.35000e+00 -1.50533e-02 1.13662e-02
4.40000e+00 -9.48478e-03 1.01130e-02
4.45000e+00 -3.60990e-03 9.00089e-03
4.50000e+00 1.84057e-03 8.51237e-03
4.55000e+00 6.08178e-03 8.91193e-03
4.60000e+00 8.74386e-03 1.02000e-02
4.65000e+00 9.89489e-03 1.20553e-02
4.70000e+00 1.01081e-02 1.38097e-02
4.75000e+00 1.00490e-02 1.46031e-02
4.80000e+00 1.02973e-02 1.36740e-02
4.85000e+00 1.10617e-02 1.08218e-02
4.90000e+00 1.23005e-02 6.62352e-03
4.95000e+00 1.35829e-02 6.56332e-03
5.00000e+00 1.43168e-02 1.33814e-02
5.05000e+00 1.39665e-02 2.12482e-02
5.10000e+00 1.23613e-02 2.80228e-02
5.15000e+00 9.60434e-03 3.25512e-02
5.20000e+00 6.10151e-03 3.42798e-02
5.25000e+00 2.43437e-03 3.32055e-02
5.30000e+00 -9.24926e-04 2.99556e-02
5.35000e+00 -3.70237e-03 2.54293e-02
5.40000e+00 -5.89235e-03 2.05370e-02
5.45000e+00 -7.64897e-03 1.58151e-02
5.50000e+00 -9.23503e-03 1.17026e-02
5.55000e+00 -1.08000e-02 8.51226e-03
5.60000e+00 -1.22812e-02 7.62442e-03
5.65000e+00 -1.33378e-02 1.04891e-02
5.70000e+00 -1.36531e-02 1.56212e-02
5.75000e+00 -1.29542e-02 2.12259e-02
5.80000e+00 -1.12096e-02 2.60084e-02
5.85000e+00 -8.64868e-03 2.88437e-02
5.90000e+00 -5.88927e-03 2.92090e-02
5.95000e+00 -3.55689e-03 2.71612e-02
6.00000e+00 -2.12512e-03 2.34689e-02
6.05000e+00 -1.69769e-03 1.93306e-02
6.10000e+00 -2.02975e-03 1.60782e-02
6.15000e+00 -2.49080e-03 1.43614e-02
6.20000e+00 -2.33173e-03 1.41859e-02
6.25000e+00 -9.56922e-04 1.51721e-02
6.30000e+00 1.84665e-03 1.63376e-02
6.35000e+00 5.80678e-03 1.61843e-02
6.40000e+00 1.02276e-02 1.35719e-02
6.45000e+00 1.41933e-02 9.46707e-03
6.50000e+00 1.68405e-02 1.12364e-02
6.55000e+00 1.75755e-02 2.07259e-02
6.60000e+00 1.62658e-02 3.11888e-02
6.65000e+00 1.32314e-02 3.91885e-02
6.70000e+00 9.08771e-03 4.29043e-02
6.75000e+00 4.53457e-03 4.17839e-02
6.80000e+00 1.60167e-04 3.65025e-02
6.85000e+00 -3.67152e-03 2.86838e-02
6.90000e+00 -6.82326e-03 2.04246e-02
6.95000e+00 -9.29760e-03 1.38064e-02
7.00000e+00 -1.11160e-02 1.04185e-02
7.05000e+00 -1.22283e-02 1.03631e-02
7.10000e+00 -1.24886e-02 1.23939e-02
7.15000e+00 -1.17368e-02 1.54765e-02
7.20000e+00 -9.89278e-03 1.88052e-02
7.25000e+00 -7.05630e-03 2.15553e-02
7.30000e+00 -3.54771e-03 2.31569e-02
7.35000e+00 1.37420e-04 2.35284e-02
7.40000e+00 3.44674e-03 2.31046e-02
7.45000e+00 5.91746e-03 2.26049e-02
7.50000e+00 7.29290e-03 2.25309e-02
7.55000e+00 7.53181e-03 2.26934e-02
7.60000e+00 6.86223e-03 2.24775e-02
7.65000e+00 5.58809e-03 2.12216e-02
7.70000e+00 3.99420e-03 1.86563e-02
7.75000e+00 2.27345e-03 1.50000e-02
7.80000e+00 5.27246e-04 1.10361e-02
7.85000e+00 -1.16974e-03 8.51943e-03
7.90000e+00 -2.68391e-03 9.49272e-03
7.95000e+00 -3.77413e-03 1.26973e-02
8.00000e+00 -4.12376e-03 1.59394e-02
8.05000e+00 -3.45499e-03 1.82671e-02
8.10000e+00 -1.71449e-03 1.95465e-02
8.15000e+00 8.16834e-04 2.00569e-02
8.20000e+00 3.49468e-03 2.02447e-02
8.25000e+00 5.43899e-03 2.04490e-02
8.30000e+00 5.79391e-03 2.07100e-02
8.35000e+00 4.04208e-03 2.07374e-02
8.40000e+00 2.59287e-04 2.00074e-02
8.45000e+00 -4.79774e-03 1.79702e-02
8.50000e+00 -9.82837e-03 1.44170e-02
8.55000e+00 -1.33030e-02 1.02078e-02
8.60000e+00 -1.39697e-02 9.09692e-03
8.65000e+00 -1.12540e-02 1.34514e-02
8.70000e+00 -5.48909e-03 1.90400e-02
8.75000e+00 2.12855e-03 2.30636e-02
8.80000e+00 9.85627e-03 2.44825e-02
8.85000e+00 1.58985e-02 2.32722e-02
8.90000e+00 1.89179e-02 2.01986e-02
8.95000e+00 1.83987e-02 1.66372e-02
9.00000e+00 1.47487e-02 1.43120e-02
9.05000e+00 9.10371e-03 1.43028e-02
9.10000e+00 2.94143e-03 1.56607e-02
