# 		k		<chi>		std
0.00000e+00 -1.03283e-01 3.41360e-01
5.00000e-02 -1.07721e-01 3.31913e-01
1.00000e-01 -1.15275e-01 3.22505e-01
1.50000e-01 -1.37973e-01 2.93730e-01
2.00000e-01 -1.60928e-01 2.64293e-01
2.50000e-01 -1.98947e-01 2.14113e-01
3.00000e-01 -2.37027e-01 1.63428e-01
3.50000e-01 -2.88608e-01 9.62579e-02
4.00000e-01 -3.38596e-01 5.70458e-02
4.50000e-01 -3.97577e-01 1.09914e-01
5.00000e-01 -4.50826e-01 1.93896e-01
5.50000e-01 -5.04582e-01 2.90464e-01
6.00000e-01 -5.45755e-01 3.76191e-01
6.50000e-01 -5.75459e-01 4.54076e-01
7.00000e-01 -5.84832e-01 5.09055e-01
7.50000e-01 -5.71006e-01 5.38703e-01
8.00000e-01 -5.32963e-01 5.37586e-01
8.50000e-01 -4.67494e-01 5.01124e-01
9.00000e-01 -3.83889e-01 4.35743e-01
9.50000e-01 -2.82753e-01 3.39441e-01
1.00000e+00 -1.81904e-01 2.29339e-01
1.05000e+00 -8.68931e-02 1.10661e-01
1.10000e+00 -1.59990e-02 4.41368e-02
1.15000e+00 2.45219e-02 1.19381e-01
1.20000e+00 2.74918e-02 1.86509e-01
1.25000e+00 -6.65000e-03 2.23457e-01
1.30000e+00 -6.73044e-02 2.27508e-01
1.35000e+00 -1.44167e-01 2.03135e-01
1.40000e+00 -2.14912e-01 1.62061e-01
1.45000e+00 -2.66026e-01 1.14491e-01
1.50000e+00 -2.80521e-01 7.50652e-02
1.55000e+00 -2.53896e-01 5.11068e-02
1.60000e+00 -1.88985e-01 4.65346e-02
1.65000e+00 -9.57203e-02 5.89680e-02
1.70000e+00 5.67232e-03 8.05244e-02
1.75000e+00 9.99689e-02 1.03256e-01
1.80000e+00 1.67495e-01 1.14887e-01
1.85000e+00 2.03261e-01 1.11092e-01
1.90000e+00 2.03427e-01 8.85979e-02
1.95000e+00 1.78040e-01 5.26443e-02
2.00000e+00 1.36938e-01 1.45993e-02
2.05000e+00 9.43317e-02 3.51394e-02
2.10000e+00 6.07593e-02 6.30812e-02
2.15000e+00 4.16712e-02 7.41334e-02
2.20000e+00 3.52146e-02 6.95054e-02
2.25000e+00 3.43345e-02 6.01884e-02
2.30000e+00 3.23668e-02 4.76879e-02
2.35000e+00 2.60482e-02 3.56429e-02
2.40000e+00 1.52527e-02 2.61937e-02
2.45000e+00 6.66019e-03 1.80941e-02
2.50000e+00 -1.88224e-03 1.14911e-02
2.55000e+00 -9.07738e-03 6.63155e-03
2.60000e+00 -1.38337e-02 3.74828e-03
2.65000e+00 -1.76087e-02 3.26383e-03
2.70000e+00 -1.92455e-02 3.63353e-03
2.75000e+00 -1.87336e-02 3.73060e-03
2.80000e+00 -1.64087e-02 3.35012e-03
2.85000e+00 -1.39447e-02 2.82162e-03
2.90000e+00 -1.00921e-02 2.63637e-03
2.95000e+00 -5.40062e-03 3.15455e-03
3.00000e+00 -4.64273e-04 4.16543e-03
3.05000e+00 4.16490e-03 4.59570e-03
3.10000e+00 7.86665e-03 5.00220e-03
3.15000e+00 1.01405e-02 5.29885e-03
3.20000e+00 1.07164e-02 5.38561e-03
3.25000e+00 8.87800e-03 5.02014e-03
3.30000e+00 5.72362e-03 4.55952e-03
3.35000e+00 2.03187e-03 4.01611e-03
3.40000e+00 -1.36803e-03 3.35935e-03
3.45000e+00 -4.05870e-03 2.46165e-03
3.50000e+00 -4.86716e-03 2.57663e-03
3.55000e+00 -3.59935e-03 4.03218e-03
3.60000e+00 -5.12543e-04 5.68957e-03
3.65000e+00 3.99451e-03 6.92049e-03
3.70000e+00 8.86339e-03 6.97036e-03
3.75000e+00 1.29261e-02 5.68087e-03
3.80000e+00 1.51048e-02 3.35957e-03
3.85000e+00 1.49975e-02 2.09656e-03
3.90000e+00 1.16867e-02 5.05886e-03
3.95000e+00 5.43178e-03 8.24633e-03
4.00000e+00 -2.81257e-03 1.03795e-02
4.05000e+00 -1.17926e-02 1.12203e-02
4.10000e+00 -1.99210e-02 1.03221e-02
4.15000e+00 -2.54746e-02 7.87341e-03
4.20000e+00 -2.72155e-02 4.65196e-03
4.25000e+00 -2.52311e-02 3.74897e-03
4.30000e+00 -1.95243e-02 7.05207e-03
4.35000e+00 -1.13492e-02 1.10513e-02
4.40000e+00 -2.51564e-03 1.44692e-02
4.45000e+00 4.89316e-03 1.69600e-02
4.50000e+00 9.84601e-03 1.86022e-02
4.55000e+00 1.17251e-02 1.95198e-02
4.60000e+00 1.08533e-02 1.98611e-02
4.65000e+00 8.31744e-03 1.97893e-02
4.70000e+00 5.59209e-03 1.90647e-02
4.75000e+00 4.02930e-03 1.72804e-02
4.80000e+00 4.44134e-03 1.39564e-02
4.85000e+00 6.74793e-03 9.08105e-03
4.90000e+00 1.03756e-02 4.96088e-03
4.95000e+00 1.42382e-02 1.06850e-02
5.00000e+00 1.72323e-02 2.02363e-02
5.05000e+00 1.86232e-02 2.93377e-02
5.10000e+00 1.83596e-02 3.60829e-02
5.15000e+00 1.68415e-02 3.90114e-02
5.20000e+00 1.47448e-02 3.74447e-02
5.25000e+00 1.26035e-02 3.17267e-02
5.30000e+00 1.06008e-02 2.32591e-02
5.35000e+00 8.35002e-03 1.43393e-02
5.40000e+00 5.07068e-03 8.32500e-03
5.45000e+00 -2.02321e-05 8.03018e-03
5.50000e+00 -7.25573e-03 9.34815e-03
