# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-1.868442e-01	2.305640e-01	-2.907442e-02	1.014532e-02	-7.253855e-01
5.000000e-02	-3.586028e-01	1.969628e-01	-3.202178e-01	2.585708e-02	-7.174766e-01
1.000000e-01	-3.539883e-01	1.950852e-01	-3.166214e-01	2.567194e-02	-7.094475e-01
1.500000e-01	-3.404284e-01	1.893904e-01	-3.067237e-01	2.456850e-02	-6.866788e-01
2.000000e-01	-3.270051e-01	1.834261e-01	-2.961506e-01	2.266692e-02	-6.695615e-01
2.500000e-01	-3.054517e-01	1.734872e-01	-2.795727e-01	2.017457e-02	-6.397250e-01
3.000000e-01	-2.844144e-01	1.632618e-01	-2.633800e-01	2.004639e-02	-6.074135e-01
3.500000e-01	-2.564931e-01	1.496721e-01	-2.449785e-01	1.748862e-02	-5.603395e-01
4.000000e-01	-2.299490e-01	1.367649e-01	-2.316094e-01	1.494530e-02	-5.204289e-01
4.500000e-01	-1.986202e-01	1.229416e-01	-2.069834e-01	1.265246e-02	-4.681011e-01
5.000000e-01	-1.702569e-01	1.123379e-01	-1.704784e-01	2.266477e-02	-4.173984e-01
5.500000e-01	-1.406241e-01	1.048350e-01	-1.292200e-01	3.460504e-02	-4.116457e-01
6.000000e-01	-1.160046e-01	1.023721e-01	-9.768280e-02	4.034473e-02	-3.956519e-01
6.500000e-01	-9.431047e-02	1.036968e-01	-7.750549e-02	6.464876e-02	-3.649293e-01
7.000000e-01	-7.891586e-02	1.073659e-01	-7.278945e-02	8.880196e-02	-3.406385e-01
7.500000e-01	-6.900014e-02	1.116505e-01	-6.917719e-02	1.121719e-01	-3.328427e-01
8.000000e-01	-6.470381e-02	1.157131e-01	-7.244758e-02	1.465971e-01	-3.308521e-01
8.500000e-01	-6.549685e-02	1.183910e-01	-8.390348e-02	1.654998e-01	-3.192299e-01
9.000000e-01	-6.990038e-02	1.194038e-01	-9.033886e-02	1.664811e-01	-2.977726e-01
9.500000e-01	-7.785372e-02	1.165009e-01	-8.665107e-02	1.470732e-01	-2.696803e-01
1.000000e+00	-8.843128e-02	1.092766e-01	-8.701663e-02	1.109273e-01	-2.728686e-01
1.050000e+00	-1.028115e-01	9.500800e-02	-8.825623e-02	6.215714e-02	-2.666836e-01
1.100000e+00	-1.209765e-01	7.545519e-02	-1.038846e-01	2.721544e-02	-2.661343e-01
1.150000e+00	-1.451413e-01	5.116858e-02	-1.300251e-01	-3.243089e-02	-2.654092e-01
1.200000e+00	-1.738099e-01	3.197554e-02	-1.745567e-01	-8.167361e-02	-2.580261e-01
1.250000e+00	-2.080314e-01	3.667240e-02	-2.111910e-01	-9.355831e-02	-2.988442e-01
1.300000e+00	-2.423815e-01	5.744259e-02	-2.467338e-01	-1.019159e-01	-3.553524e-01
1.350000e+00	-2.748400e-01	7.734004e-02	-2.832354e-01	-1.209246e-01	-4.068498e-01
1.400000e+00	-2.971799e-01	9.031144e-02	-3.086429e-01	-1.423343e-01	-4.627095e-01
1.450000e+00	-3.057645e-01	9.531185e-02	-3.118066e-01	-1.461782e-01	-4.888312e-01
1.500000e+00	-2.945529e-01	9.321732e-02	-2.954593e-01	-1.449512e-01	-4.760101e-01
1.550000e+00	-2.625074e-01	8.566256e-02	-2.614467e-01	-1.359338e-01	-4.260387e-01
1.600000e+00	-2.108938e-01	7.585085e-02	-2.072560e-01	-8.708286e-02	-3.452460e-01
1.650000e+00	-1.436563e-01	6.580838e-02	-1.411413e-01	-2.249717e-02	-2.497873e-01
1.700000e+00	-6.921619e-02	5.743443e-02	-6.962455e-02	4.079133e-02	-1.654286e-01
1.750000e+00	5.723221e-03	5.115438e-02	2.252731e-03	9.895693e-02	-8.920608e-02
1.800000e+00	7.148579e-02	4.655242e-02	6.921452e-02	1.507760e-01	-1.960410e-02
1.850000e+00	1.241159e-01	4.295604e-02	1.195443e-01	2.039776e-01	3.992226e-02
1.900000e+00	1.582097e-01	3.879466e-02	1.525575e-01	2.346169e-01	8.517663e-02
1.950000e+00	1.757281e-01	3.310204e-02	1.712581e-01	2.426116e-01	1.145200e-01
2.000000e+00	1.761701e-01	2.507276e-02	1.711342e-01	2.275931e-01	1.304257e-01
2.050000e+00	1.667281e-01	1.555396e-02	1.641669e-01	2.202701e-01	1.323715e-01
2.100000e+00	1.473125e-01	1.117705e-02	1.490214e-01	2.008604e-01	1.134322e-01
2.150000e+00	1.224464e-01	1.755311e-02	1.235089e-01	1.735631e-01	8.625049e-02
2.200000e+00	9.595422e-02	2.482651e-02	9.462878e-02	1.423318e-01	5.580339e-02
2.250000e+00	7.294985e-02	2.906242e-02	7.132358e-02	1.213711e-01	2.556519e-02
2.300000e+00	5.171406e-02	2.914760e-02	5.085539e-02	9.956051e-02	3.644168e-03
2.350000e+00	3.316452e-02	2.550235e-02	3.200697e-02	7.518562e-02	-7.891804e-03
2.400000e+00	1.799576e-02	1.937861e-02	1.535358e-02	5.133927e-02	-1.154523e-02
2.450000e+00	6.504060e-03	1.329218e-02	5.004055e-03	3.000729e-02	-1.491978e-02
2.500000e+00	-2.014976e-03	7.126299e-03	-1.295992e-03	1.376621e-02	-1.574858e-02
2.550000e+00	-7.337669e-03	3.006689e-03	-7.463992e-03	2.487990e-03	-1.599055e-02
2.600000e+00	-9.616656e-03	5.312349e-03	-1.059072e-02	7.427150e-03	-1.999509e-02
2.650000e+00	-1.072014e-02	8.258566e-03	-1.169569e-02	1.039567e-02	-2.363964e-02
2.700000e+00	-1.013720e-02	1.023890e-02	-9.855375e-03	1.214859e-02	-2.511588e-02
2.750000e+00	-8.368575e-03	1.108419e-02	-7.568154e-03	1.245270e-02	-2.499370e-02
2.800000e+00	-5.942766e-03	1.082552e-02	-5.626697e-03	1.134683e-02	-2.259057e-02
2.850000e+00	-4.520191e-03	9.828544e-03	-4.622739e-03	1.104482e-02	-1.986040e-02
2.900000e+00	-3.123707e-03	7.923696e-03	-4.416827e-03	1.138092e-02	-1.966744e-02
2.950000e+00	-2.006825e-03	5.446027e-03	-3.492912e-03	1.142245e-02	-1.943488e-02
3.000000e+00	-1.299433e-03	3.799464e-03	-1.451877e-03	1.019632e-02	-1.787964e-02
3.050000e+00	-1.715203e-03	5.601899e-03	-2.789837e-04	9.067807e-03	-1.577044e-02
3.100000e+00	-2.370793e-03	9.154440e-03	-5.795961e-04	1.287322e-02	-2.106478e-02
3.150000e+00	-3.066406e-03	1.253218e-02	-6.358984e-03	1.566701e-02	-2.447505e-02
3.200000e+00	-3.602725e-03	1.488097e-02	-6.024063e-03	1.702064e-02	-2.553880e-02
3.250000e+00	-4.272598e-03	1.545758e-02	-4.443010e-03	1.560661e-02	-2.515393e-02
3.300000e+00	-4.223903e-03	1.405030e-02	-3.180897e-03	1.350386e-02	-2.339702e-02
3.350000e+00	-3.387097e-03	1.081879e-02	-1.404664e-03	1.212529e-02	-1.941542e-02
3.400000e+00	-1.852893e-03	6.336367e-03	-2.172512e-04	1.146549e-02	-1.406613e-02
3.450000e+00	8.961487e-05	2.365462e-03	2.273305e-04	8.917672e-03	-6.516457e-03
3.500000e+00	2.468666e-03	5.946696e-03	1.780689e-03	1.334187e-02	-8.836333e-03
3.550000e+00	4.985421e-03	9.984325e-03	6.558297e-03	2.001230e-02	-9.764048e-03
3.600000e+00	7.342022e-03	1.211483e-02	8.917217e-03	2.633892e-02	-8.846794e-03
3.650000e+00	9.527690e-03	1.214960e-02	9.481320e-03	2.973652e-02	-6.668524e-03
3.700000e+00	1.113235e-02	9.700607e-03	1.002496e-02	2.939527e-02	-2.415824e-03
3.750000e+00	1.183013e-02	5.471089e-03	9.803299e-03	2.541686e-02	3.790249e-03
3.800000e+00	1.134745e-02	2.466198e-03	1.146912e-02	1.863050e-02	2.463287e-03
3.850000e+00	9.823092e-03	6.531244e-03	1.141174e-02	2.329262e-02	-2.912524e-03
3.900000e+00	6.688374e-03	1.076507e-02	7.642309e-03	2.447276e-02	-9.668180e-03
3.950000e+00	2.056238e-03	1.318624e-02	2.740696e-03	2.177067e-02	-1.722995e-02
4.000000e+00	-3.631745e-03	1.333683e-02	-3.134218e-03	1.706705e-02	-2.370304e-02
4.050000e+00	-9.662293e-03	1.152529e-02	-8.387418e-03	1.032448e-02	-2.841713e-02
4.100000e+00	-1.535099e-02	8.136003e-03	-1.340521e-02	1.539778e-03	-3.024193e-02
4.150000e+00	-1.972328e-02	4.304449e-03	-1.978526e-02	-7.462476e-03	-3.128709e-02
4.200000e+00	-2.200382e-02	2.921068e-03	-2.195458e-02	-1.415675e-02	-3.367513e-02
4.250000e+00	-2.208814e-02	5.124493e-03	-2.234513e-02	-1.162477e-02	-3.892390e-02
4.300000e+00	-1.991680e-02	7.005810e-03	-2.108148e-02	-7.979743e-03	-3.918629e-02
4.350000e+00	-1.607545e-02	7.770026e-03	-1.642441e-02	-3.657414e-03	-3.541259e-02
4.400000e+00	-1.151250e-02	7.636271e-03	-1.079916e-02	7.536529e-04	-2.917003e-02
4.450000e+00	-7.431086e-03	7.091268e-03	-6.803898e-03	4.966377e-03	-2.222972e-02
4.500000e+00	-4.423520e-03	6.746976e-03	-5.063960e-03	8.195774e-03	-1.795665e-02
4.550000e+00	-2.852055e-03	7.050954e-03	-4.572643e-03	1.058812e-02	-1.664058e-02
4.600000e+00	-2.503261e-03	8.157355e-03	-4.572436e-03	1.279192e-02	-1.695426e-02
4.650000e+00	-2.741060e-03	9.856709e-03	-5.941419e-03	1.620805e-02	-1.899548e-02
4.700000e+00	-2.467881e-03	1.166023e-02	-5.435876e-03	1.954868e-02	-2.185218e-02
4.750000e+00	-6.581277e-04	1.289996e-02	-3.170275e-03	2.273452e-02	-2.261582e-02
4.800000e+00	3.391528e-03	1.297056e-02	1.700476e-03	2.631039e-02	-1.904636e-02
4.850000e+00	9.614488e-03	1.163350e-02	9.215074e-03	3.195647e-02	-1.312716e-02
4.900000e+00	1.763598e-02	8.932337e-03	1.815407e-02	3.736021e-02	-4.127745e-03
4.950000e+00	2.636569e-02	5.858739e-03	2.620487e-02	4.201518e-02	7.457734e-03
5.000000e+00	3.437295e-02	5.625894e-03	3.453225e-02	4.985959e-02	1.826058e-02
5.050000e+00	4.017509e-02	9.057562e-03	3.998604e-02	6.070916e-02	1.821298e-02
5.100000e+00	4.280299e-02	1.294918e-02	4.186079e-02	6.783865e-02	1.371554e-02
5.150000e+00	4.170584e-02	1.590114e-02	3.927767e-02	6.973777e-02	5.928053e-03
5.200000e+00	3.694716e-02	1.746693e-02	3.479684e-02	6.577529e-02	-3.178383e-03
5.250000e+00	2.909702e-02	1.765662e-02	3.018151e-02	5.939746e-02	-1.289655e-02
5.300000e+00	1.913500e-02	1.674259e-02	2.221527e-02	4.974688e-02	-2.233025e-02
5.350000e+00	8.083255e-03	1.514727e-02	1.065569e-02	3.730472e-02	-3.048530e-02
5.400000e+00	-3.136337e-03	1.325806e-02	-7.550879e-04	2.307592e-02	-3.656768e-02
5.450000e+00	-1.379392e-02	1.125407e-02	-1.216406e-02	1.140673e-02	-4.776954e-02
5.500000e+00	-2.332331e-02	9.358014e-03	-2.254297e-02	8.779863e-04	-5.621701e-02
5.550000e+00	-3.134340e-02	7.848034e-03	-3.114397e-02	-7.303212e-03	-6.049144e-02
5.600000e+00	-3.751677e-02	7.225616e-03	-3.709347e-02	-1.355281e-02	-6.090490e-02
5.650000e+00	-4.136755e-02	7.693370e-03	-4.119890e-02	-1.823602e-02	-6.512015e-02
5.700000e+00	-4.266880e-02	8.728364e-03	-4.286777e-02	-1.445838e-02	-6.579173e-02
