# 		k		<chi>		std
0.00000e+00 -1.35204e-02 2.99459e-01
5.00000e-02 -2.05962e-02 2.90084e-01
1.00000e-01 -2.92000e-02 2.81122e-01
1.50000e-01 -5.52167e-02 2.53655e-01
2.00000e-01 -8.15945e-02 2.25337e-01
2.50000e-01 -1.25695e-01 1.77120e-01
3.00000e-01 -1.70014e-01 1.28531e-01
3.50000e-01 -2.30592e-01 6.90502e-02
4.00000e-01 -2.89559e-01 6.34610e-02
4.50000e-01 -3.59679e-01 1.36550e-01
5.00000e-01 -4.23545e-01 2.20820e-01
5.50000e-01 -4.88802e-01 3.13557e-01
6.00000e-01 -5.40272e-01 3.93867e-01
6.50000e-01 -5.79702e-01 4.63514e-01
7.00000e-01 -5.97075e-01 5.08674e-01
7.50000e-01 -5.89600e-01 5.26339e-01
8.00000e-01 -5.55971e-01 5.12643e-01
8.50000e-01 -4.92645e-01 4.64025e-01
9.00000e-01 -4.09287e-01 3.88650e-01
9.50000e-01 -3.05859e-01 2.86924e-01
1.00000e+00 -2.00889e-01 1.77332e-01
1.05000e+00 -9.92145e-02 7.04922e-02
1.10000e+00 -2.00467e-02 5.85970e-02
1.15000e+00 3.08731e-02 1.25542e-01
1.20000e+00 4.51274e-02 1.66859e-01
1.25000e+00 2.31840e-02 1.74887e-01
1.30000e+00 -2.59112e-02 1.52491e-01
1.35000e+00 -9.22992e-02 1.07209e-01
1.40000e+00 -1.55209e-01 5.57376e-02
1.45000e+00 -2.01570e-01 2.55618e-02
1.50000e+00 -2.15336e-01 4.43775e-02
1.55000e+00 -1.91822e-01 5.37959e-02
1.60000e+00 -1.33688e-01 4.15627e-02
1.65000e+00 -4.97466e-02 2.29184e-02
1.70000e+00 4.08265e-02 4.72294e-02
1.75000e+00 1.24341e-01 8.47805e-02
1.80000e+00 1.82137e-01 1.09213e-01
1.85000e+00 2.10209e-01 1.14572e-01
1.90000e+00 2.04921e-01 9.81069e-02
1.95000e+00 1.76138e-01 6.59160e-02
2.00000e+00 1.33229e-01 2.76786e-02
2.05000e+00 8.85183e-02 1.91210e-02
2.10000e+00 5.26321e-02 4.30084e-02
2.15000e+00 3.12041e-02 5.26440e-02
2.20000e+00 2.28151e-02 4.80962e-02
2.25000e+00 1.97069e-02 3.84255e-02
2.30000e+00 1.67388e-02 2.76778e-02
2.35000e+00 1.07238e-02 1.93194e-02
2.40000e+00 1.45645e-03 1.46113e-02
2.45000e+00 -5.22427e-03 1.07879e-02
2.50000e+00 -1.09524e-02 8.23374e-03
2.55000e+00 -1.48189e-02 6.55464e-03
2.60000e+00 -1.61753e-02 5.29352e-03
2.65000e+00 -1.68310e-02 4.51119e-03
2.70000e+00 -1.57222e-02 4.10387e-03
2.75000e+00 -1.32405e-02 3.99957e-03
2.80000e+00 -1.00104e-02 4.03102e-03
2.85000e+00 -7.48476e-03 4.15059e-03
2.90000e+00 -4.74648e-03 3.84409e-03
2.95000e+00 -2.27167e-03 3.13433e-03
3.00000e+00 -4.06997e-04 2.35329e-03
3.05000e+00 9.58057e-04 2.71138e-03
3.10000e+00 1.44895e-03 4.09068e-03
3.15000e+00 1.02923e-03 5.29273e-03
3.20000e+00 -1.52526e-04 5.77249e-03
3.25000e+00 -2.01443e-03 5.26115e-03
3.30000e+00 -3.80255e-03 3.98608e-03
3.35000e+00 -5.02751e-03 3.39514e-03
3.40000e+00 -5.32912e-03 4.67201e-03
3.45000e+00 -4.31907e-03 6.51292e-03
3.50000e+00 -2.01703e-03 7.38281e-03
3.55000e+00 1.18769e-03 6.72208e-03
3.60000e+00 4.72575e-03 4.70095e-03
3.65000e+00 8.32809e-03 3.22575e-03
3.70000e+00 1.09317e-02 5.74631e-03
3.75000e+00 1.20028e-02 9.33311e-03
3.80000e+00 1.12454e-02 1.18581e-02
3.85000e+00 8.73033e-03 1.25741e-02
3.90000e+00 4.40366e-03 1.09228e-02
3.95000e+00 -1.17690e-03 7.17489e-03
4.00000e+00 -7.21073e-03 2.77742e-03
4.05000e+00 -1.30361e-02 5.01115e-03
4.10000e+00 -1.76512e-02 9.77822e-03
4.15000e+00 -2.02329e-02 1.28775e-02
4.20000e+00 -2.02992e-02 1.33698e-02
4.25000e+00 -1.83250e-02 1.13360e-02
4.30000e+00 -1.42201e-02 7.04151e-03
4.35000e+00 -8.69808e-03 2.57426e-03
4.40000e+00 -2.65950e-03 5.93133e-03
4.45000e+00 2.84730e-03 1.06570e-02
4.50000e+00 7.65120e-03 1.36804e-02
4.55000e+00 1.16029e-02 1.44575e-02
4.60000e+00 1.48903e-02 1.31412e-02
4.65000e+00 1.78782e-02 1.04520e-02
4.70000e+00 2.08754e-02 7.22815e-03
4.75000e+00 2.37848e-02 4.56633e-03
4.80000e+00 2.60913e-02 3.77371e-03
4.85000e+00 2.70407e-02 4.78877e-03
4.90000e+00 2.57371e-02 6.31489e-03
4.95000e+00 2.16293e-02 7.94056e-03
5.00000e+00 1.47997e-02 9.57236e-03
5.05000e+00 6.10790e-03 1.09779e-02
5.10000e+00 -3.02123e-03 1.17034e-02
5.15000e+00 -1.09345e-02 1.13015e-02
5.20000e+00 -1.62718e-02 9.63171e-03
5.25000e+00 -1.84403e-02 7.36651e-03
5.30000e+00 -1.77933e-02 6.64052e-03
5.35000e+00 -1.56031e-02 8.71109e-03
5.40000e+00 -1.36176e-02 1.12118e-02
5.45000e+00 -1.33221e-02 1.22148e-02
5.50000e+00 -1.56600e-02 1.11524e-02
5.55000e+00 -2.04174e-02 8.62187e-03
5.60000e+00 -2.63037e-02 6.86113e-03
5.65000e+00 -3.12137e-02 8.30127e-03
5.70000e+00 -3.32588e-02 1.10309e-02
5.75000e+00 -3.10685e-02 1.27871e-02
5.80000e+00 -2.43541e-02 1.29718e-02
5.85000e+00 -1.39099e-02 1.18765e-02
5.90000e+00 -1.64754e-03 1.02759e-02
5.95000e+00 1.03460e-02 8.82831e-03
