# 		k		<chi>		std
0.00000e+00 -3.88135e-01 6.75018e-02
5.00000e-02 -3.90473e-01 6.78571e-02
1.00000e-01 -3.91974e-01 6.74079e-02
1.50000e-01 -3.96202e-01 6.69254e-02
2.00000e-01 -3.99971e-01 6.77507e-02
2.50000e-01 -4.05376e-01 7.15909e-02
3.00000e-01 -4.09517e-01 7.79391e-02
3.50000e-01 -4.13464e-01 8.89399e-02
4.00000e-01 -4.14996e-01 1.01191e-01
4.50000e-01 -4.13761e-01 1.16093e-01
5.00000e-01 -4.08795e-01 1.29610e-01
5.50000e-01 -3.98067e-01 1.42258e-01
6.00000e-01 -3.82597e-01 1.51020e-01
6.50000e-01 -3.59006e-01 1.55296e-01
7.00000e-01 -3.30910e-01 1.53942e-01
7.50000e-01 -2.94605e-01 1.45578e-01
8.00000e-01 -2.56293e-01 1.31529e-01
8.50000e-01 -2.13143e-01 1.10718e-01
9.00000e-01 -1.72816e-01 8.70983e-02
9.50000e-01 -1.33970e-01 6.14465e-02
1.00000e+00 -1.03433e-01 4.07531e-02
1.05000e+00 -8.07654e-02 3.09150e-02
1.10000e+00 -6.91713e-02 3.30921e-02
1.15000e+00 -6.74598e-02 3.55133e-02
1.20000e+00 -7.36807e-02 3.21146e-02
1.25000e+00 -8.46845e-02 2.30924e-02
1.30000e+00 -9.48377e-02 2.08916e-02
1.35000e+00 -9.98457e-02 3.60731e-02
1.40000e+00 -9.49239e-02 5.48210e-02
1.45000e+00 -7.75423e-02 6.96506e-02
1.50000e+00 -4.84272e-02 7.51880e-02
1.55000e+00 -9.27806e-03 7.03301e-02
1.60000e+00 3.30134e-02 5.56514e-02
1.65000e+00 7.37267e-02 3.49687e-02
1.70000e+00 1.04542e-01 1.92602e-02
1.75000e+00 1.22379e-01 2.74847e-02
1.80000e+00 1.23865e-01 4.15833e-02
1.85000e+00 1.11366e-01 4.90400e-02
1.90000e+00 8.84370e-02 4.76709e-02
1.95000e+00 6.13011e-02 3.92820e-02
2.00000e+00 3.61181e-02 2.68323e-02
2.05000e+00 1.71895e-02 1.52111e-02
2.10000e+00 7.78822e-03 9.74016e-03
2.15000e+00 7.47034e-03 1.15341e-02
2.20000e+00 1.31044e-02 1.31268e-02
2.25000e+00 2.20666e-02 1.18548e-02
2.30000e+00 2.80743e-02 9.58687e-03
2.35000e+00 2.79703e-02 7.91692e-03
2.40000e+00 2.16857e-02 7.52154e-03
2.45000e+00 1.24910e-02 7.96108e-03
2.50000e+00 3.46565e-03 8.26687e-03
2.55000e+00 -3.29750e-03 8.00835e-03
2.60000e+00 -6.72666e-03 7.19345e-03
2.65000e+00 -8.33715e-03 6.43559e-03
2.70000e+00 -8.33307e-03 5.93005e-03
2.75000e+00 -7.23223e-03 5.78732e-03
2.80000e+00 -5.70645e-03 5.82279e-03
2.85000e+00 -4.93573e-03 5.87139e-03
2.90000e+00 -4.53982e-03 5.54918e-03
2.95000e+00 -4.66923e-03 4.79286e-03
3.00000e+00 -5.22119e-03 3.72585e-03
3.05000e+00 -6.07842e-03 2.51491e-03
3.10000e+00 -6.56766e-03 1.83121e-03
3.15000e+00 -6.27559e-03 2.18013e-03
3.20000e+00 -4.97783e-03 2.87506e-03
3.25000e+00 -2.85988e-03 3.45947e-03
3.30000e+00 1.18555e-04 3.60602e-03
3.35000e+00 3.40128e-03 3.29507e-03
3.40000e+00 6.27148e-03 2.67751e-03
3.45000e+00 8.23213e-03 2.13116e-03
3.50000e+00 8.73878e-03 2.04631e-03
3.55000e+00 7.64496e-03 2.44058e-03
3.60000e+00 5.20649e-03 2.79720e-03
3.65000e+00 2.08579e-03 2.81987e-03
3.70000e+00 -1.12690e-03 2.54777e-03
3.75000e+00 -3.68666e-03 2.62294e-03
3.80000e+00 -5.07149e-03 3.61372e-03
3.85000e+00 -5.16414e-03 5.09251e-03
3.90000e+00 -4.21051e-03 6.22846e-03
3.95000e+00 -2.67450e-03 6.46781e-03
4.00000e+00 -1.13175e-03 5.55452e-03
4.05000e+00 -2.58393e-04 3.80700e-03
4.10000e+00 -2.39826e-04 2.45535e-03
4.15000e+00 -1.00774e-03 4.30778e-03
4.20000e+00 -2.22947e-03 7.10648e-03
4.25000e+00 -3.68450e-03 9.23797e-03
4.30000e+00 -4.66894e-03 1.01852e-02
4.35000e+00 -4.88225e-03 9.75729e-03
4.40000e+00 -4.28198e-03 8.09178e-03
4.45000e+00 -3.15497e-03 5.75888e-03
4.50000e+00 -1.68576e-03 3.57278e-03
4.55000e+00 -2.09447e-04 3.50536e-03
4.60000e+00 1.05421e-03 5.51726e-03
4.65000e+00 2.07579e-03 7.66891e-03
4.70000e+00 2.99810e-03 9.47768e-03
4.75000e+00 4.00425e-03 1.08041e-02
4.80000e+00 5.23183e-03 1.15911e-02
4.85000e+00 6.66649e-03 1.17868e-02
4.90000e+00 8.12037e-03 1.14084e-02
4.95000e+00 9.26663e-03 1.05118e-02
5.00000e+00 9.73759e-03 9.25708e-03
5.05000e+00 9.25959e-03 7.85758e-03
5.10000e+00 7.78814e-03 6.65038e-03
5.15000e+00 5.48576e-03 5.85309e-03
5.20000e+00 2.71607e-03 5.53165e-03
5.25000e+00 -3.26595e-05 5.68028e-03
5.30000e+00 -2.37126e-03 6.29489e-03
5.35000e+00 -4.04984e-03 7.31191e-03
5.40000e+00 -5.03586e-03 8.62793e-03
5.45000e+00 -5.48116e-03 1.01044e-02
5.50000e+00 -5.67353e-03 1.15665e-02
5.55000e+00 -5.87554e-03 1.27144e-02
5.60000e+00 -6.21866e-03 1.31761e-02
5.65000e+00 -6.61357e-03 1.26235e-02
5.70000e+00 -6.83772e-03 1.11127e-02
5.75000e+00 -6.56658e-03 9.05222e-03
5.80000e+00 -5.52216e-03 7.19439e-03
5.85000e+00 -3.58327e-03 6.21331e-03
5.90000e+00 -9.40315e-04 6.13129e-03
5.95000e+00 2.00075e-03 6.50657e-03
6.00000e+00 4.67525e-03 7.24494e-03
6.05000e+00 6.46812e-03 8.20077e-03
6.10000e+00 6.95400e-03 8.88154e-03
6.15000e+00 5.97852e-03 8.83961e-03
6.20000e+00 3.69939e-03 8.49512e-03
6.25000e+00 5.48874e-04 9.44440e-03
6.30000e+00 -2.86885e-03 1.24893e-02
6.35000e+00 -5.91321e-03 1.63030e-02
6.40000e+00 -8.03814e-03 1.92784e-02
6.45000e+00 -8.88817e-03 2.04326e-02
6.50000e+00 -8.34405e-03 1.95059e-02
6.55000e+00 -6.50634e-03 1.68551e-02
6.60000e+00 -3.71424e-03 1.35153e-02
6.65000e+00 -3.97534e-04 1.07592e-02
6.70000e+00 2.95448e-03 9.64749e-03
6.75000e+00 5.85694e-03 1.01523e-02
6.80000e+00 7.89303e-03 1.14411e-02
6.85000e+00 8.77696e-03 1.29573e-02
6.90000e+00 8.41109e-03 1.44830e-02
6.95000e+00 6.92462e-03 1.58530e-02
7.00000e+00 4.67726e-03 1.68688e-02
7.05000e+00 2.22147e-03 1.73156e-02
7.10000e+00 1.86958e-04 1.71246e-02
7.15000e+00 -8.50211e-04 1.63443e-02
7.20000e+00 -5.21734e-04 1.51616e-02
7.25000e+00 1.21336e-03 1.38305e-02
7.30000e+00 4.01931e-03 1.25459e-02
7.35000e+00 7.22697e-03 1.13587e-02
7.40000e+00 9.96752e-03 1.02434e-02
7.45000e+00 1.13680e-02 9.31025e-03
7.50000e+00 1.07604e-02 9.00469e-03
7.55000e+00 7.80385e-03 9.90208e-03
7.60000e+00 2.73430e-03 1.20781e-02
7.65000e+00 -3.82077e-03 1.48860e-02
7.70000e+00 -1.09268e-02 1.75044e-02
7.75000e+00 -1.75311e-02 1.92404e-02
7.80000e+00 -2.26632e-02 1.96659e-02
7.85000e+00 -2.56014e-02 1.87228e-02
7.90000e+00 -2.59715e-02 1.67784e-02
7.95000e+00 -2.37682e-02 1.45826e-02
8.00000e+00 -1.93095e-02 1.30231e-02
8.05000e+00 -1.30724e-02 1.24981e-02
8.10000e+00 -5.84284e-03 1.26625e-02
8.15000e+00 1.64075e-03 1.28400e-02
8.20000e+00 8.67715e-03 1.28779e-02
8.25000e+00 1.46557e-02 1.33948e-02
8.30000e+00 1.90998e-02 1.52126e-02
8.35000e+00 2.17061e-02 1.82321e-02
8.40000e+00 2.23778e-02 2.13504e-02
8.45000e+00 2.12433e-02 2.32895e-02
8.50000e+00 1.86458e-02 2.31591e-02
8.55000e+00 1.50645e-02 2.06797e-02
8.60000e+00 1.11192e-02 1.64307e-02
