# 		k		<chi>		std
0.00000e+00 1.16522e-01 4.04324e-01
5.00000e-02 1.17085e-01 3.95691e-01
1.00000e-01 1.08879e-01 3.87792e-01
1.50000e-01 8.43913e-02 3.62835e-01
2.00000e-01 5.89368e-02 3.36545e-01
2.50000e-01 1.78258e-02 2.89857e-01
3.00000e-01 -2.37321e-02 2.41438e-01
3.50000e-01 -7.79004e-02 1.73010e-01
4.00000e-01 -1.30414e-01 1.07315e-01
4.50000e-01 -1.90567e-01 5.73514e-02
5.00000e-01 -2.45976e-01 1.02348e-01
5.50000e-01 -3.02842e-01 1.86231e-01
6.00000e-01 -3.49275e-01 2.63816e-01
6.50000e-01 -3.89309e-01 3.34741e-01
7.00000e-01 -4.12977e-01 3.84646e-01
7.50000e-01 -4.21876e-01 4.13376e-01
8.00000e-01 -4.11354e-01 4.15389e-01
8.50000e-01 -3.81931e-01 3.89844e-01
9.00000e-01 -3.36631e-01 3.41346e-01
9.50000e-01 -2.77041e-01 2.71004e-01
1.00000e+00 -2.13098e-01 1.91244e-01
1.05000e+00 -1.48187e-01 1.05674e-01
1.10000e+00 -9.44592e-02 3.29535e-02
1.15000e+00 -5.54691e-02 4.89233e-02
1.20000e+00 -3.82818e-02 9.43488e-02
1.25000e+00 -4.30090e-02 1.21757e-01
1.30000e+00 -6.64176e-02 1.28945e-01
1.35000e+00 -1.02985e-01 1.19518e-01
1.40000e+00 -1.40904e-01 9.99976e-02
1.45000e+00 -1.71597e-01 7.60083e-02
1.50000e+00 -1.83865e-01 5.54011e-02
1.55000e+00 -1.72851e-01 4.16441e-02
1.60000e+00 -1.37735e-01 3.69599e-02
1.65000e+00 -8.21753e-02 3.96316e-02
1.70000e+00 -1.72543e-02 4.60847e-02
1.75000e+00 4.82059e-02 5.30270e-02
1.80000e+00 1.00476e-01 5.48543e-02
1.85000e+00 1.34910e-01 4.96474e-02
1.90000e+00 1.45940e-01 3.60863e-02
1.95000e+00 1.38358e-01 1.78558e-02
2.00000e+00 1.16192e-01 1.38958e-02
2.05000e+00 8.92045e-02 3.16587e-02
2.10000e+00 6.33346e-02 4.41926e-02
2.15000e+00 4.42585e-02 4.71518e-02
2.20000e+00 3.31849e-02 4.18173e-02
2.25000e+00 2.77289e-02 3.41240e-02
2.30000e+00 2.39228e-02 2.56539e-02
2.35000e+00 1.91670e-02 1.82908e-02
2.40000e+00 1.21700e-02 1.29468e-02
2.45000e+00 6.20250e-03 8.76391e-03
2.50000e+00 -4.04631e-04 6.03120e-03
2.55000e+00 -6.82753e-03 4.45762e-03
2.60000e+00 -1.21297e-02 3.52790e-03
2.65000e+00 -1.72094e-02 2.90110e-03
2.70000e+00 -2.08883e-02 2.48643e-03
2.75000e+00 -2.27395e-02 2.46026e-03
2.80000e+00 -2.26274e-02 2.78284e-03
2.85000e+00 -2.18378e-02 3.26508e-03
2.90000e+00 -1.93160e-02 3.52996e-03
2.95000e+00 -1.55130e-02 3.39003e-03
3.00000e+00 -1.09688e-02 2.83204e-03
3.05000e+00 -6.19046e-03 2.25290e-03
3.10000e+00 -1.55854e-03 1.99481e-03
3.15000e+00 2.62300e-03 2.62817e-03
3.20000e+00 6.26159e-03 3.59988e-03
3.25000e+00 9.31580e-03 4.23897e-03
3.30000e+00 1.20863e-02 4.32294e-03
3.35000e+00 1.47104e-02 3.72225e-03
3.40000e+00 1.71634e-02 2.60348e-03
3.45000e+00 1.92242e-02 1.84635e-03
3.50000e+00 2.06107e-02 2.78846e-03
3.55000e+00 2.09267e-02 4.20612e-03
3.60000e+00 1.98793e-02 5.17899e-03
3.65000e+00 1.73113e-02 5.42595e-03
3.70000e+00 1.34580e-02 5.00228e-03
3.75000e+00 8.77307e-03 4.32822e-03
3.80000e+00 3.82732e-03 3.94455e-03
3.85000e+00 -9.43047e-04 4.02104e-03
3.90000e+00 -5.07115e-03 4.22856e-03
3.95000e+00 -8.37654e-03 4.14412e-03
4.00000e+00 -1.08898e-02 3.69197e-03
4.05000e+00 -1.28958e-02 3.13572e-03
4.10000e+00 -1.45258e-02 2.82767e-03
4.15000e+00 -1.58681e-02 2.96657e-03
4.20000e+00 -1.68947e-02 3.26367e-03
4.25000e+00 -1.77010e-02 3.38840e-03
4.30000e+00 -1.79084e-02 3.19958e-03
4.35000e+00 -1.73518e-02 3.04347e-03
4.40000e+00 -1.59607e-02 3.72880e-03
4.45000e+00 -1.39375e-02 5.30760e-03
4.50000e+00 -1.12387e-02 7.12576e-03
4.55000e+00 -7.96566e-03 8.53141e-03
4.60000e+00 -4.17586e-03 9.06966e-03
4.65000e+00 2.06974e-05 8.61688e-03
4.70000e+00 4.84694e-03 7.34372e-03
4.75000e+00 1.03136e-02 5.88161e-03
4.80000e+00 1.62731e-02 5.32481e-03
4.85000e+00 2.23545e-02 6.16734e-03
4.90000e+00 2.80261e-02 7.58531e-03
4.95000e+00 3.25358e-02 8.85355e-03
5.00000e+00 3.51129e-02 9.77297e-03
5.05000e+00 3.51254e-02 1.04311e-02
5.10000e+00 3.23038e-02 1.09480e-02
5.15000e+00 2.67143e-02 1.13362e-02
5.20000e+00 1.87980e-02 1.14846e-02
5.25000e+00 9.26530e-03 1.12132e-02
5.30000e+00 -9.48573e-04 1.04125e-02
5.35000e+00 -1.09666e-02 9.14961e-03
5.40000e+00 -2.00299e-02 7.86379e-03
5.45000e+00 -2.74391e-02 7.44109e-03
5.50000e+00 -3.28395e-02 8.53600e-03
5.55000e+00 -3.60112e-02 1.04579e-02
5.60000e+00 -3.68679e-02 1.21483e-02
5.65000e+00 -3.52928e-02 1.29239e-02
5.70000e+00 -3.16428e-02 1.26112e-02
5.75000e+00 -2.62687e-02 1.14115e-02
5.80000e+00 -1.96721e-02 9.80805e-03
5.85000e+00 -1.24256e-02 8.34860e-03
5.90000e+00 -5.27131e-03 7.47715e-03
5.95000e+00 1.22711e-03 7.24488e-03
6.00000e+00 6.69173e-03 7.45570e-03
6.05000e+00 1.09407e-02 7.81960e-03
6.10000e+00 1.40925e-02 8.08897e-03
6.15000e+00 1.64019e-02 8.08446e-03
6.20000e+00 1.81368e-02 7.99294e-03
6.25000e+00 1.94585e-02 8.46268e-03
6.30000e+00 2.03562e-02 9.96317e-03
6.35000e+00 2.06629e-02 1.20517e-02
6.40000e+00 2.01440e-02 1.38094e-02
6.45000e+00 1.86235e-02 1.44867e-02
6.50000e+00 1.60936e-02 1.37541e-02
6.55000e+00 1.27559e-02 1.17228e-02
6.60000e+00 8.97241e-03 9.21682e-03
6.65000e+00 5.18589e-03 7.51922e-03
6.70000e+00 1.75398e-03 7.59168e-03
6.75000e+00 -1.16959e-03 8.65216e-03
6.80000e+00 -3.67362e-03 9.47025e-03
6.85000e+00 -6.02798e-03 9.60006e-03
6.90000e+00 -8.54243e-03 9.18996e-03
6.95000e+00 -1.13994e-02 8.63966e-03
7.00000e+00 -1.45271e-02 8.29650e-03
7.05000e+00 -1.75763e-02 8.25079e-03
7.10000e+00 -1.99640e-02 8.42503e-03
7.15000e+00 -2.10851e-02 8.70589e-03
7.20000e+00 -2.05045e-02 9.01381e-03
7.25000e+00 -1.81173e-02 9.28423e-03
7.30000e+00 -1.42030e-02 9.49053e-03
7.35000e+00 -9.35200e-03 9.68861e-03
7.40000e+00 -4.28846e-03 9.98410e-03
7.45000e+00 3.48363e-04 1.04107e-02
7.50000e+00 4.18589e-03 1.08540e-02
7.55000e+00 7.14135e-03 1.11004e-02
7.60000e+00 9.53658e-03 1.10176e-02
7.65000e+00 1.17850e-02 1.06002e-02
7.70000e+00 1.42114e-02 9.99721e-03
7.75000e+00 1.68651e-02 9.50470e-03
7.80000e+00 1.94330e-02 9.51419e-03
7.85000e+00 2.12901e-02 1.02921e-02
7.90000e+00 2.16749e-02 1.17116e-02
7.95000e+00 1.99380e-02 1.33178e-02
8.00000e+00 1.57835e-02 1.45989e-02
8.05000e+00 9.39711e-03 1.51180e-02
8.10000e+00 1.60411e-03 1.46741e-02
8.15000e+00 -6.44431e-03 1.32442e-02
8.20000e+00 -1.34743e-02 1.11267e-02
8.25000e+00 -1.83893e-02 9.24251e-03
8.30000e+00 -2.05271e-02 9.18925e-03
8.35000e+00 -1.98050e-02 1.13245e-02
8.40000e+00 -1.67151e-02 1.40200e-02
8.45000e+00 -1.21758e-02 1.57726e-02
8.50000e+00 -7.28612e-03 1.58144e-02
8.55000e+00 -3.05839e-03 1.40430e-02
8.60000e+00 -1.94835e-04 1.11286e-02
8.65000e+00 1.09765e-03 8.46091e-03
8.70000e+00 1.07648e-03 7.61162e-03
8.75000e+00 3.32503e-04 8.24621e-03
8.80000e+00 -4.21170e-04 8.68445e-03
8.85000e+00 -5.75824e-04 8.30134e-03
8.90000e+00 1.96019e-04 7.62148e-03
8.95000e+00 1.86100e-03 7.54794e-03
9.00000e+00 4.05913e-03 8.17269e-03
9.05000e+00 6.23867e-03 8.75393e-03
9.10000e+00 7.82189e-03 8.79160e-03
9.15000e+00 8.40442e-03 8.47452e-03
9.20000e+00 7.86571e-03 8.38614e-03
9.25000e+00 6.38969e-03 8.83754e-03
9.30000e+00 4.38908e-03 9.51430e-03
9.35000e+00 2.36242e-03 9.92137e-03
9.40000e+00 7.33569e-04 9.80915e-03
9.45000e+00 -2.73264e-04 9.21138e-03
9.50000e+00 -6.83112e-04 8.35337e-03
9.55000e+00 -7.26305e-04 7.60021e-03
9.60000e+00 -7.53233e-04 7.35783e-03
9.65000e+00 -1.06507e-03 7.75591e-03
9.70000e+00 -1.80811e-03 8.44788e-03
9.75000e+00 -2.92064e-03 8.93415e-03
9.80000e+00 -4.15819e-03 8.93267e-03
9.85000e+00 -5.18445e-03 8.50430e-03
9.90000e+00 -5.69238e-03 7.99179e-03
9.95000e+00 -5.51069e-03 7.76533e-03
1.00000e+01 -4.65808e-03 7.88507e-03
1.00500e+01 -3.32676e-03 8.08753e-03
1.01000e+01 -1.81849e-03 8.11260e-03
1.01500e+01 -4.24403e-04 7.88237e-03
1.02000e+01 6.60807e-04 7.46869e-03
1.02500e+01 1.38596e-03 7.00078e-03
1.03000e+01 1.83230e-03 6.62617e-03
1.03500e+01 2.15372e-03 6.50703e-03
1.04000e+01 2.49557e-03 6.74390e-03
1.04500e+01 2.92559e-03 7.25320e-03
1.05000e+01 3.40331e-03 7.79460e-03
1.05500e+01 3.79740e-03 8.13462e-03
1.06000e+01 3.94077e-03 8.16846e-03
1.06500e+01 3.69938e-03 7.94217e-03
1.07000e+01 3.02680e-03 7.59477e-03
1.07500e+01 1.98440e-03 7.25707e-03
1.08000e+01 7.22091e-04 6.97969e-03
1.08500e+01 -5.69690e-04 6.75813e-03
1.09000e+01 -1.71573e-03 6.61125e-03
1.09500e+01 -2.59782e-03 6.58956e-03
1.10000e+01 -3.16900e-03 6.68647e-03
1.10500e+01 -3.44503e-03 6.80501e-03
1.11000e+01 -3.45933e-03 6.83131e-03
