# 		k		<chi>		std
0.00000e+00 1.58892e-01 3.36714e-01
5.00000e-02 1.55154e-01 3.32821e-01
1.00000e-01 1.48326e-01 3.28082e-01
1.50000e-01 1.28492e-01 3.12711e-01
2.00000e-01 1.07964e-01 2.96443e-01
2.50000e-01 7.59549e-02 2.66542e-01
3.00000e-01 4.43681e-02 2.35079e-01
3.50000e-01 5.17421e-03 1.89106e-01
4.00000e-01 -3.33009e-02 1.40919e-01
4.50000e-01 -7.62353e-02 8.24573e-02
5.00000e-01 -1.16371e-01 3.80119e-02
5.50000e-01 -1.59584e-01 6.63099e-02
6.00000e-01 -1.97571e-01 1.23358e-01
6.50000e-01 -2.35505e-01 1.81504e-01
7.00000e-01 -2.64470e-01 2.27239e-01
7.50000e-01 -2.87570e-01 2.60801e-01
8.00000e-01 -2.97761e-01 2.75759e-01
8.50000e-01 -2.96189e-01 2.71943e-01
9.00000e-01 -2.80617e-01 2.49536e-01
9.50000e-01 -2.51942e-01 2.09616e-01
1.00000e+00 -2.14064e-01 1.58801e-01
1.05000e+00 -1.69138e-01 1.00459e-01
1.10000e+00 -1.25392e-01 4.60152e-02
1.15000e+00 -8.62055e-02 2.44725e-02
1.20000e+00 -5.88945e-02 5.44464e-02
1.25000e+00 -4.54789e-02 7.64671e-02
1.30000e+00 -4.68720e-02 8.21530e-02
1.35000e+00 -6.10601e-02 7.34086e-02
1.40000e+00 -8.14462e-02 5.50171e-02
1.45000e+00 -1.02588e-01 3.43030e-02
1.50000e+00 -1.15763e-01 2.42271e-02
1.55000e+00 -1.16583e-01 2.76343e-02
1.60000e+00 -1.02010e-01 2.89150e-02
1.65000e+00 -7.28965e-02 2.25056e-02
1.70000e+00 -3.47796e-02 1.67847e-02
1.75000e+00 7.24491e-03 2.89422e-02
1.80000e+00 4.41116e-02 4.57684e-02
1.85000e+00 7.21892e-02 5.68061e-02
1.90000e+00 8.64526e-02 5.68835e-02
1.95000e+00 8.88642e-02 4.61096e-02
2.00000e+00 8.07889e-02 2.76156e-02
2.05000e+00 6.75704e-02 1.11759e-02
2.10000e+00 5.32244e-02 2.16430e-02
2.15000e+00 4.18550e-02 3.28353e-02
2.20000e+00 3.47484e-02 3.59224e-02
2.25000e+00 3.13217e-02 3.29188e-02
2.30000e+00 2.78423e-02 2.71799e-02
2.35000e+00 2.27739e-02 2.09832e-02
2.40000e+00 1.58369e-02 1.58700e-02
2.45000e+00 9.52167e-03 1.19148e-02
2.50000e+00 3.00020e-03 8.98081e-03
2.55000e+00 -2.89241e-03 7.06350e-03
2.60000e+00 -7.39093e-03 5.82528e-03
2.65000e+00 -1.11554e-02 5.03612e-03
2.70000e+00 -1.33340e-02 4.57243e-03
