# 		k		<chi>		std
0.00000e+00 3.60296e-02 3.13762e-01
5.00000e-02 3.76650e-02 3.10773e-01
1.00000e-01 3.10502e-02 3.05873e-01
1.50000e-01 1.14901e-02 2.90455e-01
2.00000e-01 -8.28199e-03 2.74136e-01
2.50000e-01 -3.95099e-02 2.44856e-01
3.00000e-01 -6.99022e-02 2.14706e-01
3.50000e-01 -1.07141e-01 1.70899e-01
4.00000e-01 -1.43192e-01 1.26135e-01
4.50000e-01 -1.81411e-01 7.34804e-02
5.00000e-01 -2.15595e-01 4.04793e-02
5.50000e-01 -2.48906e-01 7.10165e-02
6.00000e-01 -2.74796e-01 1.21435e-01
6.50000e-01 -2.95648e-01 1.71660e-01
7.00000e-01 -3.05400e-01 2.09719e-01
7.50000e-01 -3.05152e-01 2.34967e-01
8.00000e-01 -2.91751e-01 2.42737e-01
8.50000e-01 -2.65771e-01 2.32348e-01
9.00000e-01 -2.29169e-01 2.05754e-01
9.50000e-01 -1.83649e-01 1.63884e-01
1.00000e+00 -1.36001e-01 1.14237e-01
1.05000e+00 -8.95570e-02 6.06854e-02
1.10000e+00 -5.24232e-02 2.55189e-02
1.15000e+00 -2.79065e-02 5.22473e-02
1.20000e+00 -1.99623e-02 8.52829e-02
1.25000e+00 -2.87912e-02 1.08088e-01
1.30000e+00 -5.06485e-02 1.18104e-01
1.35000e+00 -8.11893e-02 1.17287e-01
1.40000e+00 -1.10969e-01 1.08229e-01
1.45000e+00 -1.33898e-01 9.39413e-02
1.50000e+00 -1.42050e-01 7.79126e-02
1.55000e+00 -1.32923e-01 6.16593e-02
1.60000e+00 -1.06938e-01 4.69752e-02
1.65000e+00 -6.75399e-02 3.36884e-02
1.70000e+00 -2.30638e-02 2.24945e-02
1.75000e+00 2.05846e-02 1.50241e-02
1.80000e+00 5.46871e-02 1.61410e-02
1.85000e+00 7.72731e-02 2.44292e-02
1.90000e+00 8.56327e-02 3.42226e-02
1.95000e+00 8.37393e-02 4.36011e-02
2.00000e+00 7.40315e-02 5.03689e-02
2.05000e+00 6.22894e-02 5.44833e-02
2.10000e+00 5.08294e-02 5.32691e-02
2.15000e+00 4.24093e-02 4.69875e-02
2.20000e+00 3.73826e-02 3.70981e-02
2.25000e+00 3.57985e-02 2.63899e-02
2.30000e+00 3.37613e-02 1.66277e-02
2.35000e+00 2.93554e-02 9.55299e-03
2.40000e+00 2.19968e-02 6.25382e-03
2.45000e+00 1.49915e-02 6.38424e-03
2.50000e+00 7.13061e-03 7.11686e-03
2.55000e+00 -6.80976e-04 6.99084e-03
2.60000e+00 -7.47754e-03 5.98261e-03
2.65000e+00 -1.37663e-02 5.03403e-03
2.70000e+00 -1.83973e-02 4.18058e-03
2.75000e+00 -2.08897e-02 3.77679e-03
2.80000e+00 -2.10796e-02 3.81086e-03
2.85000e+00 -2.00635e-02 4.42177e-03
2.90000e+00 -1.72352e-02 5.09249e-03
2.95000e+00 -1.31956e-02 5.57854e-03
3.00000e+00 -8.61080e-03 5.62889e-03
3.05000e+00 -4.31704e-03 5.19330e-03
3.10000e+00 -4.56659e-04 4.21015e-03
3.15000e+00 2.80609e-03 3.20857e-03
3.20000e+00 5.53764e-03 3.02038e-03
3.25000e+00 7.92837e-03 3.63168e-03
3.30000e+00 1.03151e-02 4.14787e-03
3.35000e+00 1.27560e-02 4.09019e-03
3.40000e+00 1.50877e-02 3.45828e-03
3.45000e+00 1.70435e-02 2.68726e-03
3.50000e+00 1.81075e-02 2.35297e-03
3.55000e+00 1.78630e-02 2.64448e-03
3.60000e+00 1.61184e-02 3.11408e-03
3.65000e+00 1.29654e-02 3.49318e-03
3.70000e+00 8.78962e-03 3.75424e-03
3.75000e+00 4.19425e-03 3.89738e-03
3.80000e+00 -2.06468e-04 3.88233e-03
3.85000e+00 -3.97265e-03 3.82219e-03
3.90000e+00 -6.90458e-03 4.09259e-03
3.95000e+00 -9.04001e-03 4.97248e-03
4.00000e+00 -1.06275e-02 6.15511e-03
4.05000e+00 -1.20305e-02 7.11968e-03
4.10000e+00 -1.34861e-02 7.36605e-03
4.15000e+00 -1.50177e-02 6.71301e-03
4.20000e+00 -1.64415e-02 5.29111e-03
4.25000e+00 -1.75518e-02 3.65791e-03
4.30000e+00 -1.78953e-02 2.74461e-03
4.35000e+00 -1.71522e-02 3.46332e-03
4.40000e+00 -1.51837e-02 4.73328e-03
4.45000e+00 -1.22036e-02 5.71299e-03
4.50000e+00 -8.35364e-03 6.29099e-03
4.55000e+00 -3.96917e-03 6.55291e-03
4.60000e+00 6.11195e-04 6.65234e-03
4.65000e+00 5.07681e-03 6.73700e-03
4.70000e+00 9.40536e-03 6.93244e-03
4.75000e+00 1.35466e-02 7.29541e-03
4.80000e+00 1.74692e-02 7.80265e-03
4.85000e+00 2.10956e-02 8.34877e-03
4.90000e+00 2.42460e-02 8.74283e-03
4.95000e+00 2.66236e-02 8.78167e-03
5.00000e+00 2.78795e-02 8.32467e-03
5.05000e+00 2.76346e-02 7.43901e-03
5.10000e+00 2.57307e-02 6.50464e-03
5.15000e+00 2.21345e-02 6.48853e-03
5.20000e+00 1.69977e-02 8.17216e-03
5.25000e+00 1.05765e-02 1.09953e-02
5.30000e+00 3.36993e-03 1.40650e-02
5.35000e+00 -4.17619e-03 1.66881e-02
5.40000e+00 -1.16382e-02 1.83844e-02
5.45000e+00 -1.85677e-02 1.88027e-02
5.50000e+00 -2.46049e-02 1.79566e-02
5.55000e+00 -2.94280e-02 1.59903e-02
5.60000e+00 -3.27346e-02 1.32371e-02
5.65000e+00 -3.41348e-02 1.01880e-02
5.70000e+00 -3.35879e-02 7.73342e-03
5.75000e+00 -3.10865e-02 6.89801e-03
5.80000e+00 -2.68015e-02 7.74662e-03
5.85000e+00 -2.10197e-02 9.16153e-03
5.90000e+00 -1.43295e-02 1.04813e-02
5.95000e+00 -7.26835e-03 1.17420e-02
6.00000e+00 -3.20718e-04 1.32925e-02
6.05000e+00 6.17385e-03 1.52566e-02
6.10000e+00 1.19702e-02 1.73318e-02
6.15000e+00 1.70079e-02 1.89458e-02
6.20000e+00 2.12820e-02 1.95974e-02
6.25000e+00 2.47546e-02 1.90602e-02
6.30000e+00 2.72900e-02 1.74537e-02
6.35000e+00 2.86435e-02 1.52229e-02
6.40000e+00 2.85136e-02 1.30491e-02
6.45000e+00 2.66427e-02 1.16366e-02
6.50000e+00 2.29343e-02 1.13148e-02
