# 		k		<chi>		std
0.00000e+00 6.12267e-02 3.71265e-01
5.00000e-02 5.55742e-02 3.74745e-01
1.00000e-01 4.47777e-02 3.72027e-01
1.50000e-01 1.14615e-02 3.63289e-01
2.00000e-01 -2.30178e-02 3.53950e-01
2.50000e-01 -8.20279e-02 3.37153e-01
3.00000e-01 -1.42461e-01 3.19330e-01
3.50000e-01 -2.25773e-01 2.93649e-01
4.00000e-01 -3.07339e-01 2.67393e-01
4.50000e-01 -4.02848e-01 2.34720e-01
5.00000e-01 -4.88439e-01 2.02874e-01
5.50000e-01 -5.71983e-01 1.67083e-01
6.00000e-01 -6.33913e-01 1.33894e-01
6.50000e-01 -6.75021e-01 1.00143e-01
7.00000e-01 -6.84439e-01 7.43043e-02
7.50000e-01 -6.59273e-01 6.44062e-02
8.00000e-01 -6.01172e-01 7.95074e-02
8.50000e-01 -5.07908e-01 1.10497e-01
9.00000e-01 -3.94261e-01 1.43926e-01
9.50000e-01 -2.61781e-01 1.75071e-01
1.00000e+00 -1.33133e-01 1.98219e-01
1.05000e+00 -1.25503e-02 2.10044e-01
1.10000e+00 7.94970e-02 2.08924e-01
1.15000e+00 1.40368e-01 1.93305e-01
1.20000e+00 1.62012e-01 1.65957e-01
1.25000e+00 1.47724e-01 1.29004e-01
1.30000e+00 1.05596e-01 8.78026e-02
1.35000e+00 4.48884e-02 4.79774e-02
1.40000e+00 -1.64638e-02 2.44239e-02
1.45000e+00 -6.87592e-02 4.06394e-02
1.50000e+00 -9.74430e-02 6.37627e-02
1.55000e+00 -9.97661e-02 8.17826e-02
1.60000e+00 -7.51212e-02 9.21269e-02
1.65000e+00 -3.02216e-02 9.61002e-02
1.70000e+00 2.26424e-02 9.14572e-02
1.75000e+00 7.36793e-02 7.99736e-02
1.80000e+00 1.09730e-01 6.04083e-02
1.85000e+00 1.27986e-01 3.57403e-02
1.90000e+00 1.25292e-01 1.39805e-02
1.95000e+00 1.08513e-01 2.91348e-02
2.00000e+00 8.31822e-02 5.17800e-02
2.05000e+00 5.91498e-02 6.91334e-02
2.10000e+00 4.00173e-02 7.29987e-02
2.15000e+00 2.86514e-02 6.37868e-02
2.20000e+00 2.36339e-02 4.60916e-02
2.25000e+00 1.56845e-02 2.56856e-02
2.30000e+00 1.00898e-02 7.92597e-03
2.35000e+00 6.33043e-03 7.58522e-03
2.40000e+00 3.45151e-03 1.26685e-02
2.45000e+00 3.00283e-03 1.42835e-02
2.50000e+00 2.47754e-03 1.26680e-02
2.55000e+00 1.56898e-03 9.12613e-03
2.60000e+00 2.76343e-04 5.42581e-03
2.65000e+00 -2.72420e-03 4.12357e-03
2.70000e+00 -5.75931e-03 5.48212e-03
2.75000e+00 -8.32505e-03 7.19703e-03
2.80000e+00 -1.00042e-02 8.15125e-03
2.85000e+00 -1.15126e-02 8.34722e-03
2.90000e+00 -1.11459e-02 8.06403e-03
2.95000e+00 -9.00130e-03 7.77585e-03
3.00000e+00 -5.52516e-03 7.88248e-03
