# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	2.105426e-02	2.715595e-01	0.000000e+00	1.017698e+00	-8.874848e-01
5.000000e-02	3.313603e-02	3.837437e-01	-1.001439e-01	1.013190e+00	-8.929146e-01
1.000000e-01	1.922190e-02	3.788812e-01	-1.146744e-01	1.008008e+00	-8.982545e-01
1.500000e-01	-2.319285e-02	3.639167e-01	-1.587102e-01	9.881637e-01	-9.136255e-01
2.000000e-01	-6.673988e-02	3.483954e-01	-2.030104e-01	9.625871e-01	-9.280734e-01
2.500000e-01	-1.402303e-01	3.217518e-01	-2.744920e-01	9.079987e-01	-9.495188e-01
3.000000e-01	-2.150746e-01	2.941737e-01	-3.418132e-01	8.397094e-01	-9.764816e-01
3.500000e-01	-3.176298e-01	2.555351e-01	-4.315419e-01	7.262024e-01	-1.010832e+00
4.000000e-01	-4.182215e-01	2.169752e-01	-5.080919e-01	5.929521e-01	-1.038358e+00
4.500000e-01	-5.366404e-01	1.712261e-01	-5.934421e-01	4.056423e-01	-1.064077e+00
5.000000e-01	-6.440610e-01	1.322274e-01	-6.744089e-01	2.017429e-01	-1.076196e+00
5.500000e-01	-7.506948e-01	1.051293e-01	-7.620176e-01	0.000000e+00	-1.070561e+00
6.000000e-01	-8.321893e-01	1.093090e-01	-8.273454e-01	0.000000e+00	-1.106718e+00
6.500000e-01	-8.889977e-01	1.409667e-01	-8.537157e-01	0.000000e+00	-1.171749e+00
7.000000e-01	-9.065678e-01	1.801603e-01	-8.629554e-01	0.000000e+00	-1.224732e+00
7.500000e-01	-8.794024e-01	2.191389e-01	-7.825805e-01	0.000000e+00	-1.233142e+00
8.000000e-01	-8.082328e-01	2.486044e-01	-6.758982e-01	0.000000e+00	-1.209726e+00
8.500000e-01	-6.882543e-01	2.672335e-01	-5.387060e-01	0.000000e+00	-1.137512e+00
9.000000e-01	-5.376072e-01	2.721018e-01	-3.831493e-01	0.000000e+00	-1.090570e+00
9.500000e-01	-3.579561e-01	2.627699e-01	-2.224305e-01	1.860589e-02	-9.699113e-01
1.000000e+00	-1.793522e-01	2.416855e-01	-7.921699e-02	1.710331e-01	-7.921772e-01
1.050000e+00	-9.623033e-03	2.099389e-01	2.288237e-02	3.112838e-01	-5.738728e-01
1.100000e+00	1.225797e-01	1.738139e-01	1.389819e-01	3.963603e-01	-3.558114e-01
1.150000e+00	2.103866e-01	1.359354e-01	2.141326e-01	4.231368e-01	-1.573809e-01
1.200000e+00	2.416419e-01	1.027219e-01	2.398557e-01	4.101888e-01	-2.648384e-02
1.250000e+00	2.191802e-01	7.652176e-02	2.278955e-01	3.553812e-01	0.000000e+00
1.300000e+00	1.539237e-01	5.931034e-02	1.671580e-01	2.857825e-01	0.000000e+00
1.350000e+00	6.011102e-02	4.958582e-02	6.393261e-02	2.223287e-01	-6.538359e-02
1.400000e+00	-3.670637e-02	4.327339e-02	-3.723289e-02	1.458700e-01	-1.351156e-01
1.450000e+00	-1.198923e-01	3.691354e-02	-1.234618e-01	6.541199e-02	-1.968643e-01
1.500000e+00	-1.683653e-01	2.881761e-02	-1.721330e-01	0.000000e+00	-2.375781e-01
1.550000e+00	-1.761990e-01	2.536123e-02	-1.787555e-01	0.000000e+00	-2.342907e-01
1.600000e+00	-1.421927e-01	3.848184e-02	-1.514502e-01	0.000000e+00	-2.212307e-01
1.650000e+00	-7.601705e-02	6.280103e-02	-8.063486e-02	5.957498e-02	-1.818096e-01
1.700000e+00	5.113969e-03	8.593998e-02	0.000000e+00	1.381429e-01	-1.264739e-01
1.750000e+00	8.554779e-02	1.024277e-01	4.744632e-02	2.275433e-01	-6.697086e-02
1.800000e+00	1.464074e-01	1.050142e-01	9.562553e-02	2.911358e-01	-4.231887e-03
1.850000e+00	1.814823e-01	9.299059e-02	1.372777e-01	3.193816e-01	0.000000e+00
1.900000e+00	1.855583e-01	6.713537e-02	1.645210e-01	3.115648e-01	0.000000e+00
1.950000e+00	1.670953e-01	3.329912e-02	1.598909e-01	2.592945e-01	0.000000e+00
2.000000e+00	1.334631e-01	1.339347e-02	1.345869e-01	1.876973e-01	0.000000e+00
2.050000e+00	9.809412e-02	3.897857e-02	1.036130e-01	1.762440e-01	0.000000e+00
2.100000e+00	6.768922e-02	5.514403e-02	8.111917e-02	1.515510e-01	-6.010792e-03
2.150000e+00	4.719173e-02	5.511942e-02	6.112360e-02	1.273474e-01	-2.911061e-02
2.200000e+00	3.603960e-02	4.247492e-02	4.922186e-02	9.940942e-02	-2.748026e-02
2.250000e+00	2.555884e-02	2.304405e-02	3.253695e-02	6.381014e-02	-1.689475e-02
2.300000e+00	1.575646e-02	7.904763e-03	1.715219e-02	3.265493e-02	-1.224403e-02
2.350000e+00	5.644187e-03	6.387026e-03	4.620876e-03	2.740987e-02	-1.586793e-02
2.400000e+00	-4.494573e-03	6.430614e-03	-5.568259e-03	1.497976e-02	-2.882595e-02
2.450000e+00	-1.048338e-02	4.970888e-03	-1.108548e-02	5.481050e-03	-3.613237e-02
2.500000e+00	-1.466998e-02	4.404182e-03	-1.418280e-02	0.000000e+00	-4.191500e-02
2.550000e+00	-1.676410e-02	6.967913e-03	-1.456621e-02	0.000000e+00	-4.512200e-02
2.600000e+00	-1.666153e-02	9.607523e-03	-1.430839e-02	0.000000e+00	-4.447792e-02
2.650000e+00	-1.666434e-02	1.076035e-02	-1.764407e-02	1.789501e-03	-4.372602e-02
2.700000e+00	-1.537322e-02	1.064390e-02	-1.918233e-02	3.317101e-03	-4.051232e-02
2.750000e+00	-1.315305e-02	9.439839e-03	-1.779667e-02	3.891861e-03	-3.558754e-02
2.800000e+00	-1.043856e-02	7.691618e-03	-1.350646e-02	3.992084e-03	-2.959130e-02
2.850000e+00	-8.604088e-03	6.181069e-03	-1.025984e-02	4.640300e-03	-2.560214e-02
2.900000e+00	-6.173517e-03	5.165742e-03	-7.273140e-03	5.697410e-03	-2.036263e-02
