# 		k		<chi>		std
0.00000e+00 -3.79194e-01 6.77814e-02
5.00000e-02 -3.74018e-01 6.64198e-02
1.00000e-01 -3.71356e-01 6.67296e-02
1.50000e-01 -3.64083e-01 6.75119e-02
2.00000e-01 -3.57929e-01 6.81165e-02
2.50000e-01 -3.50238e-01 6.86319e-02
3.00000e-01 -3.45764e-01 6.86458e-02
3.50000e-01 -3.44755e-01 6.78132e-02
4.00000e-01 -3.49444e-01 6.62167e-02
4.50000e-01 -3.62209e-01 6.33759e-02
5.00000e-01 -3.81332e-01 6.00611e-02
5.50000e-01 -4.08733e-01 5.62008e-02
6.00000e-01 -4.38523e-01 5.29521e-02
6.50000e-01 -4.69471e-01 5.04858e-02
7.00000e-01 -4.93110e-01 4.91485e-02
7.50000e-01 -5.04109e-01 4.82663e-02
8.00000e-01 -4.96038e-01 4.71996e-02
8.50000e-01 -4.62280e-01 4.51869e-02
9.00000e-01 -4.04092e-01 4.24476e-02
9.50000e-01 -3.19199e-01 3.94165e-02
1.00000e+00 -2.19117e-01 3.72122e-02
1.05000e+00 -1.08773e-01 3.59015e-02
1.10000e+00 -6.33018e-03 3.48509e-02
1.15000e+00 7.91168e-02 3.24937e-02
1.20000e+00 1.32806e-01 2.82325e-02
1.25000e+00 1.49746e-01 2.22439e-02
1.30000e+00 1.28567e-01 1.73678e-02
1.35000e+00 7.48218e-02 1.79276e-02
1.40000e+00 2.57787e-03 2.32149e-02
1.45000e+00 -7.40250e-02 2.87470e-02
1.50000e+00 -1.34695e-01 3.17536e-02
1.55000e+00 -1.66846e-01 3.15781e-02
1.60000e+00 -1.58893e-01 2.86217e-02
1.65000e+00 -1.10408e-01 2.42663e-02
1.70000e+00 -2.78793e-02 2.01490e-02
1.75000e+00 7.58867e-02 1.75433e-02
1.80000e+00 1.80702e-01 1.59632e-02
1.85000e+00 2.71176e-01 1.42882e-02
1.90000e+00 3.28390e-01 1.16941e-02
1.95000e+00 3.48127e-01 9.03025e-03
2.00000e+00 3.25294e-01 8.26916e-03
2.05000e+00 2.71449e-01 1.02313e-02
2.10000e+00 1.93591e-01 1.22776e-02
2.15000e+00 1.08384e-01 1.25621e-02
2.20000e+00 3.15520e-02 1.06792e-02
2.25000e+00 -2.68653e-02 7.20130e-03
2.30000e+00 -6.04527e-02 4.11704e-03
2.35000e+00 -6.98185e-02 4.72121e-03
2.40000e+00 -6.20779e-02 6.49587e-03
2.45000e+00 -5.14420e-02 7.60336e-03
2.50000e+00 -3.70397e-02 7.71577e-03
2.55000e+00 -2.31634e-02 6.93426e-03
2.60000e+00 -1.27351e-02 5.61521e-03
2.65000e+00 -8.51064e-03 4.35067e-03
2.70000e+00 -8.22644e-03 3.44775e-03
2.75000e+00 -1.09783e-02 3.30856e-03
2.80000e+00 -1.51954e-02 3.63084e-03
2.85000e+00 -2.04619e-02 3.96154e-03
2.90000e+00 -2.31439e-02 3.91145e-03
2.95000e+00 -2.22335e-02 3.45723e-03
3.00000e+00 -1.76913e-02 2.75989e-03
3.05000e+00 -9.52725e-03 2.08565e-03
3.10000e+00 1.00645e-04 1.78244e-03
3.15000e+00 8.92410e-03 2.00410e-03
3.20000e+00 1.48402e-02 2.46643e-03
3.25000e+00 1.72292e-02 2.99118e-03
3.30000e+00 1.45899e-02 3.45998e-03
3.35000e+00 7.52269e-03 3.79112e-03
3.40000e+00 -2.32973e-03 3.89941e-03
3.45000e+00 -1.22596e-02 3.73337e-03
3.50000e+00 -2.04416e-02 3.24474e-03
3.55000e+00 -2.51802e-02 2.54920e-03
3.60000e+00 -2.57696e-02 1.89199e-03
3.65000e+00 -2.12521e-02 1.63730e-03
3.70000e+00 -1.47029e-02 1.85695e-03
3.75000e+00 -8.05771e-03 2.20684e-03
3.80000e+00 -3.01948e-03 2.50713e-03
3.85000e+00 -2.81155e-04 2.71116e-03
3.90000e+00 -1.01974e-03 2.83999e-03
3.95000e+00 -4.15072e-03 2.91902e-03
4.00000e+00 -7.85199e-03 2.93100e-03
4.05000e+00 -1.13173e-02 2.86063e-03
4.10000e+00 -1.21391e-02 2.72104e-03
4.15000e+00 -9.21882e-03 2.51180e-03
4.20000e+00 -2.56271e-03 2.20998e-03
4.25000e+00 6.06311e-03 1.79686e-03
4.30000e+00 1.60499e-02 1.38673e-03
4.35000e+00 2.56428e-02 1.31380e-03
4.40000e+00 3.33059e-02 1.75941e-03
4.45000e+00 3.78828e-02 2.41828e-03
4.50000e+00 3.95333e-02 3.03054e-03
4.55000e+00 3.85948e-02 3.53498e-03
4.60000e+00 3.57614e-02 3.96325e-03
4.65000e+00 3.17643e-02 4.35169e-03
4.70000e+00 2.70769e-02 4.67845e-03
4.75000e+00 2.16919e-02 4.85458e-03
4.80000e+00 1.52684e-02 4.78805e-03
4.85000e+00 7.57383e-03 4.47353e-03
4.90000e+00 -1.75806e-03 3.99882e-03
4.95000e+00 -1.24704e-02 3.58617e-03
5.00000e+00 -2.37023e-02 3.51737e-03
5.05000e+00 -3.38857e-02 3.88509e-03
5.10000e+00 -4.17453e-02 4.51033e-03
5.15000e+00 -4.60679e-02 5.13539e-03
5.20000e+00 -4.63311e-02 5.57320e-03
5.25000e+00 -4.28608e-02 5.71539e-03
5.30000e+00 -3.71628e-02 5.57469e-03
5.35000e+00 -3.11770e-02 5.26067e-03
5.40000e+00 -2.68201e-02 4.97724e-03
5.45000e+00 -2.51535e-02 4.90125e-03
5.50000e+00 -2.62902e-02 5.06826e-03
