# 		k		<chi>		std
0.00000e+00 -6.94386e-01 1.25212e-01
5.00000e-02 -6.86354e-01 1.23220e-01
1.00000e-01 -6.82209e-01 1.21447e-01
1.50000e-01 -6.69049e-01 1.16039e-01
2.00000e-01 -6.55064e-01 1.10407e-01
2.50000e-01 -6.30001e-01 1.00782e-01
3.00000e-01 -6.03592e-01 9.11110e-02
3.50000e-01 -5.65334e-01 7.80665e-02
4.00000e-01 -5.26433e-01 6.65113e-02
4.50000e-01 -4.78210e-01 5.59204e-02
5.00000e-01 -4.32101e-01 5.18615e-02
5.50000e-01 -3.82172e-01 5.49680e-02
6.00000e-01 -3.38293e-01 6.21517e-02
6.50000e-01 -2.96500e-01 6.96911e-02
7.00000e-01 -2.63455e-01 7.34469e-02
7.50000e-01 -2.35429e-01 7.21935e-02
8.00000e-01 -2.15318e-01 6.55371e-02
8.50000e-01 -1.98646e-01 5.44213e-02
9.00000e-01 -1.85944e-01 4.17287e-02
9.50000e-01 -1.73049e-01 3.10674e-02
1.00000e+00 -1.60630e-01 2.73279e-02
1.05000e+00 -1.46964e-01 2.98293e-02
1.10000e+00 -1.34126e-01 3.31007e-02
1.15000e+00 -1.23574e-01 3.43725e-02
1.20000e+00 -1.17274e-01 3.27973e-02
1.25000e+00 -1.17671e-01 3.02105e-02
1.30000e+00 -1.23618e-01 2.72372e-02
1.35000e+00 -1.35203e-01 2.50195e-02
1.40000e+00 -1.46818e-01 2.27512e-02
1.45000e+00 -1.55272e-01 2.02093e-02
1.50000e+00 -1.53633e-01 1.83113e-02
1.55000e+00 -1.37960e-01 1.87981e-02
1.60000e+00 -1.05545e-01 2.16485e-02
1.65000e+00 -5.63022e-02 2.46053e-02
1.70000e+00 4.65392e-03 2.54649e-02
1.75000e+00 7.21852e-02 2.34059e-02
1.80000e+00 1.35522e-01 1.87866e-02
1.85000e+00 1.88485e-01 1.34617e-02
1.90000e+00 2.21396e-01 1.05975e-02
1.95000e+00 2.33605e-01 1.18385e-02
2.00000e+00 2.21862e-01 1.37581e-02
2.05000e+00 1.93878e-01 1.41239e-02
2.10000e+00 1.51141e-01 1.23291e-02
2.15000e+00 1.02393e-01 9.40939e-03
2.20000e+00 5.59713e-02 6.89901e-03
2.25000e+00 1.88662e-02 6.08712e-03
2.30000e+00 -8.17798e-03 5.73934e-03
2.35000e+00 -2.37968e-02 5.13211e-03
2.40000e+00 -2.91369e-02 4.24801e-03
2.45000e+00 -3.04981e-02 3.82371e-03
2.50000e+00 -2.75315e-02 3.68741e-03
2.55000e+00 -2.16858e-02 3.77847e-03
2.60000e+00 -1.43753e-02 3.82589e-03
2.65000e+00 -8.83116e-03 3.82542e-03
2.70000e+00 -3.61051e-03 3.58864e-03
2.75000e+00 7.70581e-04 3.24259e-03
2.80000e+00 4.02373e-03 3.00443e-03
2.85000e+00 5.04349e-03 3.04011e-03
2.90000e+00 4.86241e-03 3.27700e-03
2.95000e+00 3.64489e-03 3.45809e-03
3.00000e+00 1.67738e-03 3.39964e-03
3.05000e+00 -1.20866e-03 3.03646e-03
3.10000e+00 -3.97898e-03 2.51185e-03
3.15000e+00 -6.15242e-03 2.13575e-03
3.20000e+00 -7.33245e-03 2.19809e-03
3.25000e+00 -7.29655e-03 2.63328e-03
3.30000e+00 -5.58429e-03 3.00375e-03
3.35000e+00 -2.42945e-03 3.09263e-03
3.40000e+00 1.65395e-03 2.92795e-03
3.45000e+00 6.33729e-03 2.78566e-03
3.50000e+00 1.06116e-02 2.93596e-03
3.55000e+00 1.35985e-02 3.44731e-03
3.60000e+00 1.46193e-02 4.06901e-03
3.65000e+00 1.37992e-02 4.50775e-03
3.70000e+00 1.05073e-02 4.61404e-03
3.75000e+00 5.03579e-03 4.34367e-03
3.80000e+00 -1.83024e-03 3.73852e-03
3.85000e+00 -9.00878e-03 2.89532e-03
3.90000e+00 -1.58443e-02 2.00826e-03
3.95000e+00 -2.13138e-02 1.41353e-03
4.00000e+00 -2.46254e-02 1.51444e-03
4.05000e+00 -2.56782e-02 2.04271e-03
4.10000e+00 -2.43730e-02 2.56545e-03
4.15000e+00 -2.10870e-02 2.96664e-03
4.20000e+00 -1.65221e-02 3.23955e-03
4.25000e+00 -1.18417e-02 3.38935e-03
4.30000e+00 -7.40648e-03 3.46740e-03
4.35000e+00 -3.72098e-03 3.51953e-03
4.40000e+00 -9.75863e-04 3.59571e-03
4.45000e+00 9.06500e-04 3.70121e-03
4.50000e+00 2.48628e-03 3.86786e-03
4.55000e+00 4.29889e-03 4.06377e-03
4.60000e+00 6.84675e-03 4.23040e-03
4.65000e+00 1.03652e-02 4.26822e-03
4.70000e+00 1.49938e-02 4.10192e-03
4.75000e+00 2.05316e-02 3.66814e-03
4.80000e+00 2.65682e-02 3.04893e-03
4.85000e+00 3.23831e-02 2.71173e-03
4.90000e+00 3.74647e-02 3.29244e-03
4.95000e+00 4.11416e-02 4.63146e-03
5.00000e+00 4.27472e-02 6.14467e-03
5.05000e+00 4.16076e-02 7.43217e-03
5.10000e+00 3.73889e-02 8.33257e-03
5.15000e+00 2.98572e-02 8.79806e-03
5.20000e+00 1.91220e-02 8.86370e-03
5.25000e+00 5.75724e-03 8.56705e-03
5.30000e+00 -9.13958e-03 8.00949e-03
5.35000e+00 -2.41600e-02 7.25630e-03
5.40000e+00 -3.77135e-02 6.39216e-03
5.45000e+00 -4.81855e-02 5.52922e-03
5.50000e+00 -5.46036e-02 4.89658e-03
5.55000e+00 -5.65940e-02 4.76984e-03
5.60000e+00 -5.45227e-02 5.31868e-03
5.65000e+00 -4.92116e-02 6.39025e-03
5.70000e+00 -4.22036e-02 7.66868e-03
5.75000e+00 -3.48246e-02 8.82975e-03
5.80000e+00 -2.80145e-02 9.64000e-03
5.85000e+00 -2.20210e-02 9.97200e-03
5.90000e+00 -1.67014e-02 9.86684e-03
5.95000e+00 -1.13780e-02 9.44308e-03
6.00000e+00 -5.28702e-03 8.83987e-03
6.05000e+00 2.24411e-03 8.11389e-03
6.10000e+00 1.10811e-02 7.35061e-03
6.15000e+00 2.07266e-02 6.62424e-03
6.20000e+00 3.03248e-02 6.08624e-03
6.25000e+00 3.89242e-02 5.93819e-03
6.30000e+00 4.57397e-02 6.28930e-03
6.35000e+00 5.03155e-02 7.04570e-03
6.40000e+00 5.25377e-02 7.97668e-03
6.45000e+00 5.25125e-02 8.82649e-03
6.50000e+00 5.03811e-02 9.37637e-03
6.55000e+00 4.59720e-02 9.48091e-03
6.60000e+00 3.93345e-02 9.18116e-03
6.65000e+00 3.03151e-02 8.68435e-03
6.70000e+00 1.89386e-02 8.28875e-03
6.75000e+00 5.62598e-03 8.16836e-03
6.80000e+00 -8.70570e-03 8.21709e-03
6.85000e+00 -2.27319e-02 8.17746e-03
6.90000e+00 -3.49949e-02 7.88140e-03
6.95000e+00 -4.42776e-02 7.33854e-03
7.00000e+00 -4.99398e-02 6.66412e-03
7.05000e+00 -5.20459e-02 5.97078e-03
7.10000e+00 -5.13136e-02 5.50404e-03
7.15000e+00 -4.88574e-02 5.73656e-03
7.20000e+00 -4.56785e-02 7.03235e-03
7.25000e+00 -4.22562e-02 9.03525e-03
7.30000e+00 -3.83534e-02 1.09928e-02
7.35000e+00 -3.31288e-02 1.22245e-02
7.40000e+00 -2.55289e-02 1.23215e-02
7.45000e+00 -1.48224e-02 1.12931e-02
7.50000e+00 -1.07269e-03 9.70336e-03
7.55000e+00 1.47697e-02 8.63194e-03
7.60000e+00 3.05176e-02 8.97788e-03
7.65000e+00 4.38335e-02 1.00971e-02
7.70000e+00 5.27076e-02 1.08046e-02
7.75000e+00 5.60665e-02 1.05241e-02
7.80000e+00 5.40924e-02 9.37204e-03
7.85000e+00 4.81311e-02 7.97615e-03
7.90000e+00 4.02127e-02 7.12684e-03
7.95000e+00 3.23529e-02 7.10581e-03
8.00000e+00 2.58835e-02 7.48181e-03
8.05000e+00 2.10503e-02 7.81679e-03
8.10000e+00 1.70709e-02 8.10210e-03
8.15000e+00 1.25008e-02 8.41668e-03
8.20000e+00 5.95079e-03 8.70549e-03
8.25000e+00 -3.26965e-03 8.83495e-03
8.30000e+00 -1.47735e-02 8.76580e-03
8.35000e+00 -2.71232e-02 8.56849e-03
8.40000e+00 -3.82523e-02 8.27205e-03
8.45000e+00 -4.61258e-02 7.76845e-03
8.50000e+00 -4.93981e-02 6.94698e-03
8.55000e+00 -4.77807e-02 5.95924e-03
8.60000e+00 -4.22266e-02 5.43027e-03
8.65000e+00 -3.44485e-02 5.95324e-03
8.70000e+00 -2.63105e-02 7.18872e-03
8.75000e+00 -1.91931e-02 8.40771e-03
8.80000e+00 -1.35742e-02 9.22718e-03
8.85000e+00 -8.97528e-03 9.61762e-03
8.90000e+00 -4.28053e-03 9.70978e-03
8.95000e+00 1.69823e-03 9.59509e-03
9.00000e+00 9.63166e-03 9.24219e-03
9.05000e+00 1.93527e-02 8.59037e-03
9.10000e+00 2.96109e-02 7.73647e-03
9.15000e+00 3.85724e-02 7.04258e-03
9.20000e+00 4.43422e-02 6.94643e-03
9.25000e+00 4.55762e-02 7.47268e-03
9.30000e+00 4.19176e-02 8.16669e-03
9.35000e+00 3.41128e-02 8.58467e-03
