# 		k		<chi>		std
0.00000e+00 -3.12903e-01 4.45103e-02
5.00000e-02 -3.11393e-01 4.39767e-02
1.00000e-01 -3.11944e-01 4.34468e-02
1.50000e-01 -3.13278e-01 4.23956e-02
2.00000e-01 -3.14583e-01 4.22116e-02
2.50000e-01 -3.15526e-01 4.37009e-02
3.00000e-01 -3.16001e-01 4.72241e-02
3.50000e-01 -3.14047e-01 5.40146e-02
4.00000e-01 -3.10602e-01 6.21176e-02
4.50000e-01 -3.02735e-01 7.20936e-02
5.00000e-01 -2.92153e-01 8.12774e-02
5.50000e-01 -2.76133e-01 8.97028e-02
6.00000e-01 -2.56238e-01 9.53165e-02
6.50000e-01 -2.30570e-01 9.77198e-02
7.00000e-01 -2.00189e-01 9.59532e-02
7.50000e-01 -1.64344e-01 8.95989e-02
8.00000e-01 -1.24696e-01 7.91884e-02
8.50000e-01 -8.24947e-02 6.51089e-02
9.00000e-01 -4.14549e-02 5.04672e-02
9.50000e-01 -5.53795e-03 3.93910e-02
1.00000e+00 1.97479e-02 3.90966e-02
1.05000e+00 2.88914e-02 4.82624e-02
1.10000e+00 1.81795e-02 5.86585e-02
1.15000e+00 -1.56808e-02 6.57579e-02
1.20000e+00 -6.94532e-02 6.65189e-02
1.25000e+00 -1.40366e-01 6.10664e-02
1.30000e+00 -2.16564e-01 5.04477e-02
1.35000e+00 -2.89493e-01 3.79806e-02
1.40000e+00 -3.44376e-01 2.95661e-02
1.45000e+00 -3.73174e-01 3.02109e-02
1.50000e+00 -3.68410e-01 3.54947e-02
1.55000e+00 -3.30222e-01 3.92100e-02
1.60000e+00 -2.64367e-01 3.83409e-02
1.65000e+00 -1.80250e-01 3.35414e-02
1.70000e+00 -9.19846e-02 2.65530e-02
1.75000e+00 -1.05695e-02 2.02297e-02
1.80000e+00 5.31970e-02 1.67338e-02
1.85000e+00 9.62379e-02 1.57925e-02
1.90000e+00 1.17348e-01 1.51170e-02
1.95000e+00 1.22641e-01 1.40821e-02
2.00000e+00 1.16241e-01 1.28415e-02
