# 		k		<chi>		std
0.00000e+00 -3.03967e-01 4.08681e-02
5.00000e-02 -3.03695e-01 4.02900e-02
1.00000e-01 -3.03086e-01 4.03621e-02
1.50000e-01 -3.00811e-01 4.05306e-02
2.00000e-01 -2.97882e-01 4.06467e-02
2.50000e-01 -2.91540e-01 4.06531e-02
3.00000e-01 -2.83452e-01 4.04654e-02
3.50000e-01 -2.69784e-01 3.98170e-02
4.00000e-01 -2.53465e-01 3.88130e-02
4.50000e-01 -2.30813e-01 3.71488e-02
5.00000e-01 -2.05932e-01 3.52735e-02
5.50000e-01 -1.76582e-01 3.32093e-02
6.00000e-01 -1.47113e-01 3.16823e-02
6.50000e-01 -1.16857e-01 3.09586e-02
7.00000e-01 -8.94344e-02 3.12595e-02
7.50000e-01 -6.49679e-02 3.21822e-02
8.00000e-01 -4.58758e-02 3.31877e-02
8.50000e-01 -3.21838e-02 3.35811e-02
9.00000e-01 -2.52987e-02 3.31634e-02
9.50000e-01 -2.49671e-02 3.16819e-02
1.00000e+00 -3.17962e-02 2.94560e-02
1.05000e+00 -4.53419e-02 2.65927e-02
1.10000e+00 -6.50856e-02 2.35684e-02
1.15000e+00 -9.04451e-02 2.07253e-02
1.20000e+00 -1.18650e-01 1.87394e-02
1.25000e+00 -1.48331e-01 1.82510e-02
1.30000e+00 -1.74239e-01 1.93104e-02
1.35000e+00 -1.94035e-01 2.13272e-02
1.40000e+00 -2.02314e-01 2.32141e-02
1.45000e+00 -1.97223e-01 2.44015e-02
1.50000e+00 -1.77280e-01 2.44906e-02
1.55000e+00 -1.43326e-01 2.36168e-02
1.60000e+00 -9.98175e-02 2.19016e-02
1.65000e+00 -5.03370e-02 1.96218e-02
1.70000e+00 -2.49029e-03 1.69088e-02
1.75000e+00 4.04558e-02 1.41660e-02
1.80000e+00 7.30374e-02 1.19902e-02
1.85000e+00 9.57124e-02 1.12005e-02
1.90000e+00 1.07251e-01 1.15806e-02
1.95000e+00 1.11414e-01 1.22555e-02
2.00000e+00 1.08809e-01 1.21659e-02
2.05000e+00 1.03550e-01 1.14021e-02
2.10000e+00 9.45337e-02 9.86949e-03
2.15000e+00 8.32691e-02 8.18031e-03
2.20000e+00 7.04605e-02 6.87566e-03
2.25000e+00 5.76240e-02 6.09488e-03
2.30000e+00 4.37415e-02 5.50111e-03
2.35000e+00 2.91932e-02 5.01472e-03
2.40000e+00 1.52172e-02 4.62395e-03
2.45000e+00 4.59833e-03 4.35836e-03
2.50000e+00 -3.75399e-03 3.97102e-03
2.55000e+00 -9.27992e-03 3.40996e-03
2.60000e+00 -1.18153e-02 2.75675e-03
2.65000e+00 -1.32389e-02 2.42400e-03
2.70000e+00 -1.26882e-02 2.65202e-03
2.75000e+00 -1.07072e-02 3.30853e-03
2.80000e+00 -7.93897e-03 3.94837e-03
2.85000e+00 -5.64295e-03 4.39889e-03
2.90000e+00 -3.37132e-03 4.32042e-03
2.95000e+00 -1.60650e-03 3.69116e-03
3.00000e+00 -6.45493e-04 2.71274e-03
3.05000e+00 -9.41160e-04 2.02382e-03
3.10000e+00 -1.90315e-03 2.58742e-03
3.15000e+00 -3.23274e-03 3.77146e-03
3.20000e+00 -4.53367e-03 4.70176e-03
3.25000e+00 -5.46498e-03 5.03349e-03
3.30000e+00 -5.19991e-03 4.63733e-03
3.35000e+00 -3.71866e-03 3.61509e-03
