# 		k		<chi>		std
0.00000e+00 3.08114e-01 9.29627e-02
5.00000e-02 2.94309e-01 9.27284e-02
1.00000e-01 2.80910e-01 9.24416e-02
1.50000e-01 2.40213e-01 9.14586e-02
2.00000e-01 1.98989e-01 9.03144e-02
2.50000e-01 1.29309e-01 8.81039e-02
3.00000e-01 5.92359e-02 8.55779e-02
3.50000e-01 -3.81915e-02 8.17546e-02
4.00000e-01 -1.33323e-01 7.76637e-02
4.50000e-01 -2.48902e-01 7.24239e-02
5.00000e-01 -3.55191e-01 6.71876e-02
5.50000e-01 -4.67748e-01 6.11934e-02
6.00000e-01 -5.60363e-01 5.56004e-02
6.50000e-01 -6.40858e-01 5.01007e-02
7.00000e-01 -6.91199e-01 4.60458e-02
7.50000e-01 -7.13227e-01 4.40202e-02
8.00000e-01 -7.01023e-01 4.42688e-02
8.50000e-01 -6.53321e-01 4.62181e-02
9.00000e-01 -5.77739e-01 4.77128e-02
9.50000e-01 -4.72947e-01 4.75346e-02
1.00000e+00 -3.57517e-01 4.46934e-02
1.05000e+00 -2.31877e-01 3.96418e-02
1.10000e+00 -1.18763e-01 3.42588e-02
1.15000e+00 -2.04545e-02 3.11967e-02
1.20000e+00 4.64934e-02 3.17237e-02
1.25000e+00 8.10040e-02 3.40872e-02
1.30000e+00 8.20206e-02 3.47705e-02
1.35000e+00 5.37852e-02 3.25124e-02
1.40000e+00 1.16681e-02 2.74431e-02
1.45000e+00 -3.48387e-02 2.22274e-02
1.50000e+00 -6.59097e-02 2.06892e-02
1.55000e+00 -7.41605e-02 2.34792e-02
1.60000e+00 -5.30101e-02 2.62348e-02
1.65000e+00 -5.46257e-03 2.62608e-02
1.70000e+00 5.50946e-02 2.26082e-02
1.75000e+00 1.17428e-01 1.66837e-02
1.80000e+00 1.61396e-01 1.19902e-02
1.85000e+00 1.81002e-01 1.28470e-02
1.90000e+00 1.69035e-01 1.62628e-02
1.95000e+00 1.33302e-01 1.82397e-02
2.00000e+00 8.35351e-02 1.72477e-02
2.05000e+00 3.27483e-02 1.40138e-02
2.10000e+00 -3.86327e-03 9.99737e-03
2.15000e+00 -1.94316e-02 6.89427e-03
2.20000e+00 -1.69295e-02 5.38008e-03
2.25000e+00 -1.05681e-02 5.19546e-03
2.30000e+00 -1.73744e-03 5.44068e-03
2.35000e+00 4.65738e-03 5.36286e-03
2.40000e+00 5.83301e-03 4.77553e-03
2.45000e+00 6.34669e-03 4.39970e-03
2.50000e+00 4.09685e-03 3.92906e-03
2.55000e+00 -4.61779e-05 3.41644e-03
2.60000e+00 -4.77091e-03 2.89978e-03
2.65000e+00 -1.03268e-02 2.51764e-03
2.70000e+00 -1.52915e-02 2.18491e-03
2.75000e+00 -1.87973e-02 1.97015e-03
2.80000e+00 -2.04249e-02 1.88951e-03
2.85000e+00 -2.11956e-02 1.89847e-03
2.90000e+00 -1.96886e-02 1.90462e-03
2.95000e+00 -1.64064e-02 1.88703e-03
3.00000e+00 -1.20794e-02 1.92616e-03
3.05000e+00 -6.77394e-03 2.16091e-03
3.10000e+00 -2.00369e-03 2.52774e-03
3.15000e+00 1.65286e-03 2.87232e-03
3.20000e+00 4.05334e-03 3.04301e-03
3.25000e+00 5.25460e-03 2.91487e-03
3.30000e+00 5.75271e-03 2.60142e-03
3.35000e+00 6.22851e-03 2.34739e-03
3.40000e+00 7.15402e-03 2.41774e-03
3.45000e+00 8.55736e-03 2.77598e-03
3.50000e+00 1.03132e-02 3.08266e-03
3.55000e+00 1.18376e-02 3.10114e-03
3.60000e+00 1.24826e-02 2.81438e-03
3.65000e+00 1.17125e-02 2.41035e-03
3.70000e+00 9.36557e-03 2.37448e-03
3.75000e+00 5.75790e-03 2.88881e-03
3.80000e+00 1.51350e-03 3.55274e-03
3.85000e+00 -2.84296e-03 4.01539e-03
3.90000e+00 -6.55457e-03 4.01528e-03
3.95000e+00 -9.23973e-03 3.53305e-03
