# 		k		<chi>		std
0.00000e+00 -4.32512e-01 3.66832e-02
5.00000e-02 -4.30182e-01 3.52727e-02
1.00000e-01 -4.28182e-01 3.47745e-02
1.50000e-01 -4.21618e-01 3.32885e-02
2.00000e-01 -4.14564e-01 3.18232e-02
2.50000e-01 -4.01056e-01 2.95442e-02
3.00000e-01 -3.86178e-01 2.76012e-02
3.50000e-01 -3.62544e-01 2.58528e-02
4.00000e-01 -3.36703e-01 2.55506e-02
4.50000e-01 -3.01269e-01 2.73310e-02
5.00000e-01 -2.63824e-01 3.09492e-02
5.50000e-01 -2.18781e-01 3.62593e-02
6.00000e-01 -1.73456e-01 4.15643e-02
6.50000e-01 -1.24844e-01 4.64713e-02
7.00000e-01 -7.88808e-02 4.95860e-02
7.50000e-01 -3.49567e-02 5.04974e-02
8.00000e-01 2.45628e-03 4.87246e-02
8.50000e-01 3.18758e-02 4.40907e-02
9.00000e-01 5.02329e-02 3.74840e-02
9.50000e-01 5.46249e-02 2.97530e-02
1.00000e+00 4.38785e-02 2.37186e-02
1.05000e+00 1.52339e-02 2.19331e-02
1.10000e+00 -2.87310e-02 2.44887e-02
1.15000e+00 -8.85067e-02 2.81710e-02
1.20000e+00 -1.56139e-01 3.01554e-02
1.25000e+00 -2.28430e-01 2.96359e-02
1.30000e+00 -2.93465e-01 2.65254e-02
1.35000e+00 -3.45826e-01 2.17709e-02
1.40000e+00 -3.75159e-01 1.67792e-02
1.45000e+00 -3.78274e-01 1.33233e-02
1.50000e+00 -3.52834e-01 1.24192e-02
1.55000e+00 -3.01660e-01 1.31421e-02
1.60000e+00 -2.32143e-01 1.40006e-02
1.65000e+00 -1.52119e-01 1.47038e-02
1.70000e+00 -7.30777e-02 1.54148e-02
1.75000e+00 -2.01533e-03 1.62731e-02
1.80000e+00 5.36610e-02 1.68062e-02
1.85000e+00 9.32030e-02 1.67565e-02
1.90000e+00 1.16000e-01 1.57402e-02
1.95000e+00 1.27100e-01 1.43167e-02
2.00000e+00 1.28483e-01 1.27418e-02
2.05000e+00 1.27681e-01 1.17815e-02
2.10000e+00 1.22980e-01 1.11045e-02
2.15000e+00 1.15187e-01 1.05263e-02
2.20000e+00 1.04195e-01 9.76909e-03
2.25000e+00 9.39918e-02 8.86481e-03
2.30000e+00 7.94532e-02 7.71250e-03
2.35000e+00 6.10769e-02 6.33117e-03
2.40000e+00 4.09614e-02 4.84687e-03
2.45000e+00 2.43298e-02 3.59718e-03
2.50000e+00 9.14081e-03 2.67164e-03
2.55000e+00 -3.21380e-03 2.43598e-03
2.60000e+00 -1.18084e-02 2.78957e-03
2.65000e+00 -1.80077e-02 3.37117e-03
2.70000e+00 -2.09727e-02 3.77005e-03
2.75000e+00 -2.08389e-02 3.87873e-03
2.80000e+00 -1.80534e-02 3.69067e-03
2.85000e+00 -1.44757e-02 3.37737e-03
2.90000e+00 -9.26275e-03 2.90920e-03
2.95000e+00 -3.16096e-03 2.52135e-03
3.00000e+00 3.07878e-03 2.48055e-03
3.05000e+00 7.96250e-03 2.84149e-03
3.10000e+00 1.17422e-02 3.37221e-03
3.15000e+00 1.40473e-02 3.80668e-03
3.20000e+00 1.46713e-02 3.96515e-03
3.25000e+00 1.26277e-02 3.78973e-03
