# 		k		<chi>		std
0.00000e+00 -3.05194e-01 5.97444e-02
5.00000e-02 -3.08052e-01 5.90808e-02
1.00000e-01 -3.09389e-01 5.87587e-02
1.50000e-01 -3.13303e-01 5.80439e-02
2.00000e-01 -3.17279e-01 5.77258e-02
2.50000e-01 -3.23197e-01 5.80526e-02
3.00000e-01 -3.28739e-01 5.94556e-02
3.50000e-01 -3.34302e-01 6.27861e-02
4.00000e-01 -3.38183e-01 6.74269e-02
4.50000e-01 -3.39393e-01 7.40279e-02
5.00000e-01 -3.37117e-01 8.09058e-02
5.50000e-01 -3.29821e-01 8.81623e-02
6.00000e-01 -3.17378e-01 9.39833e-02
6.50000e-01 -2.98211e-01 9.80383e-02
7.00000e-01 -2.73030e-01 9.91844e-02
7.50000e-01 -2.40361e-01 9.68708e-02
8.00000e-01 -2.02860e-01 9.11496e-02
8.50000e-01 -1.59873e-01 8.17073e-02
9.00000e-01 -1.16894e-01 7.00765e-02
9.50000e-01 -7.50088e-02 5.68743e-02
1.00000e+00 -4.16579e-02 4.52245e-02
1.05000e+00 -1.91476e-02 3.75800e-02
1.10000e+00 -1.30148e-02 3.61613e-02
1.15000e+00 -2.45026e-02 3.90981e-02
1.20000e+00 -5.23239e-02 4.24317e-02
1.25000e+00 -9.38144e-02 4.42293e-02
1.30000e+00 -1.39470e-01 4.35811e-02
1.35000e+00 -1.82963e-01 4.09666e-02
1.40000e+00 -2.11879e-01 3.70849e-02
1.45000e+00 -2.20870e-01 3.29506e-02
1.50000e+00 -2.03855e-01 2.94235e-02
1.55000e+00 -1.61956e-01 2.71308e-02
1.60000e+00 -1.00790e-01 2.59918e-02
1.65000e+00 -2.81080e-02 2.53618e-02
1.70000e+00 4.29195e-02 2.41490e-02
1.75000e+00 1.04382e-01 2.18562e-02
1.80000e+00 1.45846e-01 1.85752e-02
1.85000e+00 1.66668e-01 1.58509e-02
1.90000e+00 1.65402e-01 1.53765e-02
1.95000e+00 1.49244e-01 1.73617e-02
2.00000e+00 1.22807e-01 1.92674e-02
2.05000e+00 9.52070e-02 1.99430e-02
2.10000e+00 6.96114e-02 1.81260e-02
2.15000e+00 4.95022e-02 1.46372e-02
2.20000e+00 3.55012e-02 1.09138e-02
2.25000e+00 2.69434e-02 8.62834e-03
2.30000e+00 1.99983e-02 7.63657e-03
2.35000e+00 1.31447e-02 7.03025e-03
2.40000e+00 6.13491e-03 6.35885e-03
2.45000e+00 8.34287e-04 5.97545e-03
2.50000e+00 -3.63789e-03 5.58807e-03
2.55000e+00 -6.82152e-03 5.29116e-03
2.60000e+00 -8.37304e-03 5.19084e-03
2.65000e+00 -9.77023e-03 5.49668e-03
2.70000e+00 -9.79790e-03 5.82038e-03
2.75000e+00 -8.59430e-03 5.94958e-03
2.80000e+00 -6.47532e-03 5.68629e-03
2.85000e+00 -4.59013e-03 5.07687e-03
2.90000e+00 -2.48198e-03 3.96558e-03
2.95000e+00 -6.29464e-04 2.74738e-03
3.00000e+00 5.94667e-04 2.62692e-03
3.05000e+00 5.54134e-04 4.06937e-03
3.10000e+00 -2.29706e-04 5.76446e-03
3.15000e+00 -1.52056e-03 6.93261e-03
3.20000e+00 -2.94760e-03 7.21264e-03
3.25000e+00 -4.26291e-03 6.57228e-03
3.30000e+00 -4.56464e-03 4.99861e-03
3.35000e+00 -3.68233e-03 2.92942e-03
3.40000e+00 -1.74435e-03 2.07630e-03
3.45000e+00 1.07176e-03 3.87582e-03
3.50000e+00 4.20589e-03 5.85978e-03
3.55000e+00 6.96614e-03 7.16311e-03
3.60000e+00 8.73419e-03 7.57957e-03
3.65000e+00 9.40004e-03 7.07995e-03
3.70000e+00 8.53533e-03 5.92611e-03
3.75000e+00 6.22628e-03 4.51934e-03
3.80000e+00 2.78784e-03 3.34212e-03
3.85000e+00 -1.10873e-03 2.86162e-03
3.90000e+00 -5.25592e-03 3.15362e-03
3.95000e+00 -9.13980e-03 3.67695e-03
4.00000e+00 -1.23110e-02 4.15053e-03
4.05000e+00 -1.44794e-02 4.50885e-03
4.10000e+00 -1.55403e-02 4.69577e-03
4.15000e+00 -1.54096e-02 4.67697e-03
4.20000e+00 -1.41627e-02 4.41590e-03
4.25000e+00 -1.22648e-02 3.94469e-03
4.30000e+00 -9.82809e-03 3.47282e-03
4.35000e+00 -7.12451e-03 3.31504e-03
4.40000e+00 -4.36708e-03 3.62295e-03
4.45000e+00 -1.87283e-03 4.16123e-03
4.50000e+00 6.32118e-04 4.57071e-03
4.55000e+00 3.35891e-03 4.70127e-03
4.60000e+00 6.55397e-03 4.68508e-03
4.65000e+00 1.01687e-02 4.84679e-03
4.70000e+00 1.44205e-02 5.38003e-03
4.75000e+00 1.90430e-02 6.10144e-03
4.80000e+00 2.34941e-02 6.60595e-03
4.85000e+00 2.70347e-02 6.65332e-03
4.90000e+00 2.90875e-02 6.20587e-03
4.95000e+00 2.90986e-02 5.59734e-03
5.00000e+00 2.68354e-02 5.48610e-03
5.05000e+00 2.25212e-02 6.26459e-03
5.10000e+00 1.66572e-02 7.57693e-03
5.15000e+00 9.97057e-03 8.86759e-03
5.20000e+00 3.20467e-03 9.79807e-03
5.25000e+00 -3.06711e-03 1.02521e-02
5.30000e+00 -8.62153e-03 1.03014e-02
5.35000e+00 -1.35631e-02 1.00779e-02
5.40000e+00 -1.82273e-02 9.70214e-03
5.45000e+00 -2.28929e-02 9.18263e-03
5.50000e+00 -2.77755e-02 8.51920e-03
5.55000e+00 -3.27165e-02 7.70277e-03
5.60000e+00 -3.71707e-02 6.91851e-03
5.65000e+00 -4.01561e-02 6.61492e-03
5.70000e+00 -4.09409e-02 7.24533e-03
5.75000e+00 -3.88593e-02 8.60152e-03
5.80000e+00 -3.36699e-02 1.00807e-02
5.85000e+00 -2.55382e-02 1.11638e-02
5.90000e+00 -1.54044e-02 1.16600e-02
5.95000e+00 -4.33807e-03 1.15827e-02
6.00000e+00 6.56791e-03 1.11065e-02
6.05000e+00 1.64593e-02 1.04203e-02
6.10000e+00 2.47160e-02 9.74955e-03
6.15000e+00 3.12204e-02 9.14064e-03
6.20000e+00 3.61069e-02 8.55253e-03
6.25000e+00 3.95601e-02 8.00169e-03
6.30000e+00 4.16276e-02 7.70468e-03
6.35000e+00 4.21243e-02 8.00491e-03
6.40000e+00 4.06686e-02 8.97628e-03
6.45000e+00 3.68397e-02 1.02328e-02
6.50000e+00 3.03985e-02 1.12547e-02
6.55000e+00 2.13254e-02 1.17012e-02
6.60000e+00 1.04314e-02 1.16006e-02
6.65000e+00 -1.18260e-03 1.12823e-02
6.70000e+00 -1.21777e-02 1.11315e-02
6.75000e+00 -2.12674e-02 1.12342e-02
6.80000e+00 -2.75111e-02 1.13194e-02
6.85000e+00 -3.05222e-02 1.10859e-02
6.90000e+00 -3.05308e-02 1.04944e-02
6.95000e+00 -2.82879e-02 9.78583e-03
7.00000e+00 -2.48431e-02 9.26389e-03
7.05000e+00 -2.12173e-02 9.00307e-03
7.10000e+00 -1.82831e-02 8.88416e-03
7.15000e+00 -1.64467e-02 8.78732e-03
7.20000e+00 -1.56378e-02 8.81357e-03
7.25000e+00 -1.53838e-02 9.18665e-03
7.30000e+00 -1.49734e-02 9.96693e-03
7.35000e+00 -1.36584e-02 1.09189e-02
7.40000e+00 -1.08437e-02 1.16673e-02
7.45000e+00 -6.22947e-03 1.19132e-02
7.50000e+00 1.17027e-04 1.15824e-02
7.55000e+00 7.71935e-03 1.08828e-02
7.60000e+00 1.58414e-02 1.03607e-02
7.65000e+00 2.35669e-02 1.04723e-02
7.70000e+00 2.99429e-02 1.11350e-02
7.75000e+00 3.41346e-02 1.18205e-02
7.80000e+00 3.55676e-02 1.20890e-02
7.85000e+00 3.40349e-02 1.18918e-02
7.90000e+00 2.97419e-02 1.15697e-02
7.95000e+00 2.32759e-02 1.16244e-02
8.00000e+00 1.54981e-02 1.23198e-02
8.05000e+00 7.33371e-03 1.34202e-02
8.10000e+00 -2.44621e-04 1.44752e-02
8.15000e+00 -6.58705e-03 1.50100e-02
8.20000e+00 -1.13802e-02 1.47165e-02
8.25000e+00 -1.46480e-02 1.35681e-02
8.30000e+00 -1.66658e-02 1.19205e-02
8.35000e+00 -1.78206e-02 1.04882e-02
8.40000e+00 -1.84638e-02 9.90879e-03
8.45000e+00 -1.88029e-02 1.00176e-02
8.50000e+00 -1.88643e-02 1.00433e-02
8.55000e+00 -1.85127e-02 9.50875e-03
8.60000e+00 -1.75927e-02 8.71143e-03
8.65000e+00 -1.59790e-02 8.46834e-03
8.70000e+00 -1.36650e-02 9.20952e-03
8.75000e+00 -1.07795e-02 1.03743e-02
8.80000e+00 -7.54109e-03 1.12035e-02
8.85000e+00 -4.17375e-03 1.13779e-02
8.90000e+00 -8.23389e-04 1.10024e-02
8.95000e+00 2.48342e-03 1.03687e-02
9.00000e+00 5.81751e-03 9.71737e-03
9.05000e+00 9.30461e-03 9.15320e-03
9.10000e+00 1.29269e-02 8.70135e-03
9.15000e+00 1.65173e-02 8.38853e-03
9.20000e+00 1.97095e-02 8.19406e-03
9.25000e+00 2.19886e-02 8.05660e-03
9.30000e+00 2.28145e-02 8.00773e-03
9.35000e+00 2.17808e-02 8.23658e-03
9.40000e+00 1.87597e-02 8.88098e-03
9.45000e+00 1.39804e-02 9.76844e-03
9.50000e+00 8.01292e-03 1.05134e-02
9.55000e+00 1.63186e-03 1.08191e-02
9.60000e+00 -4.29381e-03 1.06015e-02
9.65000e+00 -9.04139e-03 1.00015e-02
9.70000e+00 -1.21780e-02 9.24974e-03
9.75000e+00 -1.36349e-02 8.57026e-03
9.80000e+00 -1.36858e-02 8.20158e-03
9.85000e+00 -1.28383e-02 8.39549e-03
9.90000e+00 -1.16748e-02 9.16541e-03
9.95000e+00 -1.06878e-02 1.00957e-02
1.00000e+01 -1.01546e-02 1.05966e-02
1.00500e+01 -1.00851e-02 1.02993e-02
1.01000e+01 -1.02381e-02 9.37356e-03
1.01500e+01 -1.02229e-02 8.69793e-03
1.02000e+01 -9.62229e-03 9.32685e-03
1.02500e+01 -8.11959e-03 1.10398e-02
1.03000e+01 -5.59324e-03 1.26236e-02
1.03500e+01 -2.15642e-03 1.31612e-02
1.04000e+01 1.86470e-03 1.23981e-02
1.04500e+01 6.00528e-03 1.07349e-02
1.05000e+01 9.76680e-03 9.10422e-03
1.05500e+01 1.27240e-02 8.43659e-03
1.06000e+01 1.46057e-02 8.65673e-03
1.06500e+01 1.53307e-02 8.88953e-03
1.07000e+01 1.49922e-02 8.63732e-03
1.07500e+01 1.38003e-02 8.08851e-03
1.08000e+01 1.20042e-02 7.76665e-03
1.08500e+01 9.82059e-03 7.92953e-03
1.09000e+01 7.39130e-03 8.33422e-03
1.09500e+01 4.78189e-03 8.66132e-03
1.10000e+01 2.01728e-03 8.81199e-03
1.10500e+01 -8.80678e-04 8.79353e-03
