# 		k		<chi>		std
0.00000e+00 -3.06963e-01 7.90258e-02
5.00000e-02 -3.18087e-01 8.26976e-02
1.00000e-01 -3.26398e-01 8.22763e-02
1.50000e-01 -3.51665e-01 8.10730e-02
2.00000e-01 -3.77503e-01 7.99657e-02
2.50000e-01 -4.20801e-01 7.83785e-02
3.00000e-01 -4.64437e-01 7.71503e-02
3.50000e-01 -5.23180e-01 7.60491e-02
4.00000e-01 -5.79270e-01 7.56180e-02
4.50000e-01 -6.42314e-01 7.57073e-02
5.00000e-01 -6.95389e-01 7.61372e-02
5.50000e-01 -7.40850e-01 7.62722e-02
6.00000e-01 -7.65522e-01 7.54391e-02
6.50000e-01 -7.64838e-01 7.26013e-02
7.00000e-01 -7.33698e-01 6.77742e-02
7.50000e-01 -6.64431e-01 6.05097e-02
8.00000e-01 -5.64063e-01 5.27488e-02
8.50000e-01 -4.27416e-01 4.60900e-02
9.00000e-01 -2.74425e-01 4.36646e-02
9.50000e-01 -1.06671e-01 4.54483e-02
1.00000e+00 4.89567e-02 4.86611e-02
1.05000e+00 1.86027e-01 4.99374e-02
1.10000e+00 2.82353e-01 4.73560e-02
1.15000e+00 3.33616e-01 4.05110e-02
1.20000e+00 3.33507e-01 3.12423e-02
1.25000e+00 2.86533e-01 2.30261e-02
1.30000e+00 2.04824e-01 2.11720e-02
1.35000e+00 1.01267e-01 2.49262e-02
1.40000e+00 -2.36650e-03 2.83187e-02
1.45000e+00 -9.31171e-02 2.85725e-02
1.50000e+00 -1.53971e-01 2.56663e-02
1.55000e+00 -1.81287e-01 2.16865e-02
1.60000e+00 -1.72372e-01 1.94316e-02
1.65000e+00 -1.34974e-01 2.00585e-02
1.70000e+00 -7.88269e-02 2.12091e-02
1.75000e+00 -1.55907e-02 2.09181e-02
1.80000e+00 4.26585e-02 1.83731e-02
1.85000e+00 9.01695e-02 1.45612e-02
1.90000e+00 1.20754e-01 1.07298e-02
1.95000e+00 1.37638e-01 8.47745e-03
2.00000e+00 1.39865e-01 7.73687e-03
2.05000e+00 1.36158e-01 7.42557e-03
2.10000e+00 1.22305e-01 6.80304e-03
2.15000e+00 1.01734e-01 6.00563e-03
2.20000e+00 7.78476e-02 5.35944e-03
2.25000e+00 4.75369e-02 4.92404e-03
2.30000e+00 2.08331e-02 4.25005e-03
2.35000e+00 1.49456e-03 3.45791e-03
2.40000e+00 -9.60225e-03 2.93397e-03
2.45000e+00 -1.36237e-02 3.17364e-03
2.50000e+00 -1.37971e-02 3.70253e-03
2.55000e+00 -1.15193e-02 4.24682e-03
2.60000e+00 -8.13645e-03 4.63724e-03
2.65000e+00 -6.71835e-03 4.88657e-03
2.70000e+00 -5.38431e-03 4.89958e-03
2.75000e+00 -4.31512e-03 4.71214e-03
2.80000e+00 -3.38768e-03 4.37725e-03
2.85000e+00 -3.16297e-03 3.98079e-03
2.90000e+00 -1.80207e-03 3.52158e-03
2.95000e+00 9.62607e-04 3.02213e-03
3.00000e+00 4.99118e-03 2.50544e-03
3.05000e+00 9.30922e-03 1.91646e-03
3.10000e+00 1.35641e-02 1.45015e-03
3.15000e+00 1.64704e-02 1.29579e-03
3.20000e+00 1.69057e-02 1.53552e-03
3.25000e+00 1.37166e-02 2.06430e-03
3.30000e+00 7.95326e-03 2.67030e-03
3.35000e+00 5.42967e-04 3.20262e-03
3.40000e+00 -7.14272e-03 3.56302e-03
3.45000e+00 -1.39577e-02 3.68523e-03
3.50000e+00 -1.76871e-02 3.52507e-03
3.55000e+00 -1.76456e-02 3.12865e-03
3.60000e+00 -1.40699e-02 2.59913e-03
3.65000e+00 -7.85928e-03 2.06487e-03
3.70000e+00 -4.67088e-04 1.72189e-03
3.75000e+00 6.24512e-03 1.69634e-03
3.80000e+00 1.06983e-02 1.93098e-03
3.85000e+00 1.19784e-02 2.27217e-03
3.90000e+00 1.00346e-02 2.61322e-03
3.95000e+00 5.62925e-03 2.84188e-03
4.00000e+00 1.65127e-04 2.92588e-03
4.05000e+00 -5.43026e-03 2.91162e-03
4.10000e+00 -9.31276e-03 2.77313e-03
4.15000e+00 -1.09819e-02 2.53414e-03
4.20000e+00 -1.06242e-02 2.20812e-03
4.25000e+00 -8.58370e-03 1.81480e-03
4.30000e+00 -5.88809e-03 1.47634e-03
4.35000e+00 -3.71169e-03 1.51567e-03
4.40000e+00 -2.65365e-03 2.05106e-03
4.45000e+00 -2.58631e-03 2.75784e-03
4.50000e+00 -3.55249e-03 3.40354e-03
4.55000e+00 -4.91709e-03 3.85803e-03
4.60000e+00 -5.97648e-03 4.08745e-03
4.65000e+00 -6.22425e-03 4.11877e-03
4.70000e+00 -5.52389e-03 4.01297e-03
4.75000e+00 -4.08664e-03 3.81277e-03
4.80000e+00 -2.38069e-03 3.53327e-03
4.85000e+00 -7.29035e-04 3.18898e-03
4.90000e+00 5.34664e-04 2.78163e-03
4.95000e+00 1.48487e-03 2.37444e-03
5.00000e+00 2.53696e-03 2.16312e-03
5.05000e+00 4.42181e-03 2.40223e-03
5.10000e+00 7.47146e-03 3.08982e-03
5.15000e+00 1.18093e-02 3.98320e-03
5.20000e+00 1.70601e-02 4.88343e-03
5.25000e+00 2.23463e-02 5.68274e-03
5.30000e+00 2.63739e-02 6.38290e-03
5.35000e+00 2.79255e-02 6.97796e-03
5.40000e+00 2.61192e-02 7.40550e-03
5.45000e+00 2.06121e-02 7.52122e-03
5.50000e+00 1.19947e-02 7.20134e-03
5.55000e+00 1.46273e-03 6.36709e-03
5.60000e+00 -9.34155e-03 5.04809e-03
5.65000e+00 -1.86663e-02 3.40255e-03
5.70000e+00 -2.50310e-02 2.01129e-03
5.75000e+00 -2.75742e-02 2.38065e-03
5.80000e+00 -2.62059e-02 4.02140e-03
5.85000e+00 -2.16271e-02 5.67510e-03
5.90000e+00 -1.52203e-02 6.97305e-03
5.95000e+00 -8.68853e-03 7.77507e-03
6.00000e+00 -3.73186e-03 8.06556e-03
6.05000e+00 -1.61392e-03 7.90259e-03
6.10000e+00 -3.05904e-03 7.47758e-03
6.15000e+00 -7.82729e-03 6.92118e-03
6.20000e+00 -1.48258e-02 6.26990e-03
6.25000e+00 -2.23206e-02 5.50297e-03
6.30000e+00 -2.83101e-02 4.66327e-03
6.35000e+00 -3.09769e-02 3.97207e-03
6.40000e+00 -2.91058e-02 3.78792e-03
6.45000e+00 -2.23571e-02 4.22236e-03
6.50000e+00 -1.13227e-02 4.97839e-03
6.55000e+00 2.76779e-03 5.75747e-03
6.60000e+00 1.78755e-02 6.51680e-03
6.65000e+00 3.21524e-02 7.34055e-03
6.70000e+00 4.41239e-02 8.29332e-03
6.75000e+00 5.28760e-02 9.27981e-03
6.80000e+00 5.80318e-02 1.00499e-02
6.85000e+00 5.95630e-02 1.03307e-02
6.90000e+00 5.75474e-02 9.98649e-03
6.95000e+00 5.19971e-02 9.14657e-03
7.00000e+00 4.28488e-02 8.25746e-03
7.05000e+00 2.99823e-02 7.89359e-03
7.10000e+00 1.40278e-02 8.28488e-03
7.15000e+00 -4.01207e-03 8.99309e-03
7.20000e+00 -2.24696e-02 9.47501e-03
7.25000e+00 -3.91917e-02 9.47782e-03
7.30000e+00 -5.19718e-02 9.03473e-03
7.35000e+00 -5.91211e-02 8.32489e-03
7.40000e+00 -5.99892e-02 7.54028e-03
7.45000e+00 -5.52366e-02 6.83141e-03
7.50000e+00 -4.67283e-02 6.32812e-03
7.55000e+00 -3.70050e-02 6.09917e-03
7.60000e+00 -2.86692e-02 6.13730e-03
7.65000e+00 -2.34188e-02 6.26675e-03
7.70000e+00 -2.15768e-02 6.30242e-03
7.75000e+00 -2.19761e-02 6.22121e-03
7.80000e+00 -2.23219e-02 6.21003e-03
7.85000e+00 -1.99291e-02 6.53397e-03
7.90000e+00 -1.26076e-02 7.28201e-03
7.95000e+00 5.79989e-04 8.28225e-03
8.00000e+00 1.89224e-02 9.26061e-03
8.05000e+00 4.00797e-02 9.98974e-03
8.10000e+00 6.07432e-02 1.02707e-02
